"eta" "sesso" "peso"
"1" 18 "M" 69
"2" 19 "M" 69
"3" 20 "M" 60
"4" 21 "M" 69
"5" 22 "M" 73
"6" 23 "M" 75
"7" 24 "M" 72
"8" 25 "M" 65
"9" 26 "M" 61
"10" 27 "M" 73
"11" 28 "M" 62
"12" 29 "M" 67
"13" 30 "M" 80
"14" 31 "M" 71
"15" 32 "M" 74
"16" 33 "M" 73
"17" 34 "M" 79
"18" 35 "M" 76
"19" 36 "M" 74
"20" 37 "M" 73
"21" 38 "M" 81
"22" 39 "M" 78
"23" 40 "M" 67
"24" 41 "M" 79
"25" 42 "M" 77
"26" 43 "M" 70
"27" 44 "M" 72
"28" 45 "M" 77
"29" 46 "M" 78
"30" 47 "M" 72
"31" 48 "M" 75
"32" 49 "M" 69
"33" 50 "M" 79
"34" 51 "M" 75
"35" 52 "M" 74
"36" 53 "M" 74
"37" 54 "M" 84
"38" 55 "M" 69
"39" 56 "M" 70
"40" 57 "M" 70
"41" 58 "M" 79
"42" 59 "M" 72
"43" 60 "M" 72
"44" 61 "M" 76
"45" 62 "M" 68
"46" 63 "M" 83
"47" 64 "M" 74
"48" 65 "M" 72
"49" 66 "M" 72
"50" 67 "M" 70
"51" 68 "M" 67
"52" 69 "M" 81
"53" 70 "M" 71
"54" 71 "M" 78
"55" 72 "M" 73
"56" 73 "M" 74
"57" 74 "M" 73
"58" 75 "M" 66
"59" 76 "M" 67
"60" 77 "M" 68
"61" 78 "M" 69
"62" 79 "M" 70
"63" 80 "M" 68
"64" 18 "F" 43
"65" 19 "F" 43
"66" 20 "F" 53
"67" 21 "F" 50
"68" 22 "F" 57
"69" 23 "F" 47
"70" 24 "F" 61
"71" 25 "F" 56
"72" 26 "F" 65
"73" 27 "F" 61
"74" 28 "F" 57
"75" 29 "F" 57
"76" 30 "F" 54
"77" 31 "F" 60
"78" 32 "F" 59
"79" 33 "F" 59
"80" 34 "F" 61
"81" 35 "F" 59
"82" 36 "F" 54
"83" 37 "F" 56
"84" 38 "F" 55
"85" 39 "F" 61
"86" 40 "F" 54
"87" 41 "F" 65
"88" 42 "F" 57
"89" 43 "F" 59
"90" 44 "F" 59
"91" 45 "F" 52
"92" 46 "F" 61
"93" 47 "F" 56
"94" 48 "F" 59
"95" 49 "F" 56
"96" 50 "F" 59
"97" 51 "F" 68
"98" 52 "F" 64
"99" 53 "F" 54
"100" 54 "F" 62
"101" 55 "F" 57
"102" 56 "F" 57
"103" 57 "F" 55
"104" 58 "F" 66
"105" 59 "F" 54
"106" 60 "F" 57
"107" 61 "F" 62
"108" 62 "F" 60
"109" 63 "F" 68
"110" 64 "F" 63
"111" 65 "F" 63
"112" 66 "F" 61
"113" 67 "F" 61
"114" 68 "F" 52
"115" 69 "F" 67
"116" 70 "F" 53
"117" 71 "F" 58
"118" 72 "F" 59
"119" 73 "F" 55
"120" 74 "F" 48
"121" 75 "F" 53
"122" 76 "F" 51
"123" 77 "F" 54
"124" 78 "F" 56
"125" 79 "F" 60
"126" 80 "F" 48
