"index" "region" "sandwich"
"1" 4.39 "Europe" "Burger"
"2" 5.09 "Europe" "Burger"
"3" 4.63 "Europe" "Burger"
"4" 5.21 "Europe" "Burger"
"5" 4.96 "Europe" "Burger"
"6" 5.87 "Europe" "Burger"
"7" 4.52 "Europe" "Burger"
"8" 5.12 "Europe" "Burger"
"9" 4.14 "Europe" "Burger"
"10" 6.07 "Europe" "Burger"
"11" 5.13 "Europe" "Burger"
"12" 6.42 "Europe" "Burger"
"13" 3.39 "Europe" "Burger"
"14" 5.28 "Europe" "Burger"
"15" 4.77 "Europe" "Burger"
"16" 3.86 "Europe" "Burger"
"17" 4.09 "Europe" "Burger"
"18" 4.1 "Europe" "Burger"
"19" 5.34 "Europe" "Burger"
"20" 3.94 "Europe" "Burger"
"21" 6.09 "Europe" "Burger"
"22" 5.27 "Europe" "Burger"
"23" 6.5 "Europe" "Burger"
"24" 5.27 "Europe" "Burger"
"25" 5.72 "Europe" "Burger"
"26" 5.18 "Europe" "Burger"
"27" 3.89 "Europe" "Burger"
"28" 5.42 "Europe" "Burger"
"29" 4.61 "Europe" "Burger"
"30" 5.59 "Europe" "Burger"
"31" 6.5 "Europe" "Burger"
"32" 4.22 "Europe" "Burger"
"33" 4.68 "Europe" "Burger"
"34" 5.14 "Europe" "Burger"
"35" 5.11 "Europe" "Burger"
"36" 5.13 "Europe" "Burger"
"37" 4.14 "Europe" "Burger"
"38" 4.81 "Europe" "Burger"
"39" 4.09 "Europe" "Burger"
"40" 4.18 "Europe" "Burger"
"41" 5.08 "Europe" "Burger"
"42" 4.98 "Europe" "Burger"
"43" 4.04 "Europe" "Burger"
"44" 4.78 "Europe" "Burger"
"45" 4.97 "Europe" "Burger"
"46" 5.1 "Europe" "Burger"
"47" 5.18 "Europe" "Burger"
"48" 5.43 "Europe" "Burger"
"49" 5.37 "Europe" "Burger"
"50" 4.88 "Europe" "Burger"
"51" 4.92 "Europe" "Cheese"
"52" 5.2 "Europe" "Cheese"
"53" 5.84 "Europe" "Cheese"
"54" 5.6 "Europe" "Cheese"
"55" 5.18 "Europe" "Cheese"
"56" 5.88 "Europe" "Cheese"
"57" 5.86 "Europe" "Cheese"
"58" 5.33 "Europe" "Cheese"
"59" 3.8 "Europe" "Cheese"
"60" 4.46 "Europe" "Cheese"
"61" 5.74 "Europe" "Cheese"
"62" 4.7 "Europe" "Cheese"
"63" 5.02 "Europe" "Cheese"
"64" 3.77 "Europe" "Cheese"
"65" 4.02 "Europe" "Cheese"
"66" 4.47 "Europe" "Cheese"
"67" 4.99 "Europe" "Cheese"
"68" 5.28 "Europe" "Cheese"
"69" 3.51 "Europe" "Cheese"
"70" 5.76 "Europe" "Cheese"
"71" 4.97 "Europe" "Cheese"
"72" 5.41 "Europe" "Cheese"
"73" 5.61 "Europe" "Cheese"
"74" 5.17 "Europe" "Cheese"
"75" 4.87 "Europe" "Cheese"
"76" 3.84 "Europe" "Cheese"
