"H2O" "CO2" "CO"
"1" 39.89 20.37 2.1
"2" 38.95 20.14 4.11
"3" 39.9 19.31 3.38
"4" 41.43 20.39 2.94
"5" 40.11 20.6 4.17
"6" 42.24 21.55 4.6
"7" 41.11 21.27 3.8
"8" 39.33 19.14 1.83
"9" 39.92 20.01 2.41
"10" 41.07 20.34 2.16
"11" 39.69 19.67 1.94
"12" 42.17 21.13 3.39
"13" 40.15 20.77 1.11
"14" 39.46 19.51 3.16
"15" 39.42 20.04 2.78
"16" 40.75 21.01 2.81
"17" 39.79 19.88 2.48
"18" 40.8 21.01 5.21
"19" 40.23 19.89 5.33
"20" 39.18 19.56 4.09
"21" 40.15 20.01 3.8
"22" 41.42 22.09 4.46
"23" 41.55 21.47 0.91
"24" 38.61 18.54 3.81
"25" 39.69 18.69 1.43
"26" 41.01 22.12 3.71
"27" 40.18 20.92 4.22
"28" 40.26 20.88 2.92
"29" 38.98 19.47 3.05
"30" 39.34 20.03 3.31
"31" 41.34 20.68 1.79
"32" 41.41 20.95 3.33
"33" 39.8 20.5 2.84
"34" 38.89 19.16 2.61
"35" 40.11 20.37 3.28
"36" 38.86 18.69 3.34
"37" 40.34 20.79 2.95
"38" 40.09 19.98 1.61
"39" 40.59 20.25 2.78
"40" 41.63 21.42 1.76
