"PM2.5" "PM10"
"1" 134.728 173.285
"2" 179.317 221.814
"3" 205.62 117.985
"4" 48.363 124.808
"5" 58.225 97.426
"6" 83.479 64.673
"7" 65.064 116.304
"8" 61.662 20.285
"9" 76.857 172.169
"10" 68.575 42.467
"11" 71.594 57.31
"12" 81.519 131.832
"13" 125.073 192.855
"14" 8.254 29.329
"15" 45.386 148.083
"16" 73.721 -24.181
"17" 96.397 128.176
"18" 229.047 248.9
"19" 6.215 17.916
"20" 58.684 -23.558
"21" 155.289 150.091
"22" 91.594 170.64
"23" 118.643 146.479
"24" 146.348 108.205
"25" 38.982 170.593
"26" 16.175 44.313
"27" 213.176 243.859
"28" 87.006 23.602
"29" 224.964 362.876
"30" 204.734 270.523
"31" 116.869 191.413
"32" 98.687 99.765
"33" 71.266 160.177
"34" 24.022 156.145
"35" 48.203 -6.464
"36" 89.419 43.788
"37" 96.768 88.669
"38" 105.967 101.655
"39" 82.791 98.586
"40" 28.861 -28.169
"41" 5.263 -17.5
"42" 91.145 65.369
"43" 94.352 134.863
"44" 136.306 147.103
"45" 115.039 185.312
"46" 118.16 149.978
"47" 222.125 222.403
"48" 10.657 63.448
"49" 163.816 236.458
"50" 69.32 66.562
"51" 148.318 189.48
"52" 75.095 -13.36
"53" 6.74 -34.573
"54" 23.474 8.303
"55" 201.344 285.542
"56" 83.627 84.475
"57" 6.96 -7.05
"58" 21.77 35.556
"59" 87.958 159.421
"60" 144.442 194.063
"61" 97.897 40.116
"62" 97.814 -29.137
"63" 81.556 120.622
"64" 66.45 47.383
"65" 11.08 138.095
"66" 30.868 -15.634
"67" 93.645 153.055
"68" 109.573 203.375
"69" 77.781 109.407
"70" 126.671 149.119
"71" 70.608 35.966
"72" 202.285 208.899
"73" 129.273 179.231
"74" 19.87 20.216
"75" 13.376 6.451
"76" 114.082 222.256
"77" 49.673 163.256
"78" 39.178 101.955
"79" 142.51 128.859
"80" 135.878 31.154
"81" 214.242 272.169
"82" 74.045 123.276
"83" 124.691 124.807
"84" 48.657 95.099
"85" 48.47 63.039
"86" 141.78 136.48
"87" 122.707 183.841
"88" 17.686 -39.035
"89" 66.805 15.175
"90" 33.21 27.854
"91" 214.174 291.475
"92" 98.764 184.804
"93" 17.391 90.906
"94" 45.064 123.24
"95" 63.833 123.255
"96" 16.64 26.342
"97" 174.448 108.116
"98" 134.286 124.485
"99" 57.153 98.438
"100" 119.978 146.091
