"X" "Y" "Z"
"1" 1.92 2.76 0.722
"2" -4.549 -4.971 -2.139
"3" -2.118 -2.697 -3.163
"4" -2.38 -5.062 -4.294
"5" 7.872 4.407 1.564
"6" 1.155 5.816 -2.186
"7" -1.335 3.659 -3.555
"8" -1.769 1.177 -1.254
"9" 10.006 8.947 -4.164
"10" -0.624 -4.016 -0.807
"11" -1.261 -0.662 -0.376
"12" -13.151 -9.425 -1.299
"13" -6.344 -10.595 1.381
"14" 3.175 1.366 0.306
"15" -0.39 0.132 -3.13
"16" -1.187 0.693 0.589
"17" -2.554 1.023 -1.457
"18" -2.222 -6.924 1.837
"19" -3.277 -2.156 1.513
"20" 7.438 -2.543 -0.685
"21" -0.65 0.34 -6.525
"22" -1.034 -1.879 -0.531
"23" -0.77 1.583 0.194
"24" -3.043 -3.975 -0.055
"25" 0.687 4.216 -0.125
"26" -2.94 -5.324 3.92
"27" -6.716 -4.716 -0.066
"28" -6.575 -2.886 2.144
"29" 5.486 -0.095 2.443
"30" -6.084 -3.513 0.833
"31" 1.635 -2.015 -1.032
"32" 7.467 1.799 -0.781
"33" 0.548 -1.272 1.301
"34" 4.094 -5.188 0.945
"35" -3.792 0.341 1.596
"36" 12.751 13.114 -2.409
"37" 8.646 8.849 0.277
"38" 2.245 1.917 1.699
"39" 8.767 11.072 -3.622
"40" -1.909 2.322 -1.013
"41" -0.017 2.911 1.837
"42" -0.756 -4.251 0.49
"43" -8.729 -7.342 0.419
"44" 0.246 5.613 -4.252
"45" 2.473 -3.658 -2.356
"46" 7.007 9.041 0.009
"47" -5.125 -3.157 0.009
"48" 3.099 7.311 -0.392
"49" -4.506 -5.867 1.527
"50" 2.422 6.156 0.134
"51" -6.651 -2.601 -2.395
"52" 7.602 3.334 0.896
"53" -0.242 -0.208 2.921
"54" -7.504 -0.035 -1.913
"55" -4.913 -5.067 -0.33
"56" 2.83 2.957 3.391
"57" 4.146 2.399 -1.73
"58" -1.966 2.013 0.415
"59" -3.785 -0.592 -0.815
"60" 8.842 10.287 -4.705
"61" -4.478 -1.391 -0.255
"62" 4.315 8.428 2.175
"63" 4.661 9.246 1.203
"64" 10.593 8.994 1.676
"65" 3.576 2.012 -0.623
"66" -4.452 -0.669 1.438
"67" 2.438 6.22 -0.807
"68" 4.97 6.367 -0.976
"69" 6.872 2.346 3.762
"70" 7.01 4.104 -1.036
