"length" "period"
"boat1" 19.37 "ming"
"boat2" 8.94 "yuan"
"boat3" 15.01 "ming"
"boat4" 18.07 "ming"
"boat5" 8.95 "yuan"
"boat6" 12.18 "yuan"
"boat7" 13.44 "yuan"
"boat8" 14.24 "yuan"
"boat9" 11.58 "yuan"
"boat10" 13.4 "ming"
"boat11" 16.15 "ming"
"boat12" 12.95 "yuan"
"boat13" 15.38 "yuan"
"boat14" 17.72 "ming"
"boat15" 11.3 "yuan"
"boat16" 18.45 "ming"
"boat17" 13.19 "ming"
"boat18" 18.73 "ming"
"boat19" 20.67 "ming"
"boat20" 17.78 "ming"
"boat21" 8.6 "yuan"
"boat22" 16.77 "ming"
"boat23" 18.03 "ming"
"boat24" 13.78 "ming"
"boat25" 19.36 "ming"
"boat26" 9.82 "yuan"
"boat27" 18.83 "ming"
"boat28" 8.15 "yuan"
"boat29" 13.31 "ming"
"boat30" 18.83 "ming"
"boat31" 15.01 "yuan"
"boat32" 8.19 "yuan"
"boat33" 16.16 "ming"
"boat34" 14.22 "ming"
"boat35" 21.9 "ming"
"boat36" 17.94 "ming"
"boat37" 20.03 "ming"
"boat38" 17.52 "ming"
"boat39" 21.22 "ming"
"boat40" 18.89 "ming"
"boat41" 9.96 "yuan"
"boat42" 12.85 "ming"
"boat43" 8.16 "yuan"
"boat44" 15.01 "ming"
"boat45" 20.7 "ming"
"boat46" 14.5 "yuan"
"boat47" 17.74 "ming"
"boat48" 15.56 "ming"
"boat49" 21.81 "ming"
"boat50" 12.05 "yuan"
"boat51" 15.23 "ming"
"boat52" 16.14 "ming"
"boat53" 18.58 "ming"
"boat54" 13.31 "ming"
"boat55" 11.52 "yuan"
"boat56" 20.21 "ming"
"boat57" 13.4 "ming"
"boat58" 9.56 "yuan"
"boat59" 20.76 "ming"
"boat60" 14.76 "ming"
"boat61" 13.14 "yuan"
"boat62" 13.6 "ming"
"boat63" 9.38 "yuan"
"boat64" 17.85 "ming"
"boat65" 8.23 "yuan"
"boat66" 13.04 "yuan"
"boat67" 13.91 "ming"
"boat68" 18.02 "ming"
"boat69" 15.04 "ming"
"boat70" 21.39 "ming"
"boat71" 16.48 "ming"
"boat72" 15.76 "yuan"
"boat73" 9.7 "yuan"
"boat74" 17.13 "ming"
"boat75" 12.09 "yuan"
"boat76" 20.65 "ming"
"boat77" 13.35 "yuan"
"boat78" 21.56 "ming"
"boat79" 15.29 "yuan"
"boat80" 13.43 "yuan"
"boat81" 20.3 "ming"
"boat82" 14.15 "yuan"
"boat83" 12.02 "ming"
"boat84" 11.41 "yuan"
"boat85" 10.32 "yuan"
"boat86" 10.32 "yuan"
"boat87" 10.29 "yuan"
"boat88" 14.73 "ming"
"boat89" 12.14 "yuan"
"boat90" 9.12 "yuan"
"boat91" 13.74 "yuan"
"boat92" 18.82 "ming"
"boat93" 13.76 "yuan"
"boat94" 8.71 "yuan"
"boat95" 15.45 "ming"
"boat96" 19.96 "ming"
"boat97" 19.73 "ming"
"boat98" 13.61 "ming"
"boat99" 12.72 "ming"
"boat100" 17.61 "ming"
"boat101" 13.93 "yuan"
"boat102" 19.59 "ming"
"boat103" 16.83 "ming"
