"Carnaroli" "Gange" "Venere" "Basmati" "Patna"
"1" 1.5 2.17 35.06 3.89 1.03
"2" 1.41 2.62 34.62 4.61 0.74
"3" 1.18 2.27 34.7 3.75 1.15
"4" 1.48 2.79 34.91 4.34 1.05
"5" 1.87 2.29 35.33 4.61 1.3
"6" 1.27 2.14 34.7 3.79 0.6
"7" 1.45 2.48 35.1 3.95 0.99
"8" 1.4 2.41 34.72 4.55 0.91
"9" 1.95 2.5 35.04 4.18 0.82
"10" 1.67 3.03 35.19 4.09 0.93
"11" 1.07 2.02 34.73 3.36 1.09
"12" 1.77 2.58 35.15 3.65 0.85
"13" 1.63 2.62 35.03 3.93 1.06
"14" 1.41 2.66 35.05 3.98 1.06
"15" 1.17 1.93 34.83 3.79 1.02
"16" 1.58 2.78 35.12 3.71 1.19
"17" 1.17 2.3 34.56 4.26 0.92
"18" 1.85 2.63 35.12 4 0.98
"19" 1.5 2.63 34.65 4.15 0.86
"20" 1.3 2.47 34.89 4.05 1.13
"21" 1.33 1.71 35.2 3.86 0.94
"22" 1.7 2.56 35.37 4.43 1.27
"23" 1.74 2.49 35.3 4.04 1.21
"24" 1.4 2.65 34.89 4.81 0.96
"25" 1.44 2.47 34.85 4.39 0.82
"26" 1.58 2.58 34.89 3.66 0.81
"27" 1.52 2.71 34.63 4.25 0.92
"28" 1.26 2.55 34.88 4.44 1.02
"29" 1.36 2.7 35.07 4.45 1.26
"30" 1.45 2.36 34.94 3.97 0.84
"31" 1.66 2.41 34.74 3.86 0.66
"32" 0.9 1.82 34.53 3.79 0.78
"33" 1.39 3 34.71 4.11 1.25
"34" 1.62 2.57 35.19 3.36 0.85
"35" 1.6 2.48 35.1 4.02 0.96
"36" 1.5 2.66 34.78 4.93 1.11
"37" 1.41 2.46 34.69 4.01 0.74
"38" 1.73 2.52 35.26 3.61 1.12
"39" 1.33 2.71 34.85 4.17 1.01
"40" 1.78 2.93 34.83 4.35 1.25
"41" 1.44 2.35 35.05 3.8 1.12
"42" 1.66 2.1 35.22 3.72 1.06
"43" 1.38 2.02 35.16 3.72 1.07
"44" 1.43 2.32 35.26 4.49 1.19
"45" 1.48 2.08 34.95 3.37 0.92
"46" 1.4 2.73 34.71 4.34 0.93
"47" 1.79 2.34 35.09 3.42 0.83
"48" 1.46 2.25 35.16 4.24 1.11
"49" 1.18 1.72 34.85 3.83 0.77
"50" 1.26 2.49 34.55 4.22 1.05
"51" 1.36 2.81 34.45 3.28 0.97
"52" 1.71 2.66 35.02 4.15 0.89
"53" 1.57 2.59 35.04 3.74 0.91
"54" 1.68 2.83 35.02 4.16 1.16
"55" 1.69 2.66 34.85 4.2 0.9
"56" 1.8 2.91 35.18 4.57 0.8
"57" 1.56 2.54 35.02 4.31 1.26
"58" 1.44 2.68 34.76 3.7 0.95
"59" 1.69 2.84 35.3 4 1.12
"60" 1.38 2.69 35.04 3.39 0.99
"61" 1.28 2.2 34.89 4.79 0.61
"62" 1.54 2.71 35.08 4.11 0.87
"63" 1.51 2.37 35 3.77 1.04
"64" 1.68 2.65 34.81 4.19 1.07
