"Carnaroli" "Gange" "Venere" "Basmati" "Patna"
"1" 3.75 5.36 1.92 10.3 8.19
"2" 4.07 5.15 1.99 9.86 7.86
"3" 3.89 5.21 1.94 9.85 7.99
"4" 4.14 4.97 2 10.05 7.98
"5" 4.09 4.62 1.99 10.35 7.94
"6" 3.92 5.02 1.87 9.44 7.7
"7" 3.88 5.28 1.63 10.35 7.93
"8" 3.96 4.75 1.92 9.21 7.9
"9" 4.21 4.7 2.1 9.9 7.97
"10" 3.47 4.82 1.8 10.11 8.16
"11" 3.94 5.27 1.69 10.37 8.05
"12" 3.77 5.07 1.59 9.95 7.99
"13" 3.87 4.88 1.71 9.99 7.71
"14" 3.51 4.71 1.63 9.98 8.03
"15" 3.89 4.93 2.08 10.1 8.06
"16" 4.26 5.19 2.35 9.83 8.31
"17" 4.04 4.56 1.82 10.11 7.5
"18" 3.89 4.75 2.17 9.73 8.09
"19" 3.9 4.98 1.91 10.14 7.94
"20" 4.02 4.58 2.3 9.78 8.18
"21" 3.9 4.89 1.88 9.81 7.91
"22" 4.07 5.27 2.25 10.29 8.27
"23" 3.95 5.03 2.23 9.56 7.9
"24" 3.85 4.99 1.3 9.77 7.72
"25" 3.98 5.19 2.11 9.72 8.24
"26" 3.85 4.64 2.37 10.16 8.13
"27" 4.17 5.22 1.91 9.46 7.83
"28" 4.18 5.34 1.66 9.4 7.84
"29" 4.03 5.31 2.09 10.01 8.09
"30" 4.23 4.74 2.26 9.91 7.87
"31" 4.1 4.86 1.82 9.51 7.81
"32" 3.63 4.34 1.95 9.91 7.94
"33" 3.9 4.69 2.19 9.39 8.16
"34" 3.45 4.53 1.65 9.26 7.99
"35" 4.06 4.88 1.78 10.63 7.77
"36" 4.22 5.23 2.28 10.42 8.16
"37" 4.2 4.65 2.24 9.13 8.14
"38" 4.22 4.84 1.75 10.14 7.53
"39" 3.91 4.88 1.92 9.46 8.04
"40" 3.98 4.37 2.11 8.86 7.87
"41" 4.23 5.03 2.08 9.45 7.86
"42" 4.14 4.9 2.78 10.19 8.35
"43" 3.84 5 1.93 10.2 8.28
"44" 3.9 5.15 2.05 9.52 8.3
"45" 3.97 5.1 2.06 10.32 7.88
"46" 3.92 4.91 2.01 9.59 8.05
"47" 3.89 5.23 2.12 10.39 8.05
"48" 3.86 4.72 1.74 10.03 7.99
"49" 3.81 4.89 1.89 10.38 7.74
"50" 4.34 5.02 2.09 10.21 7.98
"51" 4.6 5.7 2.21 10.46 8.29
"52" 4.14 5.19 2.28 10.3 8.13
"53" 4.22 5.12 2.26 9.99 8.04
"54" 4.15 4.96 2.23 10.31 7.86
"55" 4.2 5.15 2.21 10.48 8.24
"56" 3.93 4.96 1.56 9.73 7.7
"57" 4.18 5 2.1 10.72 7.83
"58" 4.05 4.68 1.88 9.34 7.83
"59" 3.99 5.06 2.17 10.19 8.21
"60" 3.81 4.51 1.75 10.39 7.78
"61" 4.19 4.8 2.22 10.19 7.96
"62" 4.14 4.97 2.28 9.77 8.2
"63" 4.44 5.7 2.21 10.55 8.24
"64" 4.39 5.02 2.03 9.84 8.01
"65" 4 4.52 2.11 10.06 7.89
"66" 4.17 5.28 1.99 9.89 8.03
"67" 4.02 5.04 2.07 10.06 7.92
"68" 3.9 4.79 2.02 9.82 7.85
"69" 3.8 5.02 1.93 10.06 8.03
"70" 4.15 4.96 1.89 9.67 7.89
"71" 4.25 5.02 2.11 9.88 7.95
"72" 4.16 5.43 2.13 10.29 8.27
"73" 4.14 4.59 2.13 9.72 7.88
"74" 4.42 5.26 2.36 10.69 8.26
"75" 3.63 4.72 1.88 9.66 7.82
"76" 3.92 4.81 1.93 10.1 7.81
"77" 4.04 5.15 1.9 9.86 7.98
"78" 3.98 5.1 2 9.85 8.11
"79" 3.6 4.92 1.85 10.57 8.15
"80" 3.95 4.53 1.77 10.58 7.92
"81" 4.05 5.02 2.04 10.44 8.2
"82" 4.03 4.84 2.06 10.78 7.96
"83" 3.74 4.93 1.67 9.6 7.68
"84" 4.61 5.01 2.25 9.47 7.95
"85" 4.3 5.11 2.21 10.91 8.04
"86" 4.06 5 2.09 9.74 7.96
"87" 3.87 4.62 1.97 9.81 8.03
"88" 3.55 4.62 1.95 9.4 8.03
"89" 3.91 4.8 1.94 10.33 7.85
"90" 4.04 4.95 2.33 9.94 8.2
"91" 4.24 5.5 2.13 9.94 8.15
"92" 4.19 4.53 2.2 10.05 8.07
"93" 4.12 5.14 2.15 10.29 7.75
"94" 3.9 4.73 2.05 9.93 7.8
"95" 4.03 5.09 1.88 9.14 7.95
"96" 3.9 4.58 2.03 9.23 7.8
"97" 3.86 4.32 1.78 9.96 7.89
"98" 3.21 4.68 1.19 9.8 7.87
"99" 3.93 5.09 2.12 10.25 8.09
"100" 3.86 4.56 1.76 10.24 7.86
"101" 4.11 4.99 2.11 9.78 7.99
"102" 3.7 4.48 1.99 9.58 7.72
"103" 4.12 5.19 1.94 10.27 7.95
"104" 4.35 5.09 2.09 10.27 7.97
"105" 3.95 4.95 2.18 9.87 8.13
"106" 4.2 5.15 2.32 10.57 8.21
"107" 4.3 5.49 2.14 10.55 8.22
"108" 3.77 4.64 1.62 9.67 8
"109" 4.01 5.15 2.28 10.94 8.32
"110" 3.95 5.14 1.97 10.27 8.15
"111" 4.05 5.22 2 10.1 8.1
"112" 3.85 5.09 2.01 10.13 7.91
"113" 3.84 4.74 1.71 9.66 7.98
"114" 3.72 5.16 1.88 10.11 8.24
"115" 3.88 4.81 1.84 10.15 7.79
"116" 3.91 4.62 1.75 9.52 7.93
"117" 4.21 5.52 1.69 9.99 7.84
"118" 4.56 5.24 2.67 10.37 8.23
"119" 3.94 5.14 1.58 10.2 7.73
"120" 4.27 5.12 2.16 10.01 7.97
"121" 4.01 4.84 1.97 10.44 7.8
"122" 4.52 4.99 2.03 10.26 8.07
"123" 3.67 4.82 1.58 9.42 7.73
"124" 3.86 4.84 1.67 10.24 7.95
"125" 4.37 4.79 2.56 10.21 8.09
"126" 4.08 5.18 2.18 9.71 8.29
"127" 4.33 4.98 2.16 10.32 7.8
"128" 3.78 4.57 1.96 9.94 7.85
"129" 4.36 5.09 2.36 9.8 8.11
"130" 4.2 4.82 2.35 10.05 8.14
"131" 3.69 4.66 1.87 10.25 8.16
"132" 3.62 4.96 1.76 10.06 8.26
"133" 3.64 4.7 1.69 9.68 7.82
"134" 3.86 4.91 1.71 10.07 7.83
"135" 4.11 5.27 1.69 10.57 8
"136" 4.1 5.41 2.24 9.68 8.08
"137" 4.31 5.45 2.23 10.35 8.19
"138" 3.62 4.65 1.93 9.63 8
"139" 4.18 5.67 2.09 10.42 8.33
"140" 3.79 4.94 1.72 9.77 8.03
"141" 3.82 4.49 2.03 10.08 7.89
"142" 4.14 5.15 2.07 10.49 8.15
"143" 3.79 4.81 1.63 10.68 7.74
"144" 3.82 5.54 2.17 10.44 8.25
"145" 3.54 4.56 1.87 9.28 7.88
"146" 4.17 4.98 2.3 9.73 8.2
"147" 3.78 5.06 1.75 10.11 7.93
"148" 4.21 5.63 1.98 10.62 8.11
"149" 3.77 4.83 1.54 10.4 7.88
"150" 4.03 5.04 2.05 9.67 7.95
"151" 4.06 4.76 2.11 10.3 7.99
"152" 4.25 5.08 2.54 10.33 8.3
"153" 3.94 4.75 1.87 9.77 7.95
"154" 3.76 4.57 2.03 9.68 7.87
"155" 4.15 5.13 2.39 10.41 7.91
"156" 3.62 4.5 1.86 9.94 7.93
"157" 4.16 4.93 2.27 9.23 8.16
"158" 3.74 5.09 1.61 9.51 7.8
"159" 4.39 5.16 2.34 10.05 8.02
"160" 4.06 5.09 2.16 9.98 8.14
"161" 4.1 4.99 1.98 9.96 8.11
"162" 4.06 4.9 2.15 10.03 8.12
"163" 3.73 4.92 1.68 9.89 8.05
"164" 3.85 5.07 1.72 10.94 7.71
"165" 3.71 5.13 1.79 10.16 7.72
"166" 3.39 4.35 1.69 9.56 7.76
"167" 3.59 5.08 1.57 9.68 8.07
"168" 4.05 5.22 2.09 11.01 8.14
"169" 3.91 5.16 1.8 9.52 8.02
"170" 3.77 4.65 2.04 9.41 7.79
"171" 3.98 5.26 2.02 10.04 8.03
"172" 3.92 4.46 2.04 10.36 7.69
"173" 3.81 4.8 2.04 9.5 8.04
"174" 4.11 5.26 2.09 9.96 7.84
"175" 3.87 5.11 1.91 10.13 8.27
