"FL10" "FL20" "Gender"
"1" 4.2 7.3 "F"
"2" 4.1 7.3 "F"
"3" 4.1 6.7 "M"
"4" 4.3 7.3 "F"
"5" 3.7 6.1 "M"
"6" 4.8 7.7 "F"
"7" 4.3 7.1 "F"
"8" 3.7 6.4 "M"
"9" 3.9 7.1 "F"
"10" 3.3 6.6 "F"
"11" 5.5 9.7 "M"
"12" 5.2 8.8 "M"
"13" 3.1 6.2 "M"
"14" 4.3 7.5 "F"
"15" 6.9 8.6 "M"
"16" 3.4 6.3 "F"
"17" 4.6 8.6 "M"
"18" 3.8 6.7 "F"
"19" 4.6 7.1 "M"
"20" 4.8 7.5 "F"
"21" 3.9 7 "F"
"22" 3.3 6.4 "F"
"23" 5.2 8.2 "F"
"24" 4.5 7.1 "M"
"25" 4.6 7.1 "M"
"26" 6 8.9 "M"
"27" 6.6 9.4 "M"
"28" 3.8 6.9 "F"
"29" 3.9 6.8 "F"
"30" 4.2 7.3 "F"
"31" 4 6.4 "M"
"32" 8 10.9 "M"
"33" 3.2 6.6 "F"
"34" 3.8 7.1 "F"
"35" 4 6.7 "M"
"36" 4 7.5 "F"
"37" 4.1 7 "F"
"38" 3.7 6.4 "F"
"39" 4.3 7 "F"
"40" 4.2 7.3 "F"
"41" 5.8 8.8 "M"
"42" 5.2 8.7 "M"
"43" 3.9 7 "F"
"44" 5.3 7.3 "M"
"45" 2.8 6 "M"
"46" 5.8 7.8 "M"
"47" 3.2 6.7 "F"
"48" 4 8.1 "M"
"49" 5.7 9.1 "M"
"50" 4 6.9 "F"
"51" 3.1 6.2 "F"
"52" 3.9 6.8 "F"
"53" 3.5 6.8 "F"
"54" 4.8 8.9 "M"
"55" 3.8 7.4 "M"
"56" 7.3 10.5 "M"
"57" 3.4 6.7 "F"
"58" 3.7 6.5 "F"
"59" 5.7 9.3 "M"
"60" 4.1 7.1 "F"
"61" 2.9 6.1 "F"
"62" 5 8.2 "M"
"63" 2.9 6.2 "F"
"64" 4.1 6.2 "M"
"65" 6.8 9.9 "M"
"66" 4.1 6.8 "F"
"67" 3.6 6.7 "F"
"68" 3.6 5.8 "M"
"69" 4.5 8.1 "M"
"70" 4.2 7 "F"
"71" 7.9 11.1 "M"
"72" 3.5 7 "F"
"73" 2.3 5.2 "M"
"74" 3.8 6.6 "F"
"75" 7.2 10.8 "M"
"76" 4.2 7.4 "F"
"77" 8.8 10.5 "M"
"78" 3.8 6.9 "F"
"79" 7.3 10.2 "M"
"80" 6.7 9.5 "M"
"81" 1.9 5.9 "M"
"82" 3.9 6.2 "F"
"83" 3.4 6.2 "F"
"84" 4.3 7.3 "F"
"85" 2.9 6.1 "F"
"86" 4.2 7.4 "F"
"87" 4.2 7.4 "F"
"88" 4.3 7.4 "F"
"89" 4.2 8.5 "M"
"90" 4.6 7.6 "M"
"91" 3.5 6.1 "M"
"92" 3.9 7 "F"
"93" 3.8 6.7 "F"
"94" 3.3 6.5 "F"
"95" 7.9 10.3 "M"
"96" 3.7 6.6 "F"
"97" 4.4 7.9 "F"
"98" 7.1 10.4 "M"
"99" 4.4 7.2 "F"
"100" 1.8 4.9 "M"
