"giorni" "peso" "sesso" "gruppo"
"47" 123 1.394 "M" "Europa"
"7" 219 2.672 "M" "Asia"
"67" 203 2.261 "F" "Asia"
"50" 154 1.945 "M" "Europa"
"56" 100 1.206 "F" "Europa"
"11" 285 3.352 "M" "Europa"
"51" 163 1.805 "F" "Asia"
"34" 247 2.858 "M" "Europa"
"73" 257 2.872 "F" "Europa"
"69" 183 2.298 "F" "Europa"
"75" 155 1.756 "F" "Europa"
"58" 165 1.668 "F" "Asia"
"18" 154 1.941 "M" "Asia"
"41" 183 2.143 "M" "Asia"
"5" 247 2.902 "M" "Asia"
"93" 67 0.773 "F" "Asia"
"72" 177 2.067 "F" "Asia"
"82" 243 2.803 "F" "Europa"
"21" 40 0.611 "M" "Asia"
"13" 134 1.654 "M" "Asia"
"14" 268 3.373 "M" "Europa"
"61" 256 2.878 "F" "Europa"
"10" 204 2.417 "M" "Asia"
"94" 150 1.863 "F" "Europa"
"80" 101 1.202 "F" "Europa"
"25" 114 1.288 "M" "Asia"
"70" 242 2.421 "F" "Europa"
"100" 60 0.674 "F" "Asia"
"31" 276 3.373 "M" "Asia"
"6" 104 1.121 "M" "Europa"
"91" 251 2.87 "F" "Asia"
"109" 58 0.552 "F" "Europa"
"30" 106 1.235 "M" "Europa"
"49" 135 1.653 "M" "Asia"
"110" 218 2.563 "F" "Asia"
"33" 276 3.35 "M" "Asia"
"108" 181 2.039 "F" "Asia"
"37" 39 0.452 "M" "Asia"
"39" 125 1.576 "M" "Asia"
"84" 148 1.529 "F" "Europa"
"79" 222 2.562 "F" "Asia"
"64" 178 2.048 "F" "Asia"
"3" 164 1.908 "M" "Europa"
"62" 155 1.668 "F" "Europa"
"40" 133 1.694 "M" "Europa"
"81" 49 0.658 "F" "Europa"
"32" 51 0.806 "M" "Europa"
"2" 97 1.142 "M" "Europa"
"1" 51 0.47 "M" "Europa"
"95" 57 0.871 "F" "Asia"
"78" 137 1.275 "F" "Asia"
"97" 171 1.87 "F" "Europa"
"59" 189 2.239 "F" "Europa"
"43" 272 3.372 "M" "Europa"
"104" 154 1.703 "F" "Europa"
"29" 139 1.568 "M" "Asia"
"90" 36 0.572 "F" "Asia"
"99" 219 2.523 "F" "Europa"
"60" 86 1.054 "F" "Europa"
"83" 144 1.611 "F" "Europa"
"16" 145 1.693 "M" "Europa"
"35" 254 3.166 "M" "Europa"
"112" 80 0.812 "F" "Europa"
"12" 55 0.659 "M" "Europa"
"88" 216 2.499 "F" "Asia"
"65" 282 3.104 "F" "Asia"
"28" 37 0.298 "M" "Asia"
"44" 38 0.547 "M" "Europa"
"38" 106 1.36 "M" "Asia"
"107" 49 0.668 "F" "Asia"
"17" 42 0.616 "M" "Asia"
"111" 252 2.975 "F" "Asia"
"53" 215 2.345 "F" "Europa"
"89" 65 0.778 "F" "Asia"
"106" 150 1.617 "F" "Europa"
"24" 203 2.77 "M" "Asia"
"105" 163 2.021 "F" "Europa"
"54" 135 1.493 "F" "Europa"
"26" 59 0.794 "M" "Europa"
"23" 137 1.689 "M" "Europa"
"63" 34 0.521 "F" "Europa"
"52" 120 1.416 "F" "Asia"
"85" 278 3.135 "F" "Asia"
"57" 249 2.656 "F" "Asia"
"42" 176 2.189 "M" "Asia"
"96" 174 1.919 "F" "Asia"
"45" 167 2.016 "M" "Europa"
"22" 177 2.225 "M" "Europa"
"74" 275 2.995 "F" "Europa"
"102" 274 3.257 "F" "Asia"
"101" 136 1.583 "F" "Asia"
"87" 92 1.056 "F" "Asia"
"48" 217 2.558 "M" "Asia"
"19" 143 1.496 "M" "Europa"
"77" 163 1.804 "F" "Asia"
"36" 34 0.33 "M" "Asia"
"55" 156 1.833 "F" "Asia"
"4" 159 1.772 "M" "Asia"
"27" 285 3.505 "M" "Asia"
"8" 211 2.46 "M" "Europa"
"66" 181 1.991 "F" "Asia"
"92" 127 1.574 "F" "Asia"
"15" 44 0.488 "M" "Europa"
"86" 228 2.629 "F" "Asia"
"20" 95 1.302 "M" "Asia"
"76" 245 2.887 "F" "Asia"
"46" 204 2.341 "M" "Europa"
"103" 215 2.495 "F" "Europa"
"68" 46 0.422 "F" "Asia"
"98" 244 2.812 "F" "Asia"
"9" 262 3.309 "M" "Europa"
"71" 137 1.601 "F" "Europa"
