"HC" "FL"
"1" 25.4 7.4
"2" 25.8 7.5
"3" 25.6 7.7
"4" 25.1 7.4
"5" 24.8 7
"6" 24.2 6.5
"7" 24.7 7.1
"8" 24.8 6.4
"9" 24.1 6
"10" 25.7 7.7
"11" 24.3 6.3
"12" 25.2 7.3
"13" 25.4 7.5
"14" 25.6 7.6
"15" 24.9 6.8
"16" 24.1 6.2
"17" 25.5 7.3
"18" 25.5 7.4
"19" 24.9 6.9
"20" 25 6.6
"21" 25.4 7.7
"22" 24.9 6.8
"23" 25 7
"24" 24.9 7.2
"25" 25.6 7.6
"26" 24.8 6.7
"27" 24.9 6.6
"28" 25.4 7.8
"29" 25 7.1
"30" 25.3 7.4
"31" 25.1 7.3
"32" 24.3 6.7
"33" 24.5 6.5
"34" 25.6 7.3
"35" 25.2 7.3
"36" 24.9 6.8
"37" 24.9 6.7
"38" 25.7 8
"39" 24.9 7.4
"40" 24.9 7
"41" 25 6.8
"42" 25.7 7.5
"43" 25.4 7.2
"44" 25.3 7.1
"45" 25.1 6.7
"46" 25.2 6.9
"47" 25.4 7.4
"48" 24.8 6.5
"49" 24.5 6.7
"50" 24.3 6.3
"51" 25.5 7.5
"52" 24.7 6.7
