"M" "F"
"1" 11.46 13.63
"2" 13.41 11.41
"3" 11.78 13.69
"4" 12.07 13.77
"5" 13.18 12.01
"6" 12.4 11.22
"7" 10.52 14.01
"8" 13.53 12.08
"9" 12.34 13.05
"10" 11.58 13.17
"11" 11.05 13.26
"12" 12.58 12.46
"13" 11.65 12.39
"14" 11.33 14.88
"15" 11.48 14.05
"16" 11.79 13.07
"17" 13.5 12.16
"18" 12.89 12.7
"19" 10.57 14.07
"20" 11.66 12.67
"21" 10.47 14.26
"22" 11.49 13.49
"23" 12.04 12.84
"24" 10.81 13.54
"25" 10.99 13.51
"26" 10.7 14.53
"27" 11.44 13.28
"28" 11.85 12.69
"29" 12.2 12.72
"30" 12.22 12.03
"31" 12.83 12.74
"32" 9 15.72
"33" 12.23 12.95
"34" 10.82 14.4
"35" 10.55 15.29
"36" 12.34 12.69
"37" 11.9 13.96
"38" 12.51 13.32
"39" 10.69 13.09
"40" 12.45 11.81
"41" 10.42 14.98
"42" 13.15 13.11
"43" 12.33 11.96
"44" 13.56 11.44
"45" 12.74 13.28
"46" 10.94 13.58
"47" 13.14 12.5
"48" 11.84 12.83
"49" 11.2 12.99
"50" 10.63 12.93
"51" 13.01 11.06
"52" 11.56 13.83
"53" 12.1 13.92
"54" 11.25 12.6
"55" 11.98 12.87
"56" 14.72 10.34
"57" 11.61 13.12
"58" 9.82 14.04
"59" 12.57 11.98
"60" 12.53 14.08
"61" 15.21 12.33
"62" 11.28 12.99
"63" 12 13.67
"64" 12.53 13.23
"65" 10.92 13.78
"66" 12.6 11.67
"67" 10.93 15.08
"68" 12.08 13.03
"69" 11.86 13.08
"70" 12.56 13.37
"71" 15.05 11.25
"72" 13.48 12.81
"73" 13.35 13.09
"74" 13.77 11.61
"75" 12.73 11.8
"76" 12.3 13.09
"77" 11.04 13.65
"78" 12.89 13.02
"79" 12.41 13.32
"80" 13.34 12.74
"81" 11.21 14.09
"82" 12.36 13.57
"83" 11.47 13.71
"84" 12.36 12.62
"85" 12.05 12.97
"86" 12.34 13.39
"87" 12.37 12.75
"88" 10.89 13.21
"89" 10.9 14
"90" 11.84 13.11
"91" 13.47 11.4
"92" 10.06 15.08
"93" 12.19 12.56
"94" 12.73 11.76
"95" 10.82 13.69
"96" 11.53 14.05
"97" 13.15 12.13
"98" 13.28 11.72
"99" 9.95 15.05
"100" 12.04 13.26
