"autunno" "inverno" "primavera" "estate"
"1" 10621 10374 11244 13645
"2" 8976 11460 10301 15261
"3" 8392 7689 9271 13035
"4" 9504 11336 11062 14256
"5" 10245 13032 11341 14670
"6" 8663 12672 12385 12669
"7" 8818 13626 11364 13599
"8" 10702 12617 14475 17014
"9" 11196 13585 12784 14325
"10" 7025 10727 8129 13509
"11" 9187 11785 12671 14867
"12" 8172 9515 10293 14700
"13" 10896 14283 11338 13986
"14" 7332 11160 10539 12330
"15" 9183 8597 11757 15978
"16" 11677 11293 14257 16195
"17" 11286 13822 12949 15236
"18" 9119 10470 12685 14848
"19" 8883 13858 10841 13983
"20" 8527 8568 10335 13252
"21" 11194 11953 11076 13998
"22" 11077 15001 14020 14614
"23" 9976 12784 12044 15371
"24" 8752 15087 11163 13185
"25" 10370 11354 10940 13615
"26" 9807 11396 12593 14988
"27" 6781 8383 10030 12088
"28" 10748 13021 11416 15411
"29" 11070 13403 13762 17259
"30" 9726 12639 11676 14591
"31" 7709 11044 8932 12973
"32" 9960 11008 10484 12949
"33" 5871 11985 9739 13130
"34" 10885 15444 12277 16397
"35" 11176 9370 11520 15145
"36" 9827 13106 11076 14854
"37" 11125 8967 12723 16870
"38" 8726 9908 10541 14791
"39" 10917 13035 13240 15693
"40" 8891 8677 10860 14425
"41" 10241 13432 12425 14883
"42" 13344 12644 14534 17451
"43" 8865 11648 12241 15274
"44" 9490 11994 12912 14942
"45" 8864 10538 12277 13701
"46" 11130 12526 15384 16374
"47" 9077 10403 10646 15136
"48" 11915 12014 12754 14479
"49" 12063 12370 14106 17007
"50" 10610 12911 12755 14299
"51" 8302 14074 11580 13383
"52" 11043 7634 12248 15391
"53" 7685 13305 13241 14087
"54" 11161 15569 14073 16718
"55" 8749 8868 11015 13959
"56" 11093 12254 12738 15826
"57" 10054 12733 13244 17295
"58" 10788 15680 12326 15229
"59" 10566 15936 12970 15058
"60" 11091 15862 14337 15204
"61" 9542 12090 11096 13971
"62" 10381 13958 12255 15611
"63" 12125 8600 14971 16369
"64" 7546 12345 9281 13414
"65" 11514 11696 12294 16792
"66" 10510 15714 14379 15612
"67" 10496 11605 10941 15330
"68" 10593 10756 13787 15761
"69" 9992 9199 13564 15972
"70" 10961 12603 12823 14066
"71" 10571 13327 12818 16451
"72" 11148 13057 14434 17257
"73" 11475 12112 13846 16425
"74" 9382 9905 11547 13027
"75" 9821 9554 12403 14333
"76" 12236 12019 14426 17513
"77" 10819 11198 12302 15830
"78" 9507 13469 14860 14948
"79" 10518 17079 11776 14974
"80" 8329 11547 11137 14565
"81" 9292 11205 12946 15238
"82" 9962 11137 10821 14902
"83" 9228 12646 13856 14631
"84" 13030 15250 15256 18486
"85" 9475 9740 9374 13602
"86" 8996 8615 10752 13614
"87" 8941 12005 12626 14628
"88" 7324 8195 11912 12920
"89" 14123 13644 15843 18327
"90" 10653 14311 13755 14804
"91" 10036 8837 12064 14108
"92" 9310 11561 11861 14749
"93" 10435 12442 11947 15475
"94" 8385 10051 11117 13481
"95" 9986 14709 12021 17536
"96" 10167 11936 11579 14816
"97" 8727 14757 10100 12840
"98" 9618 11056 11100 13824
"99" 10159 10343 13588 16570
"100" 9489 10946 13332 14908
"101" 8417 11357 9910 13809
"102" 11349 12166 12467 15865
"103" 11555 11640 13104 16912
"104" 12274 14783 13130 16274
"105" 12058 13035 14375 18864
"106" 15064 11770 15050 19218
"107" 7014 13559 10224 12965
"108" 8825 13891 11715 12597
"109" 14171 13364 13920 16078
"110" 10633 11999 11727 15832
"111" 6431 11644 10020 14131
"112" 11122 12166 10730 12684
"113" 11274 12892 13160 15761
"114" 9526 12221 9064 15585
"115" 9640 13672 10551 15125
"116" 8254 11588 10214 13423
"117" 11160 13337 11400 16662
"118" 9958 10498 11390 15609
"119" 9875 10131 12403 14699
"120" 8470 12445 8812 12000
"121" 8853 17435 11935 14171
"122" 11880 14095 14163 16047
"123" 12064 13715 13246 16992
"124" 11550 13498 11773 16171
"125" 8555 10124 10673 13348
"126" 10583 15544 11504 16095
"127" 8587 10630 10833 13154
"128" 11457 14376 16344 18060
"129" 8829 8339 9921 14289
"130" 8213 15180 10447 12178
