"velocita" "punteggio" "sole"
"1" 250.5 "vantaggio" "front"
"2" 242 "vantaggio" "front"
"3" 151.7 "svantaggio" "front"
"4" 208.7 "vantaggio" "back"
"5" 191.9 "parita" "back"
"6" 153.5 "svantaggio" "front"
"7" 170.8 "vantaggio" "back"
"8" 153.8 "parita" "back"
"9" 220 "vantaggio" "front"
"10" 160.9 "parita" "front"
"11" 201.2 "svantaggio" "back"
"12" 140.3 "svantaggio" "back"
"13" 132.5 "svantaggio" "front"
"14" 209.3 "svantaggio" "back"
"15" 140.5 "svantaggio" "back"
"16" 159.6 "svantaggio" "back"
"17" 154.3 "vantaggio" "back"
"18" 168.5 "svantaggio" "back"
"19" 151.6 "svantaggio" "front"
"20" 202 "vantaggio" "front"
"21" 194.9 "vantaggio" "front"
"22" 174.7 "svantaggio" "back"
"23" 217 "vantaggio" "front"
"24" 138.6 "parita" "back"
"25" 146.1 "parita" "back"
"26" 158.4 "svantaggio" "back"
"27" 107.9 "parita" "back"
"28" 98.1 "parita" "back"
"29" 194 "vantaggio" "front"
"30" 149.8 "svantaggio" "front"
"31" 199.9 "vantaggio" "front"
"32" 251.4 "vantaggio" "back"
"33" 195.7 "vantaggio" "front"
"34" 180.4 "vantaggio" "back"
"35" 197.2 "vantaggio" "front"
"36" 183.2 "vantaggio" "front"
"37" 155.5 "svantaggio" "front"
"38" 189.4 "vantaggio" "front"
"39" 206.6 "vantaggio" "front"
"40" 226.9 "vantaggio" "front"
"41" 224.3 "vantaggio" "back"
"42" 135.3 "svantaggio" "front"
"43" 258.4 "vantaggio" "front"
"44" 166.7 "vantaggio" "front"
"45" 160.5 "svantaggio" "back"
"46" 201.1 "vantaggio" "back"
"47" 216 "vantaggio" "back"
"48" 234.6 "vantaggio" "back"
"49" 181.2 "svantaggio" "front"
"50" 131.5 "svantaggio" "front"
"51" 197.4 "vantaggio" "back"
"52" 174.9 "vantaggio" "front"
"53" 176.7 "svantaggio" "front"
"54" 205.1 "vantaggio" "front"
"55" 227.8 "vantaggio" "back"
"56" 199.5 "vantaggio" "front"
"57" 169.9 "svantaggio" "back"
"58" 144 "svantaggio" "front"
"59" 119.6 "parita" "front"
"60" 152 "svantaggio" "back"
"61" 181.9 "vantaggio" "back"
"62" 169 "parita" "front"
"63" 147.3 "parita" "front"
"64" 172.9 "svantaggio" "front"
"65" 202.6 "vantaggio" "back"
"66" 166.5 "vantaggio" "back"
"67" 118.9 "svantaggio" "front"
"68" 191.2 "vantaggio" "front"
"69" 159.6 "svantaggio" "back"
"70" 164 "parita" "front"
"71" 158.1 "svantaggio" "back"
"72" 162.3 "vantaggio" "front"
"73" 189.9 "vantaggio" "front"
"74" 177.4 "svantaggio" "front"
"75" 142.9 "svantaggio" "back"
"76" 97.8 "svantaggio" "front"
"77" 128.8 "parita" "front"
"78" 215.3 "vantaggio" "front"
"79" 169.1 "parita" "back"
"80" 174.7 "svantaggio" "front"
"81" 140.9 "svantaggio" "back"
"82" 193.9 "svantaggio" "back"
"83" 241.1 "vantaggio" "back"
"84" 205.1 "vantaggio" "back"
"85" 159.2 "svantaggio" "back"
"86" 168.2 "svantaggio" "front"
"87" 158.6 "svantaggio" "back"
"88" 147.2 "svantaggio" "front"
"89" 208.9 "vantaggio" "front"
"90" 157.2 "vantaggio" "back"
"91" 90.8 "parita" "front"
"92" 217.3 "vantaggio" "front"
"93" 180.5 "svantaggio" "back"
"94" 141 "parita" "back"
"95" 136 "vantaggio" "back"
"96" 84.6 "parita" "back"
"97" 180.3 "vantaggio" "front"
"98" 220.2 "vantaggio" "front"
"99" 207.5 "vantaggio" "back"
"100" 213.8 "vantaggio" "back"
"101" 197.8 "vantaggio" "back"
"102" 206.8 "vantaggio" "front"
"103" 175.8 "svantaggio" "back"
"104" 138.5 "svantaggio" "back"
"105" 132.9 "parita" "back"
"106" 203.1 "vantaggio" "back"
"107" 158.3 "parita" "front"
"108" 199.7 "vantaggio" "back"
"109" 118.6 "svantaggio" "back"
"110" 158.3 "svantaggio" "front"
"111" 163.4 "parita" "back"
"112" 158.1 "svantaggio" "back"
"113" 198.6 "vantaggio" "back"
"114" 114.8 "svantaggio" "front"
"115" 109.8 "parita" "back"
"116" 136.3 "svantaggio" "back"
"117" 226.9 "vantaggio" "front"
"118" 143.7 "svantaggio" "back"
"119" 200.3 "vantaggio" "front"
"120" 153.9 "vantaggio" "back"
"121" 234.5 "vantaggio" "back"
"122" 186.5 "vantaggio" "front"
"123" 221.6 "vantaggio" "front"
"124" 226.1 "vantaggio" "back"
"125" 172.2 "vantaggio" "back"
