"x" "y"
"1" 2.1 1.52
"2" 0.42 0.28
"3" 0.78 1.42
"4" 1.04 1.43
"5" 0.47 0.16
"6" 1.03 1.3
"7" 0.54 0.38
"8" 0.35 0.57
"9" 0.65 0.19
"10" 1.24 1.83
"11" 0.61 0.7
"12" 1.03 0.94
"13" 1.65 1.94
"14" 0.8 0.55
"15" 0.78 0.84
"16" 1.08 1.34
"17" 1.05 1.36
"18" 1.15 1.07
"19" 1.11 1.4
"20" -0.07 -0.82
"21" 1.02 1.13
"22" 0.18 0.56
"23" 1.74 2.21
"24" 0.88 1.35
"25" 0.52 0.16
"26" 1.45 1.38
"27" 1.45 1.73
"28" 1.12 1.05
"29" 1.63 1.45
"30" 0.56 1.42
"31" 0.94 1.33
"32" 1.23 1.06
"33" 1.32 0.81
"34" 1.01 1.59
"35" 1.07 0.27
"36" 1.8 1.92
"37" 1.2 0.9
"38" -0.38 -0.34
"39" 2.91 3.06
"40" -0.07 -0.41
"41" -0.25 -0.22
"42" 0.75 0.79
"43" 1.51 1.25
"44" 2.91 2.94
"45" 2.14 2.93
"46" 1.06 1.49
"47" 0.12 0.28
"48" 0.5 0.76
"49" 1.61 2
"50" -0.08 0.27
