"T" "D" "C"
"1" 39.56 6.73 15.05
"2" 39.7 11.76 24.38
"3" 37.88 13.26 22.21
"4" 37.91 5.53 17.24
"5" 39.24 12.1 21.99
"6" 40.62 9.91 19.03
"7" 40.31 8.9 18.6
"8" 38.94 7.51 21.79
"9" 43.87 9.87 16.12
"10" 39.64 11.78 22.62
"11" 43.5 10.25 22.81
"12" 38.4 6.07 15.92
"13" 36.67 10.47 16.7
"14" 37.75 9.53 21.06
"15" 40.73 11.01 22.06
"16" 40.66 11.45 20.36
"17" 36.9 11.04 22.82
"18" 39.84 10.19 19.38
"19" 39.02 8.62 19.95
"20" 42.07 12.88 25.48
"21" 38.07 8.35 17.74
"22" 40.28 10.83 19.11
"23" 39.34 9.87 20.07
"24" 42.91 10.66 23.12
"25" 44.66 9.8 20.83
"26" 41.66 12.71 16.14
"27" 39.47 11.47 18.32
"28" 40.11 8.14 20.05
"29" 36.01 10.06 18.95
"30" 39.59 11.11 17.52
"31" 39.83 3.48 20.17
