"T" "D" "C"
"1" 39.87 7.98 14.93
"2" 39.45 12.79 24.02
"3" 37.97 14.19 21.94
"4" 38.01 6.46 16.97
"5" 39.12 13.15 21.77
"6" 40.08 10.81 19.17
"7" 39.61 9.47 18.73
"8" 38.93 8.97 21.48
"9" 44.01 10.14 16.31
"10" 39.82 12.64 22.73
"11" 43.33 11.22 23.06
"12" 38.08 6.96 15.57
"13" 37.02 10.97 16.26
"14" 37.77 10.91 20.4
"15" 40.4 11.51 22.63
"16" 40.36 12.3 21.21
"17" 37.28 11.92 23.23
"18" 39.25 10.98 19.93
"19" 38.71 9.75 20.26
"20" 42.35 14.06 25.29
"21" 37.83 9.27 17.89
"22" 40.09 11.79 18.97
"23" 39.14 10.94 20.08
"24" 42.7 11.49 23.36
"25" 44.25 10.82 20.95
"26" 41.81 13.66 16.4
"27" 38.61 12.88 18.12
"28" 39.68 8.73 19.87
"29" 36.17 11.01 18.48
"30" 39.16 12.39 17.56
"31" 39.62 4.62 20.82
