"Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec"
"St. Johns" -4.65 -5.33 -2.53 1.26 5.79 10.79 15.21 15.28 11.62 7.02 2.95 -1.85
"Halifax" -6.16 -6.18 -1.74 3.62 9.44 14.78 18.38 18.2 13.87 8.49 3.24 -2.99
"Sydney" -5.72 -6.8 -2.94 1.85 7.5 13.14 17.49 17.64 13.31 8.27 3.53 -2.03
"Yarmouth" -3.22 -3.49 0.15 4.69 9.34 13.4 16.29 16.6 13.59 9.25 4.9 -0.46
"Charlottvl" -8.11 -8.26 -3.44 2.32 8.76 14.44 18.29 17.98 13.44 8.03 2.57 -4.15
"Fredericton" -9.92 -8.74 -2.59 4.06 10.79 16.21 19.24 18.31 13 7.3 1.17 -6.59
"Scheffervll" -23.71 -22.38 -15.88 -7.35 0.91 8.23 12.37 10.95 5.35 -1.45 -9.2 -19.68
"Arvida" -15.36 -13.23 -5.82 2.95 10.2 16 18.66 17.06 11.95 5.96 -1.16 -11.04
"Bagottville" -16.24 -14.3 -6.59 2.27 9.33 15.37 17.94 16.46 11.02 4.98 -2.36 -11.97
"Quebec" -12.78 -11.28 -4.67 3.29 10.91 16.38 19.05 17.65 12.5 6.46 -0.54 -8.98
"Sherbrooke" -11.82 -10.65 -4.04 3.93 10.79 15.49 17.97 16.69 11.96 6.38 0 -8.22
"Montreal" -10.53 -9.06 -2.51 5.72 12.99 18.04 20.83 19.42 14.52 8.28 1.66 -6.77
"Ottawa" -11.08 -9.42 -2.83 5.63 12.93 17.97 20.78 19.23 14.21 7.85 1.01 -7.51
"Toronto" -6.81 -6.1 -0.79 6.16 12.4 17.5 20.53 19.49 15.14 8.9 3.22 -3.32
"London" -6.75 -6.21 -0.6 6.3 12.66 17.72 20.29 19.26 15.2 9.07 3.25 -3.31
"Thunderbay" -15.06 -12.66 -5.64 2.68 9.04 13.86 17.59 16.48 11.13 5.26 -2.81 -11.32
"Winnipeg" -18.32 -14.94 -6.79 3.82 11.7 16.92 19.59 18.34 12.24 5.51 -4.92 -14.58
"The Pas" -21.34 -17.43 -9.68 0.57 8.72 14.7 17.61 16.37 9.85 3.32 -7.75 -17.85
"Churchill" -27.04 -25.61 -20.18 -10.25 -1.13 6.31 11.83 11.35 5.46 -1.61 -12.64 -22.75
"Regina" -16.5 -12.84 -5.65 4.22 11.47 16.37 18.86 18.03 11.62 4.99 -5.14 -13.49
"Pr. Albert" -19.76 -15.86 -8.28 2.77 10.41 15.13 17.46 16.13 9.96 3.59 -7.54 -16.85
"Uranium Cty" -26.89 -22.29 -15.05 -2.48 6.91 13.28 16.2 14.47 7.29 0.44 -11.77 -22.19
"Edmonton" -14.07 -10.8 -5.08 3.84 10.38 14.2 15.98 15.06 9.97 4.52 -5.66 -12.08
"Calgary" -9.45 -6.29 -2.24 4.28 9.77 13.94 16.25 15.64 10.66 5.59 -2.99 -8
"Kamloops" -4.79 -0.55 4.56 9.53 14.23 18.29 20.83 20.31 15.01 8.51 1.63 -3.17
"Vancouver" 2.98 4.75 6.38 8.94 12.28 15.23 17.29 17.43 14.36 10.03 5.96 3.52
"Victoria" 3.52 4.89 6.25 8.52 11.61 14.36 16.27 16.27 13.82 9.78 5.98 3.9
"Pr. George" -9.88 -5.44 -0.52 4.86 9.62 13.23 15.33 14.72 9.94 4.72 -2.98 -8.16
"Pr. Rupert" 0.94 2.55 3.69 5.69 8.46 10.98 12.94 13.33 11.34 7.99 4 1.82
"Whitehorse" -18.44 -13.21 -6.97 0.55 6.75 11.71 14.01 12.44 7.17 0.56 -9.86 -15.69
"Dawson" -28.83 -23.76 -13.02 -1.07 7.77 13.54 15.53 12.6 5.93 -4.15 -17.81 -25.43
"Yellowknife" -27.89 -24.7 -18.15 -6.21 5.08 13.11 16.52 14.15 6.65 -1.49 -14.66 -23.98
"Iqaluit" -26.24 -27.33 -23.82 -15.07 -4.4 3.39 7.66 6.81 2.2 -4.8 -12.99 -22.41
"Inuvik" -28.63 -28.33 -23.7 -13.81 -0.41 10.66 13.94 10.67 3.18 -8.16 -21.5 -26.14
"Resolute" -32.37 -33.01 -31.23 -23.56 -10.98 -0.58 4.12 1.81 -4.98 -15.05 -24.45 -29.13
