"Durata" "Ritardo_arrivo" "Ritardo_partenza"
"1" 6.26 0.1 0.13
"2" 6.6 0.09 -0.11
"3" 6.38 0.12 0.16
"4" 6.48 -0.03 0
"5" 6.55 -0.13 0.06
"6" 6.46 0.09 0.08
"7" 6.52 -0.04 -0.07
"8" 6.35 -0.14 0.15
"9" 6.59 0.13 -0.03
"10" 6.33 0 0.21
"11" 6.39 0.03 0.19
"12" 6.36 -0.07 0.08
"13" 6.29 -0.08 0.28
"14" 6.41 0.04 0.04
"15" 6.66 0.01 -0.14
"16" 6.41 -0.05 0.07
"17" 6.48 0.07 0.1
"18" 6.36 -0.08 0.12
"19" 6.36 0.06 0.12
"20" 6.29 -0.04 0.21
"21" 6.68 -0.05 -0.13
"22" 6.36 -0.01 0.11
"23" 6.57 0.09 0.01
"24" 6.6 0.06 -0.05
"25" 6.44 -0.03 0.01
"26" 6.32 0.02 0.19
"27" 6.37 0.02 0.18
"28" 6.19 0.13 0.24
"29" 6.48 0.06 0.07
"30" 6.42 -0.18 0.01
"31" 6.43 0.12 0.1
"32" 6.44 0.11 0.05
"33" 6.66 -0.19 -0.16
"34" 6.45 -0.02 0.1
"35" 6.33 -0.13 0.07
"36" 6.3 -0.01 0.17
"37" 6.33 -0.07 0.17
"38" 6.51 -0.04 0.05
"39" 6.55 -0.14 -0.04
"40" 6.33 0.09 0.12
"41" 6.17 0.12 0.25
"42" 6.61 0.17 -0.06
"43" 6.34 0.09 0.17
"44" 6.41 -0.03 0.04
"45" 6.5 0.15 0.11
"46" 6.31 -0.01 0.23
"47" 6.52 -0.11 0.02
"48" 6.53 -0.06 0
"49" 6.68 -0.18 -0.16
"50" 6.33 0.01 0.16
"51" 6.31 0.18 0.13
"52" 6.45 0.06 0.09
"53" 6.49 0.03 -0.06
"54" 6.43 0 0.06
"55" 6.47 -0.11 0.05
"56" 6.42 0.19 0.08
"57" 6.49 0.1 0.11
"58" 6.47 0.1 0.09
"59" 6.56 -0.08 -0.07
"60" 6.46 -0.09 0.04
"61" 6.53 0.01 -0.05
"62" 6.44 -0.02 0.03
"63" 6.51 0.02 -0.03
"64" 6.35 0.03 0.12
"65" 6.31 0.07 0.11
"66" 6.57 0.03 0.03
"67" 6.61 0.05 -0.12
"68" 6.31 0.04 0.09
"69" 6.42 0 0.04
"70" 6.46 -0.19 0.05
"71" 6.21 -0.02 0.31
"72" 6.45 -0.1 0.08
"73" 6.41 -0.02 0.06
"74" 6.3 0.01 0.18
"75" 6.37 -0.27 0.14
"76" 6.53 -0.01 -0.06
"77" 6.37 -0.12 0.09
"78" 6.47 0.07 0.09
"79" 6.41 0.16 0.01
"80" 6.46 -0.24 0.09
"81" 6.43 0 0.05
"82" 6.53 -0.03 -0.07
"83" 6.46 -0.14 0.03
"84" 6.54 -0.03 -0.03
"85" 6.41 -0.08 0.08
"86" 6.59 0.03 -0.07
"87" 6.7 0.05 -0.16
"88" 6.39 -0.27 0.15
"89" 6.44 -0.1 0.1
"90" 6.5 -0.02 -0.03
"91" 6.43 -0.07 0.11
"92" 6.53 -0.02 -0.07
"93" 6.4 0.13 0.06
"94" 6.3 0.01 0.13
"95" 6.41 0.12 0.11
"96" 6.38 0.06 0.09
"97" 6.44 0.04 0.05
"98" 6.43 0.06 0.07
"99" 6.45 -0.02 0.12
