"giorno" "centralina" "PM10"
"1" 1 1 41.605
"2" 1 2 41.622
"3" 1 3 43.427
"4" 1 4 42.276
"5" 1 5 42.583
"6" 2 1 44.219
"7" 2 2 44.48
"8" 2 3 44.937
"9" 2 4 44.388
"10" 2 5 42.648
"11" 3 1 46.442
"12" 3 2 46.987
"13" 3 3 46.009
"14" 3 4 45.752
"15" 3 5 47.326
"16" 4 1 49.298
"17" 4 2 46.895
"18" 4 3 49.13
"19" 4 4 47.198
"20" 4 5 47.49
"21" 5 1 48.905
"22" 5 2 49.833
"23" 5 3 50.738
"24" 5 4 49.633
"25" 5 5 50.035
"26" 6 1 52.414
"27" 6 2 51.698
"28" 6 3 51.818
"29" 6 4 51.942
"30" 6 5 52.619
"31" 7 1 54.705
"32" 7 2 53.896
"33" 7 3 52.853
"34" 7 4 53.412
"35" 7 5 52.38
"36" 8 1 57.428
"37" 8 2 55.082
"38" 8 3 54.75
"39" 8 4 53.657
"40" 8 5 56.856
"41" 9 1 56.42
"42" 9 2 53.429
"43" 9 3 57.286
"44" 9 4 54.86
"45" 9 5 54.636
"46" 10 1 56.204
"47" 10 2 56.675
"48" 10 3 57.527
"49" 10 4 57.682
"50" 10 5 55.786
