"garrese" "peso" "specie"
"1" 154.17 502.92 "inglese"
"2" 157.3 497.95 "inglese"
"3" 157.46 500.13 "inglese"
"4" 160.11 499.95 "inglese"
"5" 156.65 501.47 "inglese"
"6" 160.37 504.01 "inglese"
"7" 160.34 503.19 "inglese"
"8" 160.46 503.3 "inglese"
"9" 159.55 492.72 "inglese"
"10" 159.71 497.91 "inglese"
"11" 154.43 497.25 "inglese"
"12" 158.92 495.98 "inglese"
"13" 162.25 497.91 "inglese"
"14" 160.06 497.13 "inglese"
"15" 159.12 497.93 "inglese"
"16" 159.12 497.06 "inglese"
"17" 161.34 501.37 "inglese"
"18" 158.05 499.97 "inglese"
"19" 167.04 505.6 "inglese"
"20" 160.1 498.22 "inglese"
"21" 164.28 505.6 "inglese"
"22" 158.74 504.41 "inglese"
"23" 160.01 500.35 "inglese"
"24" 161.75 502.27 "inglese"
"25" 158.95 493.61 "inglese"
"26" 160 500.91 "inglese"
"27" 158.63 500.83 "inglese"
"28" 162.06 503.86 "inglese"
"29" 158.87 501.85 "inglese"
"30" 159.76 503.03 "inglese"
"31" 161.96 499.96 "inglese"
"32" 161.22 505.9 "inglese"
"33" 156.41 500.87 "inglese"
"34" 164.36 501.08 "inglese"
"35" 159.04 499.2 "inglese"
"36" 161.55 501.33 "inglese"
"37" 158.61 499.41 "inglese"
"38" 159.51 500.69 "inglese"
"39" 156.54 496.08 "inglese"
"40" 159.34 498.25 "inglese"
"41" 161.17 500.83 "inglese"
"42" 157.81 504.61 "inglese"
"43" 162.69 501.28 "inglese"
"44" 159.89 503.82 "inglese"
"45" 163.26 498.93 "inglese"
"46" 161.39 502.52 "inglese"
"47" 157.93 499.76 "inglese"
"48" 159.37 496.09 "inglese"
"49" 158.28 500.94 "inglese"
"50" 161.19 497.36 "inglese"
"51" 160.98 498.52 "inglese"
"52" 157.05 501.66 "inglese"
"53" 157.96 500.07 "inglese"
"54" 157.4 497.87 "inglese"
"55" 169.92 503.73 "arabo"
"56" 163.39 497.74 "arabo"
"57" 174.81 501.06 "arabo"
"58" 165.41 501.54 "arabo"
"59" 166.1 495.98 "arabo"
"60" 165.22 495.9 "arabo"
"61" 169.19 499.33 "arabo"
"62" 172.44 504.11 "arabo"
"63" 167.53 500.26 "arabo"
"64" 169.03 504.84 "arabo"
"65" 165.75 497.22 "arabo"
"66" 171.09 503.2 "arabo"
"67" 173.07 503.13 "arabo"
"68" 175.06 505.34 "arabo"
"69" 169.75 504.31 "arabo"
"70" 168.41 495.4 "arabo"
"71" 165.5 497.75 "arabo"
"72" 168.06 498.31 "arabo"
"73" 169.85 499.16 "arabo"
"74" 170.39 503.07 "arabo"
"75" 170.4 498.79 "arabo"
"76" 170.91 502.08 "arabo"
"77" 169.31 504.05 "arabo"
"78" 170.65 500.22 "arabo"
"79" 172.66 502.67 "arabo"
"80" 167.87 497.6 "arabo"
"81" 169.91 500.2 "arabo"
"82" 167.32 498.73 "arabo"
"83" 171.8 496.07 "arabo"
"84" 171.49 499.17 "arabo"
"85" 169.59 500.53 "arabo"
"86" 167.06 501.82 "arabo"
"87" 168.16 502.25 "arabo"
"88" 174.82 497.79 "arabo"
"89" 169.95 501.73 "arabo"
"90" 172.13 499 "arabo"
"91" 151.37 502.43 "altro"
"92" 166.89 504.44 "altro"
"93" 162.95 531.36 "altro"
"94" 171.05 506.19 "altro"
"95" 161.33 512.75 "altro"
"96" 196.89 494.59 "altro"
"97" 148.73 508.32 "altro"
"98" 171.18 480.29 "altro"
"99" 142.95 489.26 "altro"
"100" 186.01 497 "altro"
"101" 161.63 495.26 "altro"
"102" 159.01 488.58 "altro"
"103" 188.35 510.91 "altro"
"104" 162.01 499.29 "altro"
"105" 153.41 486.93 "altro"
"106" 151.9 490.99 "altro"
"107" 167.25 477.7 "altro"
"108" 169.98 512.42 "altro"
