"spesa" "stipendio" "status" "sesso"
"1" 115.89 2195 "Single" "M"
"2" 88.92 1112 "Single" "M"
"3" 74.03 1759 "Single" "M"
"4" 104.1 1259 "Single" "M"
"5" 100.96 1952 "Single" "M"
"6" 73.72 1473 "Single" "M"
"7" 115.59 1461 "Single" "M"
"8" 106.6 1325 "Single" "M"
"9" 97.18 1315 "Single" "M"
"10" 121.34 1268 "Single" "M"
"11" 117.61 1100 "Single" "M"
"12" 89.21 1390 "Single" "M"
"13" 89.98 1548 "Single" "M"
"14" 95.68 1301 "Single" "M"
"15" 98.42 1422 "Single" "M"
"16" 99.6 3263 "Single" "M"
"17" 107.24 1096 "Single" "M"
"18" 93.58 1332 "Single" "M"
"19" 103.37 1024 "Single" "M"
"20" 114.22 1234 "Single" "M"
"21" 86.63 2280 "Single" "M"
"22" 93.56 1026 "Single" "M"
"23" 112.38 1264 "Single" "M"
"24" 105.83 1311 "Single" "M"
"25" 96.82 2575 "Single" "M"
"26" 107.81 1866 "Single" "F"
"27" 117.75 1427 "Single" "F"
"28" 104.06 2778 "Single" "F"
"29" 89.53 1924 "Single" "F"
"30" 92.2 1625 "Single" "F"
"31" 100.46 1929 "Single" "F"
"32" 87.92 2004 "Single" "F"
"33" 106.24 1062 "Single" "F"
"34" 118.55 1255 "Single" "F"
"35" 113.52 1453 "Single" "F"
"36" 104.56 1073 "Single" "F"
"37" 87.77 1297 "Single" "F"
"38" 115.72 1753 "Single" "F"
"39" 94.73 1089 "Single" "F"
"40" 105.95 1066 "Single" "F"
"41" 109.03 1775 "Single" "F"
"42" 100.75 1611 "Single" "F"
"43" 123.45 1142 "Single" "F"
"44" 107.39 1158 "Single" "F"
"45" 89.73 1270 "Single" "F"
"46" 87.81 1776 "Single" "F"
"47" 106.77 1137 "Single" "F"
"48" 95.41 1187 "Single" "F"
"49" 92.72 1832 "Single" "F"
"50" 87.19 1191 "Single" "F"
"51" 103.24 1009 "Non-Single" "M"
"52" 110.83 1587 "Non-Single" "M"
"53" 145.96 2591 "Non-Single" "M"
"54" 83.37 1158 "Non-Single" "M"
"55" 70.88 1043 "Non-Single" "M"
"56" 93.46 1378 "Non-Single" "M"
"57" 111.52 1017 "Non-Single" "M"
"58" 57.15 1144 "Non-Single" "M"
"59" 113.18 1349 "Non-Single" "M"
"60" 90.47 1167 "Non-Single" "M"
"61" 80.84 1401 "Non-Single" "M"
"62" 89.25 1548 "Non-Single" "M"
"63" 128.92 1793 "Non-Single" "M"
"64" 103.06 1042 "Non-Single" "M"
"65" 125.31 1870 "Non-Single" "M"
"66" 90.02 1032 "Non-Single" "M"
"67" 106.57 1188 "Non-Single" "M"
"68" 118.65 1593 "Non-Single" "M"
"69" 110.86 1284 "Non-Single" "M"
"70" 114.95 1040 "Non-Single" "M"
"71" 92.77 1484 "Non-Single" "M"
"72" 136.12 1974 "Non-Single" "M"
"73" 122.71 1046 "Non-Single" "M"
"74" 120.84 1469 "Non-Single" "M"
"75" 104.34 1136 "Non-Single" "M"
"76" 114.83 2048 "Non-Single" "F"
"77" 123.07 2709 "Non-Single" "F"
"78" 90.33 1174 "Non-Single" "F"
"79" 105.92 1757 "Non-Single" "F"
"80" 75.99 1167 "Non-Single" "F"
"81" 119.31 1106 "Non-Single" "F"
"82" 87.15 1062 "Non-Single" "F"
"83" 117.53 1477 "Non-Single" "F"
"84" 104.33 1379 "Non-Single" "F"
"85" 121.06 1730 "Non-Single" "F"
"86" 107.24 1514 "Non-Single" "F"
"87" 83.01 1018 "Non-Single" "F"
"88" 104.14 1465 "Non-Single" "F"
"89" 115.21 2779 "Non-Single" "F"
"90" 90.9 1190 "Non-Single" "F"
"91" 97.72 1512 "Non-Single" "F"
"92" 101.39 1165 "Non-Single" "F"
"93" 129.69 1688 "Non-Single" "F"
"94" 112.72 1414 "Non-Single" "F"
"95" 126.26 1486 "Non-Single" "F"
"96" 95.99 1694 "Non-Single" "F"
"97" 133.75 2122 "Non-Single" "F"
"98" 115.32 1588 "Non-Single" "F"
"99" 89.04 1246 "Non-Single" "F"
"100" 115.84 1058 "Non-Single" "F"
