"L" "Ma" "Me" "G" "V" "S" "D"
"1" 55.21 52.97 51.95 51.47 53.74 63.9 82.29
"2" 50.87 56.63 56.93 59.55 56.89 66.94 72.92
"3" 55.24 53.2 52.14 47.4 59.07 65.52 68.16
"4" 58.22 57.1 52.68 51.24 61.89 58.77 74.32
"5" 58.94 54.14 57.45 61.96 54.47 70.3 66.27
"6" 46.09 57.37 55 51.8 45.3 69.74 72.8
"7" 51.33 50.42 53.75 55.53 51.18 69.55 75.18
"8" 55.64 57.37 60.02 51.48 46.09 70.08 72.94
"9" 59.76 51.74 53.24 56.77 48.73 74.38 62.5
"10" 58.69 51.83 45.45 55.86 55.88 65.69 73.23
"11" 55.58 52.26 55.39 51.14 52.87 72.24 71.48
"12" 47.79 58.53 57.52 58.43 47.74 71.03 58.24
"13" 55.39 53.98 53.32 49.45 52.65 67.33 66.22
"14" 53.61 56.55 47.8 50.83 61.91 76.96 71.74
"15" 52.84 64.46 50.87 54.74 54.83 73.98 66.87
"16" 53.64 57.58 41.22 50.43 54.57 80.88 60.39
"17" 46.1 53.36 56.47 46.13 55.11 68.08 70.36
"18" 50.11 55.41 51.75 43.47 54.98 67.4 58.48
"19" 67.82 53.19 48.43 61.66 60.03 72.88 76.6
"20" 61 54.28 53.77 59.41 48.94 68.74 69.39
"21" 54.38 51.77 55.88 51.21 51.64 72.98 72.2
"22" 57.74 48.86 60.44 58.59 42.15 61.71 63.45
"23" 50.83 57.23 52.71 53.55 47.81 72.17 61.46
"24" 61.5 42.59 54.38 51.76 60.6 69.48 67.2
"25" 53.72 55.82 52.34 55.09 50.09 82.53 68.22
"26" 60.09 46.24 61.45 64.49 58.49 72.14 70.17
"27" 58.61 46.86 49.16 55.98 50.58 65.03 71.01
"28" 58.38 60.1 57.2 54.34 51.49 72.51 71.74
"29" 58.74 62.15 53.79 59.6 58.32 78.18 73.26
"30" 56.2 57.8 48.65 52.61 51.7 73.04 73.44
"31" 44.29 55.16 57.92 53.82 60.99 77.42 75.03
"32" 59.56 50.55 61.36 49.97 61.31 80.4 67.83
"33" 52.31 57.79 48.35 55.58 55.83 77.29 72.46
"34" 40.46 52.84 49.16 52.69 54.95 79.84 69.49
"35" 55.49 57.44 48.82 50.96 53.56 71.18 67.07
"36" 49.33 45.85 47.66 57.54 52.03 70.61 73.81
"37" 63.82 59.28 58.95 55.94 55.79 66.8 76.49
"38" 55.14 49.58 53.1 54.87 61.16 61.89 76.94
"39" 47.79 59.07 53.21 64.09 59.01 68.39 71.79
"40" 56.36 55.75 57.3 51.32 62.06 68.34 73.45
"41" 58.46 51.35 53.27 56.99 51.65 66.12 68
"42" 53.1 58.5 52.39 57.21 56.61 72.5 71.07
"43" 54.85 58.03 62.05 57.82 68.7 73.74 66.57
"44" 52.57 60.27 60.31 52.21 58.23 69.5 70.75
"45" 49.64 53.55 54.64 56.8 52.05 70.45 74.15
"46" 51.24 55.68 55.87 53.58 50.89 59.35 63.55
"47" 50.29 49.08 56.74 56.59 47.29 70.11 58.53
"48" 57.54 54.98 54.33 63.64 54.69 78.11 72.05
"49" 62.15 56.49 58.26 57.31 59.87 82.61 76
"50" 55.89 64.91 52.32 64.08 58.29 62.37 72.28
"51" 64.26 45.17 44.92 53.7 50.84 73.51 79.96
"52" 54.31 52.38 56.72 57.33 48.1 70.96 64.74
