"L" "Ma" "Me" "G" "V" "S" "D"
"1" 55.49 60.06 65.48 61.96 57.94 68.47 74.99
"2" 67.9 56.76 62.68 58.77 61.23 68.3 78.47
"3" 70.13 60.93 57.37 54.91 67.42 76 65.09
"4" 61.77 56.93 52.96 60.53 58.15 74.11 70.65
"5" 49.89 56.92 60.19 61.46 59.51 60.23 64.52
"6" 63.55 59.69 45.61 57.23 53.86 65.79 68.45
"7" 62.11 66.3 62.3 59.26 62.94 73.02 68.64
"8" 54.3 57.92 56.15 62.7 59.96 67.82 68.09
"9" 58.81 67.06 70.56 60.59 59.09 69.61 71.55
"10" 60.41 64.23 64.94 66.52 58.93 73.55 68.33
"11" 61.85 58.99 58.87 64.78 61.35 74.23 72.68
"12" 65.01 55.6 55.01 61.69 59.43 63.26 67.3
"13" 71.19 57.71 58.89 60.82 64.3 77.29 69.54
"14" 63.98 61.32 63.37 68.23 57.96 77.94 68.56
"15" 57.39 47.9 62.63 68.95 63.66 62.88 59.32
"16" 78.03 64.97 58.82 57.55 59.55 73.26 71.44
"17" 64.55 57.67 65.48 54.18 61.89 71.93 70.59
"18" 58.43 59.33 59.13 58.44 63.03 77.9 70.74
"19" 56.01 57.63 66.54 59.55 60.56 59.79 72.12
"20" 64.64 55.68 60.17 58.8 60.36 56.85 79.28
"21" 60 63.68 67.08 59.19 55.74 78.74 65.88
"22" 55.19 59.75 59.23 61.9 67.29 79.86 71.59
"23" 64.47 63.48 61.46 52.37 57.72 72.46 65.16
"24" 60.17 54.12 61.2 64.7 55.48 68.07 72.73
"25" 64.49 55.09 62.13 60.85 60.21 71.38 72.44
"26" 62.9 58.83 50.32 58.69 56.68 67.61 73.24
"27" 62.17 51.49 51.84 48.25 66.99 64.3 63.52
"28" 54.52 53.2 52.86 53.22 57.56 77.84 66.19
"29" 62.74 57.03 55.45 60.33 59.6 67.56 77.41
"30" 57.9 57.99 56.39 59.94 67.86 72.99 73.55
"31" 48.56 59.51 65.67 58.25 54.84 70.6 72.36
"32" 61.54 59.2 53.53 55.54 61.11 67.91 71.12
"33" 67.44 62.2 64.07 58.11 69.18 71.6 66.72
"34" 61.51 60.42 61.64 54.5 60.91 74.52 65.25
"35" 54.98 53.54 71.58 58.46 51.68 69.76 68.97
"36" 65.16 61.32 68.39 58.19 67.44 71.84 75.22
"37" 59.18 68.59 58.92 53.04 63.83 60.15 79.46
"38" 55.63 59.22 57.9 59.62 60.39 72.06 66.98
"39" 63.83 60.16 56.54 56.6 63.83 75.11 60.88
"40" 63.23 54.82 62.82 61.47 57.2 72.97 63.69
"41" 60.81 53.89 67.52 51.56 56.76 78.27 74.75
"42" 53.55 58.46 60.55 58.02 62.66 69.09 78.61
"43" 57.18 59.76 62.5 60.94 60.55 71.6 66.6
"44" 48.13 66.82 54.87 58.23 58.4 73.6 65.37
"45" 70.2 65.48 56.51 68.25 56.39 66.43 64.52
"46" 66.7 59.14 53.36 55.36 60.88 76.27 64.86
"47" 61.78 58.31 63.32 59.54 55.3 71.84 68.79
"48" 66.97 65.95 66.15 50.51 57.58 67.69 67.88
"49" 61.29 68.37 59.67 57.36 60.59 68.55 63.39
"50" 71.78 54.88 58.28 54.02 51.72 69.31 69.13
"51" 48.29 59.67 55.65 65.06 50.9 71.99 65.64
"52" 62.55 54.88 60.65 63.12 49.96 70.88 69.75
