"N2" "O2" "Ar"
"1" 77.42 21.6 1.44
"2" 78.26 20.78 1.16
"3" 78.1 20.66 0.89
"4" 77.45 21.31 1.41
"5" 77.57 20.46 1.09
"6" 78.13 21.04 0.29
"7" 78.16 20.66 1.12
"8" 77.77 20.99 0.91
"9" 78.01 20.9 1.47
"10" 77.8 20.86 1.62
"11" 77.91 20.51 0.44
"12" 78 20.88 1.58
"13" 77.94 21.46 1.15
"14" 77.9 21.15 1.03
"15" 78.02 21.26 0.91
"16" 78.64 21.26 0.92
"17" 78.27 21.36 1.09
"18" 78.15 21.7 0.94
"19" 78.14 20.77 0.64
"20" 77.73 21.05 1.01
"21" 77.5 21.19 1.19
"22" 78.66 20.54 0.74
"23" 78.3 21.56 1.5
"24" 77.59 20.82 0.65
"25" 78.2 21.27 1.68
"26" 77.69 20.63 1.13
"27" 77.74 20.95 1.36
"28" 77.88 21.26 1.03
"29" 77.95 21.41 0.96
"30" 78.18 20.83 1.19
"31" 78.22 21.12 0.38
"32" 78.38 20.98 0.87
"33" 77.99 21.54 1.52
"34" 78.25 20.83 1.3
"35" 78.44 21.27 1.23
"36" 77.69 21.15 1.44
"37" 77.33 20.87 1.85
"38" 77.79 20.82 1.01
"39" 78 20.88 0.8
"40" 78.05 21.21 0.99
"41" 78.23 20.78 1
"42" 77.97 20.82 1.13
"43" 77.81 21.29 0.67
"44" 78.33 20.9 0.48
"45" 78.1 21.1 1.29
"46" 77.8 20.43 1.37
"47" 78.1 20.76 0.67
"48" 78.15 20.84 0.9
"49" 78.5 21.13 1.3
"50" 77.89 20.64 0.42
"51" 77.71 20.68 0.75
"52" 77.75 20.53 0.69
"53" 78.09 20.53 1.07
"54" 77.88 21.16 1.16
"55" 78.31 21.03 0.69
"56" 77.73 21.29 0.79
"57" 78.18 20.88 0.63
"58" 77.9 20.67 0.67
"59" 77.85 20.56 0.97
"60" 77.71 21.03 1.67
"61" 77.89 20.39 0.75
"62" 77.79 21.36 1.14
"63" 78.71 21.21 0.77
"64" 77.35 21.09 0.79
"65" 78.35 20.84 1.84
"66" 77.79 21.27 1.2
"67" 78.52 20.9 0.74
"68" 77.95 21.18 1.13
"69" 77.98 21.35 1.27
"70" 77.97 20.59 1.21
"71" 77.92 21.05 0.98
"72" 77.96 21.18 1.13
"73" 78.33 20.12 1.02
"74" 78.28 20.62 0.76
"75" 78.03 21.08 1.37
"76" 77.57 20.98 0.68
"77" 77.91 20.81 0.66
"78" 77.97 20.77 1.03
"79" 78.01 20.54 1.56
"80" 78.06 21.17 0.87
"81" 77.9 20.85 1.17
"82" 77.56 20.91 0.97
"83" 77.93 20.92 0.73
"84" 77.9 21.08 1.08
"85" 77.45 21.27 1.18
"86" 78.01 21.13 0.76
"87" 77.53 21.62 0.59
"88" 78.31 20.75 0.59
"89" 78.27 21.24 0.93
"90" 77.92 21.16 0.91
"91" 77.63 20.8 1.3
"92" 78.35 20.78 0.58
"93" 78.04 20.55 0.96
"94" 77.83 20.8 1.02
"95" 77.97 21.06 0.9
"96" 77.96 20.5 1.62
"97" 77.9 20.51 1.06
"98" 78.16 20.97 1.23
"99" 77.99 21.15 1.34
"100" 77.99 21.01 1.26
