"Durata" "Eta"
"1" 17.9 21.9
"2" 15.1 23.9
"3" 18 22
"4" 11.4 26.2
"5" 19.4 21.5
"6" 14.6 24.6
"7" 15.9 25.5
"8" 15 23.1
"9" 16.6 23.7
"10" 16.8 25.5
"11" 14.3 23
"12" 14 25.6
"13" 20.7 24.3
"14" 17.5 23.5
"15" 12.6 24.8
"16" 19.9 21.6
"17" 17.8 22.5
"18" 17.3 21.1
"19" 11.2 22.9
"20" 17.2 24.4
"21" 17.8 22.5
"22" 12.7 24.1
"23" 21.1 20.9
"24" 16.9 21.9
"25" 13.4 22.4
"26" 12.8 22.7
"27" 18.4 25
"28" 13.1 26.5
"29" 18 22.9
"30" 14.5 22.5
"31" 12.7 22
"32" 18.3 21.9
"33" 14.7 21.6
"34" 12.8 24.9
"35" 20.2 20
"36" 14.8 23.4
"37" 16.4 23.2
"38" 14.4 24.3
"39" 18 21.7
"40" 14 27.1
"41" 14.4 21.5
"42" 15.6 23.7
"43" 16.9 22.4
"44" 15.1 23.2
"45" 13.9 22.6
"46" 14.7 23.2
"47" 16.1 22.3
"48" 16.8 21.3
"49" 16.6 22.9
"50" 14.2 24
