"Durata" "Eta"
"1" 13.8 22.9
"2" 15.5 21.7
"3" 11.1 23.1
"4" 14.3 24.3
"5" 16.5 20.6
"6" 17.5 21.7
"7" 12.3 24.5
"8" 14.7 18.8
"9" 15.4 22.7
"10" 15.2 21.4
"11" 13.6 24.9
"12" 14.9 23
"13" 15.6 20.2
"14" 14.3 23
"15" 11.9 23
"16" 13.2 24.5
"17" 15.4 23.5
"18" 18.8 18.9
"19" 16.6 22.4
"20" 14.1 21.7
"21" 18.2 21.8
"22" 12.4 23.1
"23" 16.7 19.9
"24" 15.9 24.4
"25" 16.9 23.1
"26" 13 20.8
"27" 16.6 22.6
"28" 15 20.7
"29" 13.2 25.7
"30" 15.1 21.6
"31" 17.2 21.2
"32" 17.8 21.2
"33" 18.2 22.5
"34" 14 20.6
"35" 15.7 22.9
"36" 13.8 22.5
"37" 13 24
"38" 16 21.2
"39" 16.3 20.7
"40" 17.6 23.7
"41" 13.9 24
"42" 16.3 22.1
"43" 14.7 22.8
"44" 16.9 22.4
"45" 14.7 21.7
"46" 12.6 24
"47" 14.5 21.5
"48" 15 23
"49" 11.5 21.9
"50" 18.5 20.9
