"Larghezza" "Lunghezza"
"1" 84.763 155.229
"2" 84.739 156.123
"3" 85.128 155.84
"4" 86.117 155.307
"5" 84.848 154.535
"6" 86.119 154.143
"7" 85.067 154.966
"8" 85.458 154.607
"9" 83.67 154.444
"10" 84.522 156.373
"11" 84.299 154.697
"12" 83.77 155.57
"13" 85.368 155.502
"14" 84.972 154.808
"15" 85.009 154.381
"16" 84.552 154.758
"17" 85.186 154.719
"18" 85.097 155.971
"19" 86.05 154.913
"20" 85.91 154.924
"21" 84.436 154.805
"22" 85.852 154.924
"23" 85.449 153.462
"24" 85.355 155.245
"25" 83.226 155.6
"26" 84.935 156.727
"27" 85.752 155.889
"28" 83.682 156.044
"29" 85.512 154.838
"30" 85.611 154.667
"31" 86.834 154.599
"32" 85.266 154.606
"33" 85.685 155.575
"34" 84.637 155.204
"35" 86.34 153.5
"36" 84.175 153.848
"37" 84.851 154.848
"38" 83.937 155.997
"39" 84.112 155.562
"40" 84.227 154.38
"41" 85.22 154.183
"42" 84.177 154.728
"43" 85.462 154.788
"44" 85.65 155.568
"45" 85.336 155.563
"46" 85.319 154.439
"47" 84.83 155.08
"48" 83.98 156.24
"49" 84.754 154.412
"50" 84.781 155.887
