"tempo" "distanza" "tipo"
"1" 4.8 1606 "normale"
"2" -0.058 -6 "normale"
"3" 1.028 473 "raccomandata"
"4" 6.41 4646 "prioritaria"
"5" 3.69 1913 "prioritaria"
"6" 1.504 690 "raccomandata"
"7" 3.158 1418 "normale"
"8" 6.702 4958 "prioritaria"
"9" 4.868 4436 "prioritaria"
"10" 1.538 666 "raccomandata"
"11" 3.008 1832 "raccomandata"
"12" 2.51 1639 "prioritaria"
"13" 4.376 1549 "normale"
"14" 1.742 874 "normale"
"15" 3.49 1136 "normale"
"16" 3.884 3823 "prioritaria"
"17" 3.356 523 "raccomandata"
"18" 1.21 707 "raccomandata"
"19" 5.222 4273 "prioritaria"
"20" 2.93 2785 "prioritaria"
"21" 2.88 1050 "normale"
"22" 1.4 1049 "raccomandata"
"23" 2.322 1255 "raccomandata"
"24" 3.172 863 "normale"
"25" 6.328 5791 "prioritaria"
"26" 0.836 587 "normale"
"27" 5.94 3990 "prioritaria"
"28" 3.362 2193 "prioritaria"
"29" 2.896 1036 "normale"
"30" 4.748 4570 "prioritaria"
"31" 1.87 654 "normale"
"32" 2.634 1228 "raccomandata"
"33" 9.374 7845 "prioritaria"
"34" 7.022 6203 "prioritaria"
"35" 1.618 466 "normale"
"36" 4.594 1698 "normale"
"37" 2.412 1889 "raccomandata"
"38" 3.796 2280 "raccomandata"
"39" 2.678 1402 "raccomandata"
"40" 3.964 3039 "prioritaria"
"41" 3.77 1389 "normale"
"42" 5.264 4641 "prioritaria"
"43" 1.426 960 "raccomandata"
"44" 4.704 1563 "normale"
"45" 4.416 3869 "prioritaria"
"46" 5.266 4125 "prioritaria"
"47" 1.79 348 "normale"
"48" 4.342 1504 "normale"
"49" 5.682 4470 "prioritaria"
"50" 4.8 3953 "prioritaria"
"51" 3.268 1299 "normale"
"52" 1.782 648 "raccomandata"
"53" 3.442 489 "normale"
"54" 1.774 1214 "raccomandata"
"55" 6.726 6089 "prioritaria"
"56" 1.872 1313 "raccomandata"
"57" 4.116 1600 "normale"
"58" 3.866 3077 "prioritaria"
"59" 4.502 1548 "normale"
"60" 1.674 439 "normale"
"61" 1.748 794 "raccomandata"
"62" 2.324 1028 "raccomandata"
"63" 4.234 3463 "prioritaria"
"64" 6.544 5510 "prioritaria"
"65" 4.796 1789 "normale"
"66" 1.038 760 "raccomandata"
"67" 3.102 1530 "raccomandata"
"68" 1.332 306 "raccomandata"
"69" 6.09 4610 "prioritaria"
"70" 3.084 794 "normale"
"71" 2.158 297 "normale"
"72" 3.8 1631 "normale"
"73" 4.312 1409 "normale"
"74" 4.688 3652 "prioritaria"
"75" 4.79 3344 "prioritaria"
"76" 1.852 830 "raccomandata"
"77" 3.688 1680 "prioritaria"
"78" 1.29 850 "raccomandata"
"79" 1.25 26 "raccomandata"
"80" 5.858 4560 "prioritaria"
"81" 2.524 1476 "raccomandata"
"82" 3.734 2091 "raccomandata"
"83" 4.638 1234 "normale"
"84" 6.484 4730 "prioritaria"
"85" 4.4 1324 "normale"
"86" 3.69 2450 "prioritaria"
"87" 1.896 931 "raccomandata"
"88" 4.37 1445 "normale"
"89" 2.302 789 "normale"
"90" 0.906 681 "prioritaria"
"91" 2.83 486 "normale"
"92" 5.818 4343 "prioritaria"
"93" 2.04 1159 "normale"
"94" 2.606 1398 "raccomandata"
"95" 1.556 1011 "raccomandata"
"96" 2.342 1208 "raccomandata"
"97" 2.002 679 "normale"
"98" 1.406 1143 "raccomandata"
"99" 4.094 1231 "normale"
"100" 1.762 550 "raccomandata"
"101" 3.498 1032 "normale"
"102" 1.374 677 "raccomandata"
"103" 2.312 656 "normale"
"104" 2.388 1010 "raccomandata"
"105" 8.176 7253 "prioritaria"
"106" 1.116 1105 "raccomandata"
"107" 1.816 897 "raccomandata"
"108" 2.256 1239 "raccomandata"
"109" 6.362 6007 "prioritaria"
"110" 1.212 644 "raccomandata"
"111" 6.258 5748 "prioritaria"
"112" 1.746 786 "raccomandata"
"113" 1.394 456 "normale"
"114" 3.104 1168 "normale"
"115" 3.194 544 "normale"
"116" 4.142 1309 "normale"
"117" 2.072 1360 "raccomandata"
"118" 8.362 6768 "prioritaria"
"119" 2.644 1387 "normale"
"120" 5.914 4444 "prioritaria"
"121" 3.304 3204 "prioritaria"
"122" 2.794 769 "normale"
"123" 2.234 1117 "raccomandata"
"124" 6.844 5589 "prioritaria"
"125" 4.864 4122 "prioritaria"
"126" 4.55 4057 "prioritaria"
"127" 2.188 516 "normale"
"128" 1.454 448 "normale"
"129" 3.01 1078 "normale"
"130" 6.346 4618 "prioritaria"
"131" 2.044 720 "raccomandata"
"132" 2.356 1133 "raccomandata"
"133" 3.152 1147 "normale"
"134" 2.956 999 "normale"
"135" 3.042 1346 "raccomandata"
"136" 2.078 736 "raccomandata"
"137" 3.518 1770 "raccomandata"
"138" 5.766 5225 "prioritaria"
"139" 4.962 1704 "normale"
"140" 5.87 5340 "prioritaria"
"141" 5.394 3850 "prioritaria"
"142" 2.73 1431 "raccomandata"
"143" 1.72 574 "raccomandata"
"144" 4.894 3991 "prioritaria"
"145" 8.266 8559 "prioritaria"
"146" 2.536 767 "raccomandata"
"147" 0.974 477 "raccomandata"
"148" 2.852 2982 "prioritaria"
"149" 1.56 411 "normale"
"150" 4.16 2174 "prioritaria"
