"day1" "day2" "day3" "day4" "day5"
"1" 114.639 117.084 116.229 117.691 119.324
"2" 132.786 130.776 132.412 131.977 136.589
"3" 123.05 132.688 131.215 130.832 134.014
"4" 121.296 125.378 126.075 127.913 127.678
"5" 112.116 116.329 117.669 120.139 120.024
"6" 116.483 118.701 121.984 115.263 122.589
"7" 129.176 125.839 124.093 128.458 122.184
"8" 119.364 127.429 131.871 129.029 128.344
"9" 123.185 129.008 122.483 125.617 128.84
"10" 112.104 119.038 120.248 116.629 117.096
"11" 104.079 109.321 113.105 110.987 115.518
"12" 126.922 128.482 129.329 129.734 131.243
"13" 113.531 124.566 126.85 123.786 125.458
