"Larghezza" "Lunghezza"
"1" 84.813 155.635
"2" 85.254 154.991
"3" 85.08 155.4
"4" 85.106 154.892
"5" 84.878 154.798
"6" 85.062 154.63
"7" 84.633 155.144
"8" 85.407 154.775
"9" 84.928 155.323
"10" 85.311 155.034
"11" 85.349 155.251
"12" 85.048 154.645
"13" 84.828 155.087
"14" 84.78 154.737
"15" 84.96 154.579
"16" 85.468 154.506
"17" 84.879 154.937
"18" 85.351 155.132
"19" 84.847 155.391
"20" 85.047 154.987
"21" 84.701 155.082
"22" 84.86 155.043
"23" 84.733 154.98
"24" 85.388 155.33
"25" 84.731 154.908
"26" 85.328 155.308
"27" 84.609 154.916
"28" 84.887 155.09
"29" 84.856 155.223
"30" 85.527 154.62
"31" 85.239 155.029
"32" 85.286 154.951
"33" 84.671 155.386
"34" 84.98 155.261
"35" 84.988 155.417
"36" 84.776 155.167
"37" 84.948 155.081
"38" 85.008 154.661
"39" 84.767 155.32
"40" 85.255 154.93
"41" 84.579 154.581
"42" 84.732 154.846
"43" 84.493 154.74
"44" 85.131 155.187
"45" 84.665 154.799
"46" 85.284 155.032
"47" 85.198 155.216
"48" 84.898 154.82
"49" 85.313 154.866
"50" 84.746 154.846
"51" 85.335 154.967
"52" 84.664 154.808
"53" 85.17 154.572
"54" 84.921 154.765
"55" 85.165 154.996
"56" 84.933 155.403
"57" 85.062 154.955
"58" 84.792 155.323
"59" 85.067 155.15
"60" 84.854 154.743
"61" 84.878 154.764
"62" 84.751 154.615
"63" 84.541 154.849
"64" 84.524 155.376
"65" 85.353 154.801
"66" 84.829 155.527
"67" 84.989 155.199
"68" 84.686 155.11
"69" 84.864 154.848
"70" 85.136 155.19
"71" 85.452 154.866
"72" 84.891 155.259
"73" 85.113 154.875
"74" 85.178 154.833
"75" 85.373 155.118
"76" 85.185 155.444
"77" 85.066 155.051
"78" 84.961 154.557
"79" 85.159 154.787
"80" 85.255 154.674
"81" 85.142 155.108
"82" 85.053 155.291
"83" 84.842 154.814
"84" 84.993 155.158
"85" 84.834 154.782
"86" 84.947 155.02
"87" 84.976 154.861
"88" 84.809 155.086
"89" 84.715 154.72
"90" 85.136 154.937
"91" 84.889 154.87
"92" 85.015 155.302
"93" 84.797 154.936
"94" 84.552 154.942
"95" 84.775 155.419
"96" 85.238 154.978
"97" 85.01 154.931
"98" 85.291 154.851
"99" 85.122 154.64
"100" 84.574 154.962
