"app1" "app2" "app3" "app4"
"1" 27 21 21 20
"2" 16 19 18 19
"3" 22 21 21 22
"4" 16 19 20 19
"5" 17 21 21 21
"6" 16 19 19 19
"7" 20 21 23 22
"8" 22 21 20 21
"9" 20 22 22 22
"10" 26 20 20 20
"11" 28 19 20 20
"12" 21 19 20 20
"13" 26 20 20 20
"14" 13 21 21 21
"15" 26 20 20 21
"16" 22 20 20 21
"17" 15 20 19 18
"18" 18 21 20 20
"19" 17 20 19 20
"20" 22 20 20 20
"21" 23 18 19 18
"22" 19 19 20 21
"23" 24 20 20 20
"24" 23 19 19 18
"25" 25 19 20 20
"26" 21 20 19 20
"27" 24 19 18 18
"28" 15 18 19 19
"29" 16 20 20 20
"30" 25 21 21 21
"31" 20 21 22 21
"32" 23 19 19 20
