"X19_A" "X19_C"
"1" 249 255
"2" 189 239
"3" 265 245
"4" 247 248
"5" 252 247
"6" 110 267
"7" 241 249
"8" 251 232
"9" 251 259
"10" 250 257
"11" 259 274
"12" 212 247
"13" 196 247
"14" 187 251
"15" 108 247
"16" 246 252
"17" 110 249
"18" 210 251
"19" 258 240
"20" 260 248
"21" 257 232
"22" 243 245
"23" 194 245
"24" 250 256
"25" 252 274
"26" 252 251
"27" 257 264
"28" 253 256
"29" 84 243
"30" 200 253
"31" 204 270
"32" 248 236
"33" 202 256
"34" 242 253
"35" 204 255
"36" 220 265
"37" 264 255
"38" 253 252
"39" 247 252
"40" 196 250
"41" 85 238
"42" 249 247
"43" 242 254
"44" 106 255
"45" 251 267
"46" 101 252
"47" 252 256
"48" 251 255
"49" 109 264
"50" 107 254
"51" 254 255
"52" 249 252
"53" 259 260
"54" 203 240
"55" 241 252
"56" 259 244
"57" 279 255
"58" 92 241
"59" 102 254
"60" 112 249
"61" 84 238
"62" 103 258
"63" 208 252
"64" 246 240
"65" 261 263
"66" 245 246
"67" 261 253
"68" 244 232
"69" 234 246
"70" 255 246
"71" 183 238
"72" 89 258
"73" 238 243
"74" 260 262
"75" 227 238
"76" 192 247
"77" 244 242
"78" 107 266
"79" 247 250
"80" 266 254
"81" 243 250
"82" 242 249
"83" 205 261
"84" 258 260
"85" 199 245
"86" 259 254
"87" 96 242
"88" 196 248
"89" 261 251
"90" 99 246
"91" 233 237
"92" 84 267
"93" 261 254
"94" 247 240
"95" 243 249
"96" 192 252
"97" 230 223
"98" 247 253
"99" 99 254
"100" 237 238
"101" 261 249
"102" 267 253
"103" 82 239
"104" 87 239
"105" 248 254
"106" 96 241
"107" 263 255
"108" 234 243
"109" 244 254
"110" 250 248
"111" 241 250
"112" 236 254
"113" 82 239
"114" 246 244
"115" 254 244
"116" 250 247
"117" 203 258
"118" 104 245
"119" 111 259
"120" 206 257
"121" 252 255
"122" 98 253
"123" 107 250
"124" 93 245
"125" 188 241
"126" 200 249
"127" 262 246
"128" 94 238
"129" 262 260
"130" 99 263
"131" 83 234
"132" 214 255
"133" 92 240
"134" 87 240
"135" 111 264
"136" 108 240
"137" 233 236
"138" 257 251
"139" 115 249
"140" 121 267
"141" 262 256
"142" 248 253
"143" 81 247
"144" 251 256
"145" 196 244
"146" 199 244
"147" 100 255
"148" 94 246
"149" 94 250
"150" 261 256
"151" 243 249
"152" 99 249
"153" 99 254
"154" 240 254
"155" 100 272
"156" 92 251
"157" 259 264
"158" 101 253
"159" 108 231
"160" 255 247
"161" 112 264
"162" 91 264
"163" 124 263
"164" 105 228
"165" 205 244
"166" 98 246
"167" 107 257
"168" 192 242
"169" 105 269
"170" 240 247
"171" 266 258
"172" 242 254
"173" 266 260
"174" 243 240
"175" 86 236
"176" 94 240
"177" 261 264
"178" 116 254
"179" 97 241
"180" 177 229
"181" 263 253
"182" 244 237
"183" 241 243
"184" 250 259
"185" 102 249
"186" 262 253
"187" 254 261
"188" 256 254
"189" 265 259
"190" 249 251
"191" 103 247
"192" 201 264
"193" 88 249
"194" 106 250
"195" 245 244
"196" 89 248
"197" 246 249
"198" 110 251
"199" 106 247
"200" 181 250
"201" 103 244
"202" 249 230
"203" 256 256
"204" 113 254
"205" 208 259
"206" 259 254
"207" 93 251
"208" 242 238
"209" 243 248
"210" 264 258
"211" 98 261
"212" 252 259
"213" 126 265
"214" 181 237
"215" 250 242
"216" 123 270
"217" 252 248
"218" 114 258
"219" 189 256
"220" 200 252
"221" 242 238
"222" 241 243
"223" 108 249
"224" 248 254
"225" 240 229
"226" 251 249
"227" 108 258
"228" 208 259
"229" 233 239
"230" 96 246
"231" 251 258
"232" 245 249
"233" 94 258
"234" 198 249
"235" 266 265
"236" 245 248
"237" 97 253
"238" 243 244
"239" 206 273
"240" 97 239
"241" 103 249
"242" 239 240
"243" 259 245
"244" 199 252
"245" 199 261
"246" 256 243
"247" 251 252
"248" 112 256
"249" 267 250
"250" 268 251
"251" 196 242
"252" 98 244
"253" 247 238
"254" 245 253
"255" 100 252
"256" 115 267
"257" 240 248
"258" 252 255
"259" 101 242
"260" 265 252
"261" 241 243
"262" 272 268
"263" 78 227
"264" 237 245
"265" 252 253
"266" 113 259
"267" 198 245
"268" 110 264
"269" 205 255
"270" 257 256
"271" 220 270
"272" 113 251
"273" 254 253
"274" 199 240
"275" 248 241
"276" 97 258
"277" 180 234
"278" 226 238
"279" 248 255
"280" 90 245
"281" 250 251
"282" 263 235
"283" 111 259
"284" 275 266
"285" 110 241
"286" 259 263
"287" 101 259
"288" 253 243
"289" 238 238
"290" 78 250
"291" 94 246
"292" 201 252
"293" 98 254
"294" 236 242
"295" 100 245
"296" 204 241
"297" 254 232
"298" 238 246
"299" 254 231
"300" 108 256
"301" 186 254
"302" 119 256
"303" 244 247
"304" 83 248
"305" 225 248
"306" 255 256
"307" 110 249
"308" 244 233
"309" 252 257
"310" 80 234
"311" 253 247
"312" 219 261
"313" 99 248
"314" 251 255
"315" 98 246
"316" 270 253
"317" 198 248
"318" 238 249
"319" 251 251
"320" 207 254
"321" 241 246
"322" 99 250
"323" 265 259
"324" 265 256
"325" 99 246
"326" 258 264
"327" 100 245
"328" 238 253
"329" 243 256
"330" 252 259
"331" 87 237
"332" 268 266
"333" 213 242
"334" 248 235
"335" 222 229
"336" 252 255
"337" 195 248
"338" 243 257
"339" 254 257
"340" 206 242
"341" 201 236
"342" 184 249
"343" 253 257
"344" 192 237
"345" 208 255
"346" 188 242
"347" 76 250
"348" 101 243
"349" 239 240
"350" 114 243
"351" 207 252
"352" 203 264
"353" 258 259
"354" 107 235
"355" 108 252
"356" 214 263
"357" 250 242
"358" 256 247
"359" 267 254
"360" 128 255
"361" 242 254
"362" 229 241
"363" 96 247
"364" 235 243
"365" 206 255
"366" 210 272
"367" 193 261
"368" 102 244
"369" 211 236
"370" 248 259
"371" 102 248
"372" 233 232
"373" 206 245
"374" 110 255
"375" 247 250
"376" 100 255
"377" 250 254
"378" 104 252
"379" 251 245
"380" 215 266
"381" 249 240
"382" 95 258
"383" 102 250
"384" 198 243
"385" 104 250
"386" 193 237
"387" 102 255
"388" 265 249
"389" 93 253
"390" 264 266
"391" 243 242
"392" 98 252
"393" 196 252
"394" 212 260
"395" 191 239
"396" 259 271
"397" 110 239
"398" 253 271
"399" 251 237
"400" 254 251
"401" 247 245
"402" 205 257
"403" 93 252
"404" 237 258
"405" 202 264
