"books" "salaries" "electrics" "other"
"1" 423813 136321 32997 250909
"2" 395042 130536 28584 242855
"3" 398300 140409 13682 222960
"4" 413424 156698 63892 216995
"5" 416521 154654 52958 221563
"6" 374846 133416 77890 210865
"7" 407208 111798 15157 207946
"8" 339380 187047 82170 214707
"9" 410342 119450 45507 207370
"10" 412043 149337 51136 202687
"11" 389207 148792 69917 181436
"12" 362413 180906 52557 211316
"13" 387035 177469 82785 186627
"14" 446381 139790 49796 238882
"15" 385316 145696 43768 245136
"16" 400208 131293 7465 210283
"17" 414173 155263 51963 200647
"18" 393676 146942 39595 218079
"19" 403209 134080 54704 234471
"20" 380053 175065 60690 214054
"21" 418372 138082 48205 206213
"22" 424491 115641 36229 211164
"23" 396945 162540 106135 195730
