"time" "type"
"1" 0.01 "G"
"2" 0.07 "G"
"3" 0.1 "G"
"4" 0.11 "G"
"5" 0.13 "G"
"6" 0.18 "G"
"7" 0.21 "G"
"8" 0.22 "G"
"9" 0.25 "G"
"10" 0.27 "G"
"11" 0.29 "G"
"12" 0.29 "G"
"13" 0.36 "G"
"14" 0.41 "G"
"15" 0.47 "G"
"16" 0.49 "G"
"17" 0.56 "G"
"18" 0.6 "G"
"19" 0.61 "G"
"20" 0.62 "G"
"21" 0.63 "G"
"22" 0.66 "G"
"23" 0.67 "G"
"24" 0.67 "G"
"25" 0.67 "G"
"26" 0.68 "G"
"27" 0.69 "G"
"28" 0.71 "G"
"29" 0.73 "G"
"30" 0.79 "G"
"31" 0.83 "G"
"32" 0.84 "G"
"33" 0.86 "G"
"34" 0.88 "G"
"35" 0.89 "G"
"36" 0.96 "G"
"37" 0.99 "G"
"38" 1.01 "G"
"39" 1.02 "G"
"40" 1.03 "G"
"41" 1.06 "G"
"42" 1.06 "G"
"43" 1.1 "G"
"44" 1.11 "G"
"45" 1.23 "G"
"46" 1.24 "G"
"47" 1.28 "G"
"48" 1.3 "G"
"49" 1.37 "G"
"50" 1.38 "G"
"51" 1.46 "G"
"52" 1.57 "G"
"53" 1.57 "G"
"54" 1.67 "G"
"55" 1.76 "G"
"56" 1.91 "G"
"57" 1.95 "G"
"58" 1.96 "G"
"59" 1.96 "G"
"60" 1.97 "G"
"61" 1.98 "G"
"62" 2.01 "G"
"63" 2.13 "G"
"64" 2.37 "G"
"65" 2.38 "G"
"66" 2.39 "G"
"67" 2.44 "G"
"68" 2.47 "G"
"69" 2.47 "G"
"70" 2.52 "G"
"71" 2.53 "G"
"72" 2.58 "G"
"73" 2.63 "G"
"74" 2.64 "G"
"75" 2.71 "G"
"76" 2.76 "G"
"77" 2.77 "G"
"78" 2.79 "G"
"79" 2.79 "G"
"80" 2.84 "G"
"81" 2.86 "G"
"82" 2.87 "G"
"83" 2.88 "G"
"84" 2.89 "G"
"85" 2.91 "G"
"86" 2.94 "G"
"87" 3.01 "G"
"88" 3.09 "G"
"89" 3.11 "G"
"90" 3.14 "G"
"91" 3.14 "G"
"92" 3.22 "G"
"93" 3.27 "G"
"94" 3.36 "G"
"95" 3.4 "G"
"96" 3.42 "G"
"97" 3.45 "G"
"98" 3.47 "G"
"99" 3.55 "R"
"100" 3.6 "G"
"101" 3.63 "G"
"102" 3.64 "G"
"103" 3.67 "R"
"104" 3.67 "G"
"105" 3.72 "G"
"106" 3.73 "G"
"107" 3.86 "R"
"108" 3.9 "G"
"109" 3.94 "R"
