"Caiazzo_Loreto" "Loreto" "Loreto_Piola"
"1" 94.6 43.3 99.4
"2" 93.4 22.7 100.6
"3" 92.6 38.9 97.7
"4" 93.3 22.4 99.7
"5" 95.1 12.5 102
"6" 95.3 34.5 99.8
"7" 94.5 21.5 96.5
"8" 96 29.5 97.1
"9" 96 30.7 101
"10" 92.6 36.6 99.3
"11" 93.8 28.1 98.1
"12" 93.3 27.3 98.9
"13" 91.7 36.4 106
"14" 93.2 34.9 100.5
"15" 96.3 8.9 100.5
"16" 91.4 33.1 98.2
"17" 92.4 41.4 93.3
"18" 94.8 19.5 99
"19" 93.5 35.6 96.8
"20" 94.7 16.3 100.3
"21" 96.6 28.7 102.3
"22" 95.7 27.6 99.7
"23" 93.9 26.5 100.9
"24" 93.9 57.2 101.2
"25" 96.6 29.6 97.8
"26" 94.2 31.3 99.5
"27" 91.6 28.7 99
"28" 93.3 55.1 101.6
"29" 92.3 24.8 99.5
"30" 95.4 43.1 96.4
"31" 96.2 25.9 100.6
"32" 98.6 34.1 99.6
