"lunghezza" "carico" "nazione"
"1" 37.2 25.11 "spagna"
"2" 48.7 55.21 "inghilterra"
"3" 38.5 25.86 "spagna"
"4" 38.8 27.04 "spagna"
"5" 42.3 41.81 "francia"
"6" 39.7 38.75 "inghilterra"
"7" 50.7 51.86 "francia"
"8" 38.7 29.85 "spagna"
"9" 37.6 27.77 "portogallo"
"10" 42.4 30.12 "spagna"
"11" 38.9 28.4 "spagna"
"12" 44.3 43.12 "francia"
"13" 37.8 23.6 "spagna"
"14" 37.6 30.34 "portogallo"
"15" 35.8 22.5 "portogallo"
"16" 48.1 52.71 "francia"
"17" 39.3 41.32 "francia"
"18" 37.6 39.77 "francia"
"19" 40.8 42.44 "francia"
"20" 53 54.5 "francia"
"21" 40.3 42.57 "francia"
"22" 40.2 33.13 "spagna"
"23" 41.2 39.93 "francia"
"24" 43.6 38.37 "portogallo"
"25" 52 39.13 "portogallo"
"26" 40.2 41.16 "francia"
"27" 39.1 28.92 "portogallo"
"28" 51.5 42.08 "spagna"
"29" 40.4 36.44 "inghilterra"
"30" 37 28.05 "portogallo"
"31" 49.6 38.6 "spagna"
"32" 49.2 39.08 "spagna"
"33" 39.1 35.82 "francia"
"34" 42.4 43.45 "inghilterra"
"35" 40.7 31.48 "portogallo"
"36" 41.5 37.71 "inghilterra"
"37" 39.1 29.71 "portogallo"
"38" 51.5 39.5 "spagna"
"39" 51.9 53.98 "francia"
"40" 43.3 30.26 "spagna"
"41" 41.7 34.02 "portogallo"
"42" 53.8 45.23 "portogallo"
"43" 41.1 33.26 "portogallo"
"44" 36.8 26.14 "portogallo"
"45" 40.8 26.91 "spagna"
"46" 41 31.35 "portogallo"
"47" 35.8 25.31 "portogallo"
"48" 50 51.46 "francia"
"49" 51.4 52.9 "inghilterra"
"50" 42.7 29.85 "spagna"
"51" 50.8 52.39 "inghilterra"
"52" 39.9 27.92 "portogallo"
"53" 49.5 55.47 "inghilterra"
"54" 41.1 38.44 "inghilterra"
"55" 40.5 42.99 "francia"
"56" 42.2 40.7 "francia"
"57" 37.6 41.98 "inghilterra"
"58" 47.8 47.92 "inghilterra"
"59" 39.8 33.69 "spagna"
"60" 41.1 26.78 "spagna"
"61" 52.4 47.52 "portogallo"
"62" 42.9 43.3 "francia"
"63" 40 23.98 "portogallo"
"64" 38.1 40.88 "inghilterra"
"65" 37.2 24.55 "portogallo"
"66" 39.5 43.43 "francia"
"67" 43.3 45.53 "francia"
"68" 42.3 33.54 "spagna"
"69" 50.6 44.89 "portogallo"
"70" 51.6 45.37 "spagna"
"71" 42 28.2 "spagna"
"72" 47.8 39.48 "portogallo"
"73" 49 36.84 "portogallo"
"74" 36.4 26.17 "spagna"
"75" 41.6 31.83 "spagna"
"76" 41.8 30.98 "spagna"
"77" 39.4 37.59 "inghilterra"
"78" 38.1 37.37 "inghilterra"
"79" 49.1 37.21 "portogallo"
"80" 49.8 42.96 "spagna"
"81" 51.8 41.57 "portogallo"
"82" 42 38.24 "francia"
"83" 43.1 36.74 "francia"
"84" 37.9 27.13 "spagna"
