"dazi" "monastero" "torre"
"1" 39729 8121 3778
"2" 40620 7789 5263
"3" 41652 9425 4244
"4" 37028 6665 3612
"5" 38315 6930 4721
"6" 40563 7951 4805
"7" 40052 8881 3878
"8" 39210 7517 5377
"9" 42325 9373 5386
"10" 41328 8653 4922
"11" 38208 7403 3922
"12" 41484 9051 4158
"13" 42125 8765 5416
"14" 40920 8625 4410
"15" 38403 6718 3678
"16" 39910 8060 4072
"17" 40179 8977 3536
"18" 38890 7545 4374
"19" 42027 9452 3986
"20" 38973 7404 4368
"21" 39213 7495 4625
"22" 42238 8276 6067
"23" 39095 7046 4936
"24" 38180 6754 3922
"25" 42355 8315 6523
"26" 42652 9290 5163
"27" 39091 7821 4194
"28" 39166 7156 4929
"29" 43876 9808 5800
"30" 41387 8414 5885
"31" 38185 7906 4089
"32" 41807 7963 6535
"33" 41582 8247 5255
"34" 40151 7862 4769
"35" 39536 8581 4093
"36" 40598 7692 4678
"37" 41882 8662 5629
"38" 39833 7821 4637
"39" 40171 7467 5642
"40" 40335 7710 4371
