"15:00" "15:30" "16:00"
"1" -2.79 29.14 57.6
"2" 1.28 35.44 64.02
"3" 1.4 34.23 62.22
"4" -1.29 32.35 63.58
"5" 0.15 34.36 61.37
"6" -2.63 32.91 54.47
"7" -2.03 33.86 59.17
"8" -0.76 33.35 60.06
"9" -2.31 34.44 59.27
"10" 0.99 33.92 59.78
"11" -3.05 30.58 59.26
"12" 3.06 34.14 68.02
"13" 1.22 28.48 57.48
"14" -0.72 35.06 59.75
"15" -2.11 30.29 54.99
"16" 1.86 35.03 60.28
"17" 0.9 31.74 55.58
"18" -1.32 30.31 59.27
"19" 2.31 34.17 62.55
"20" 1.59 33.55 65.11
"21" 2.63 31.94 57.11
"22" -0.06 32.78 60.2
"23" -2.08 30.28 60.82
"24" -2.36 32.19 52.71
"25" -3.56 32.61 56.63
"26" 0.42 34.14 65.5
"27" 0.59 34.82 64.22
"28" -1.54 29.98 53.7
"29" -3.55 31.12 53.92
"30" 0.07 32.51 64.38
