"IngM" "IngF" "ArcM" "ArcF"
"1" 627 140 142 416
"2" 356 365 365 309
"3" 442 205 215 432
"4" 369 171 376 386
"5" 288 427 332 320
"6" 486 205 263 356
"7" 405 362 297 473
"8" 261 575 348 488
"9" 460 308 362 287
"10" 501 389 347 363
"11" 474 379 321 392
"12" 401 307 285 513
"13" 344 344 246 452
"14" 337 236 307 516
"15" 327 405 288 421
"16" 426 339 297 255
"17" 465 206 42 560
"18" 98 374 481 405
"19" 276 460 347 383
"20" 245 379 294 336
"21" 519 279 389 229
"22" 283 299 326 275
"23" 338 333 415 410
"24" 524 331 324 628
"25" 415 326 423 186
"26" 409 261 276 463
"27" 518 229 348 348
"28" 510 266 443 263
"29" 445 104 265 312
"30" 397 435 141 500
"31" 400 316 144 409
"32" 274 432 293 461
"33" 263 403 346 327
"34" 244 394 432 293
"35" 202 437 269 360
"36" 383 298 436 217
"37" 454 405 315 555
"38" 517 252 169 596
"39" 291 308 279 443
"40" 502 393 328 446
"41" 445 260 305 263
"42" 230 408 231 310
"43" 390 361 305 289
"44" 520 387 310 536
"45" 280 348 202 558
"46" 482 257 305 391
"47" 289 306 208 437
"48" 452 297 547 430
"49" 300 426 244 408
"50" 300 332 303 329
"51" 190 450 268 488
"52" 566 317 379 479
"53" 340 298 296 478
"54" 350 295 327 347
"55" 378 452 392 462
"56" 293 383 460 222
"57" 493 307 230 412
"58" 391 352 411 144
"59" 500 286 385 355
"60" 254 378 229 420
"61" 360 271 311 325
"62" 313 458 362 450
"63" 547 133 292 248
"64" 379 386 355 469
"65" 383 253 199 382
"66" 528 235 293 466
"67" 489 251 153 462
"68" 500 311 186 512
"69" 208 660 216 292
"70" 495 147 335 385
"71" 289 525 339 411
"72" 325 245 243 446
"73" 497 179 247 392
"74" 377 140 427 250
"75" 411 358 348 140
"76" 509 147 338 165
"77" 455 243 77 533
"78" 416 112 356 460
"79" 426 243 272 415
"80" 273 471 229 541
"81" 376 418 146 372
"82" 408 245 190 478
"83" 481 394 446 303
"84" 361 278 185 540
"85" 461 377 320 354
"86" 376 389 591 394
"87" 232 378 261 396
"88" 349 370 306 402
"89" 376 435 346 492
"90" 374 351 189 526
"91" 292 387 352 431
"92" 472 412 463 126
"93" 347 341 289 418
"94" 351 475 298 500
"95" 398 544 123 423
"96" 640 58 447 433
"97" 421 180 211 402
"98" 343 413 316 496
"99" 367 433 190 534
"100" 508 246 159 325
"101" 403 391 457 325
"102" 447 144 460 371
"103" 474 317 301 508
"104" 358 335 256 423
"105" 293 491 151 445
"106" 501 252 314 335
"107" 427 183 392 354
"108" 268 287 483 308
"109" 240 310 263 368
"110" 428 173 268 429
"111" 398 251 203 420
"112" 463 263 343 308
"113" 230 414 201 598
"114" 498 323 171 445
"115" 365 190 371 400
"116" 362 381 319 335
"117" 465 407 273 374
"118" 621 128 345 281
"119" 514 175 19 649
"120" 282 345 329 428
"121" 411 250 313 324
"122" 374 364 461 365
"123" 324 242 355 327
"124" 544 231 495 474
"125" 467 411 192 348
"126" 368 202 444 417
"127" 301 183 329 506
"128" 480 134 158 473
"129" 435 212 206 567
"130" 380 324 348 538
"131" 508 249 193 391
"132" 536 127 317 350
"133" 388 344 373 310
"134" 522 283 232 427
"135" 616 138 439 211
"136" 415 260 434 257
"137" 492 239 246 517
"138" 328 261 351 363
"139" 349 530 83 444
"140" 552 277 230 326
"141" 221 451 223 492
"142" 440 388 338 336
"143" 353 359 339 250
"144" 290 238 216 563
"145" 439 517 280 395
"146" 439 303 320 462
"147" 412 242 404 149
"148" 574 237 247 460
"149" 327 265 276 444
"150" 192 498 146 452
