"wings" "length" "weight"
"F1" 27.2 33.3 7.9
"F2" 28 28.5 6.6
"F3" 27 27.1 7.5
"F4" 23.9 30.3 8.7
"F5" 22.5 31.6 6.9
"F6" 24.8 29.2 7.1
"F7" 25.5 28.6 8.9
"F8" 25.4 29.1 6.8
"F9" 25.8 30.4 7
"F10" 25.6 31.8 7.2
"F11" 23.4 30.8 6.8
"F12" 24.7 30 7.2
"F13" 25.5 29.5 7.9
"F14" 25.4 28.4 8.9
"F15" 22.8 31.6 6.1
"F16" 26.1 28.3 7.3
"F17" 23.2 30 7.4
"F18" 26.8 30.4 6
"F19" 26.3 30.3 8.1
"F20" 25.9 30.2 7.8
"F21" 24.7 30.9 7.2
"F22" 23.9 29.4 8
"F23" 24.7 33 8.9
"F24" 24.5 31.6 8.2
"F25" 25.8 29.7 6.7
"F26" 25.2 30.2 7.6
"F27" 25.2 29.7 7.5
"F28" 26.7 29.8 7.1
"F29" 23.1 29.4 9.4
"F30" 28 30.3 8.5
"F31" 24 29.5 6.8
"F32" 24.7 31.2 7.1
"F33" 24.7 29 7.3
"F34" 26.4 28.9 7.1
"F35" 26.9 26.5 7.3
"F36" 26.7 27.2 8.2
"F37" 24.2 30.6 7.3
"F38" 24.5 29.7 8.4
"F39" 26.4 31.2 5
"F40" 27 27.9 5.6
"F41" 26.6 28.2 8.9
"F42" 27.6 27.4 7.6
"F43" 26.5 30.3 8.2
"F44" 26 28.4 8.7
"F45" 24.9 32 6.7
"F46" 25.4 31.3 7.2
"F47" 24.9 29.8 8.8
"F48" 24.3 27.7 6.3
"F49" 26.7 31.2 6.6
"F50" 25.1 30.3 6.2
