"wings" "length" "weight"
"M1" 23.1 32.3 8
"M2" 25.7 31 5.6
"M3" 25.7 29 8.4
"M4" 23.6 27 7.4
"M5" 24.5 29.7 8.5
"M6" 27.2 31.2 6.4
"M7" 23.8 29.2 7.8
"M8" 26.3 30.1 7.6
"M9" 24.6 29.1 4.9
"M10" 23.8 29.7 5.6
"M11" 24.6 30.9 7.7
"M12" 25.1 28.9 8
"M13" 24.8 30.2 7.1
"M14" 26.2 30 7.8
"M15" 25 29.7 7.5
"M16" 24.2 31 7.9
"M17" 26.7 30.9 7
"M18" 24.8 28.7 7.3
"M19" 24.4 29.1 7.2
"M20" 25.3 29.7 6.4
"M21" 25.8 29.9 8.6
"M22" 26.9 28.7 6.8
"M23" 24.9 30.6 7.2
"M24" 24.5 30.6 7.3
"M25" 24.5 27.8 7.6
"M26" 26.2 29.1 6.1
"M27" 23.3 29.9 7.4
"M28" 24.8 31.2 8
"M29" 27.6 31.5 6.6
"M30" 26 32.8 7.9
"M31" 25.5 29.3 6.1
"M32" 26.3 31 7.6
"M33" 25.2 31.3 7.1
"M34" 24.5 29 5.4
"M35" 25.8 33.1 7.8
"M36" 27 31.6 6.6
"M37" 23.5 27.6 7.4
"M38" 23 29.5 7.8
"M39" 24.7 29 9.3
"M40" 24.5 30.5 6.7
"M41" 24.8 30.5 7.5
"M42" 22.9 30.8 5.7
"M43" 24 29.7 8.5
"M44" 23.7 27.9 8.1
"M45" 26.3 29.8 6.7
"M46" 26 30.6 6.5
"M47" 24 28.4 7.2
"M48" 23.6 29.6 6.1
"M49" 25.3 30.2 7.2
"M50" 23.3 28.6 6.5
