"orecchiette" "cime" "spesa"
"1" 9900 11200 379740
"2" 6100 9600 313129
"3" 8900 9400 332510
"4" 4600 4800 202871
"5" 5700 12600 358723
"6" 5800 13400 388567
"7" 7100 3800 202406
"8" 1300 11200 286678
"9" 8100 7600 285955
"10" 1000 8200 235125
"11" 4300 12200 339117
"12" 4200 19200 469875
"13" 8100 3200 197998
"14" 5000 16000 420940
"15" 1900 14600 351603
"16" 8500 3200 193668
"17" 6900 16000 426467
"18" 7100 17000 453850
"19" 1600 5600 181694
"20" 4800 3200 165711
"21" 6200 7600 261782
"22" 7500 11600 347264
"23" 1600 5800 183864
"24" 8400 8400 297008
"25" 2100 3200 125610
"26" 4700 11800 341241
"27" 8600 17800 493012
"28" 3400 14400 375755
"29" 3900 4400 196407
"30" 7900 18200 494490
"31" 1900 3800 154233
"32" 3500 12400 331061
"33" 5100 3400 171267
"34" 9200 16200 440884
"35" 1900 12400 312108
"36" 5400 13200 358682
"37" 9000 1200 175568
"38" 6200 15400 449908
"39" 5400 5600 216167
"40" 5100 800 124151
"41" 2000 8400 221623
"42" 9800 11400 372363
"43" 2700 17600 438142
"44" 2600 19200 455486
"45" 3000 5000 170670
"46" 3700 19400 460368
"47" 2900 9400 255979
"48" 800 6400 194353
"49" 6400 4600 197459
"50" 8700 6200 263682
"51" 7200 9600 310555
"52" 9800 3800 230802
"53" 4300 19800 501685
"54" 300 1400 69578
"55" 7600 11000 352004
"56" 200 19200 442684
"57" 5000 6400 242957
