"durata" "temp" "vento"
"1" 4.51 "torrido" "ventilato"
"2" 4.03 "torrido" "fermo"
"3" 4.34 "torrido" "ventilato"
"4" 3.87 "torrido" "fermo"
"5" 3.68 "caldo" "fermo"
"6" 3.53 "torrido" "fermo"
"7" 3.8 "torrido" "fermo"
"8" 3.64 "caldo" "fermo"
"9" 4.33 "torrido" "ventilato"
"10" 4.4 "torrido" "ventilato"
"11" 3.69 "torrido" "fermo"
"12" 3.84 "caldo" "fermo"
"13" 4.6 "caldo" "ventilato"
"14" 3.86 "caldo" "fermo"
"15" 4 "caldo" "fermo"
"16" 3.6 "torrido" "fermo"
"17" 3.63 "caldo" "fermo"
"18" 4.41 "caldo" "ventilato"
"19" 4.32 "caldo" "ventilato"
"20" 4.5 "caldo" "ventilato"
"21" 4.34 "torrido" "ventilato"
"22" 4.26 "torrido" "ventilato"
"23" 4.11 "caldo" "ventilato"
"24" 3.91 "caldo" "fermo"
"25" 3.84 "caldo" "fermo"
"26" 4.41 "caldo" "ventilato"
"27" 4.31 "torrido" "ventilato"
"28" 4.12 "torrido" "fermo"
"29" 3.96 "torrido" "fermo"
"30" 4.51 "caldo" "ventilato"
"31" 3.85 "torrido" "fermo"
"32" 4.04 "caldo" "fermo"
"33" 4.37 "caldo" "ventilato"
"34" 3.87 "torrido" "fermo"
"35" 4.06 "caldo" "fermo"
"36" 3.91 "torrido" "fermo"
"37" 4.06 "caldo" "fermo"
"38" 4.39 "torrido" "ventilato"
"39" 4.21 "caldo" "ventilato"
"40" 4.38 "torrido" "ventilato"
"41" 3.61 "caldo" "fermo"
"42" 3.86 "torrido" "fermo"
"43" 3.9 "torrido" "fermo"
"44" 4.54 "torrido" "ventilato"
"45" 3.9 "caldo" "fermo"
"46" 4.49 "caldo" "ventilato"
