"diametro" "altezza1" "altezza2"
"1" 3.868 2.56 2.714
"2" 5.598 2.509 2.978
"3" 5.524 2.116 2.624
"4" 4.227 1.631 3.103
"5" 4.975 1.764 2.57
"6" 5.551 1.892 2.636
"7" 5.154 2.112 3.218
"8" 3.81 1.766 3.077
"9" 5.085 1.93 3.056
"10" 4.753 1.11 1.67
"11" 4.669 2.311 1.993
"12" 5.639 1.995 2.999
"13" 4.355 1.591 1.701
"14" 4.87 2.574 2.195
"15" 4.999 1.9 2.776
"16" 3.207 1.563 2.29
"17" 5.44 2.708 2.875
"18" 5.527 1.328 3.097
"19" 5.39 1.811 2.918
"20" 3.664 1.851 2.829
"21" 4.76 1.816 2.256
"22" 4.812 1.117 1.752
"23" 4.336 1.27 2.632
"24" 5.592 1.711 2.646
"25" 5.428 2.216 2.957
"26" 5.701 2.34 3.366
"27" 4.744 2.76 3.246
"28" 4.005 1.709 2.835
"29" 2.996 1.442 2.092
"30" 5.646 1.829 3.03
"31" 4.653 1.954 2.618
"32" 5.292 1.907 2.866
"33" 3.828 2.38 2.492
"34" 5.85 1.974 2.718
"35" 4.652 1.723 2.514
"36" 4.873 2.454 3.298
"37" 5.458 2.49 2.48
"38" 5.512 2.812 2.407
"39" 4.161 2.166 2.757
"40" 2.523 1.414 2.106
"41" 4.828 2.34 2.948
"42" 4.432 2.464 2.234
"43" 4.317 2.975 3.132
"44" 5.507 2.6 3.393
"45" 4.512 1.108 2.01
"46" 5.957 2.592 2.064
"47" 3.708 1.504 2.357
"48" 5.879 2.33 2.843
"49" 5.095 2.454 2.364
"50" 5.718 1.901 2.357
"51" 5.731 1.777 2.307
"52" 3.962 1.442 1.971
"53" 3.461 1.938 2.641
"54" 5.041 1.738 2.223
"55" 5.595 1.448 3.236
"56" 3.567 1.159 1.932
"57" 3.969 2.37 3.048
"58" 4.568 1.576 3.432
"59" 4.326 2.168 2.96
"60" 5.842 2.591 3.128
"61" 5.968 1.458 2.988
"62" 3.646 2.575 3.544
"63" 4.497 1.408 2.794
"64" 3.217 1.752 2.404
"65" 4.641 1.362 2.871
"66" 5.372 1.139 2.9
"67" 3.119 1.779 3.095
"68" 5.072 2.01 2.056
"69" 4.223 1.606 2.331
"70" 7.698 2.613 3.64
"71" 4.481 1.769 2.363
"72" 5.487 2.966 2.696
"73" 5.319 1.935 2.151
"74" 6.293 1.909 3.1
"75" 5.468 2.342 2.324
"76" 4.832 1.903 2.764
"77" 4.203 1.992 2.075
"78" 5.852 2.665 3.403
"79" 4.696 1.909 2.166
"80" 4.07 2.058 2.989
