"mass" "energy" "reaction"
"1" "9.255" "10.158" "emission"
"2" "11.71" "9.717" "emission"
"3" "10.331" "10.29" "emission"
"4" "15.666" "5.128" "emission"
"5" "7.411" "12.797" "emission"
"6" "11.328" "7.993" "emission"
"7" "10.729" "9.867" "emission"
"8" "11.453" "8.196" "emission"
"9" "5.485" "13.513" "emission"
"10" "10.907" "9.885" "emission"
"11" "11.272" "8.387" "emission"
"12" "3.368" "16.398" "emission"
"13" "13.342" "6.704" "emission"
"14" "8.281" "12.064" "emission"
"15" "12.933" "8.185" "emission"
"16" "6.963" "12.757" "emission"
"17" "9.72" "10.31" "emission"
"18" "8.555" "10.956" "emission"
"19" "9.381" "10.74" "emission"
"20" "9.371" "11.06" "emission"
"21" "10.101" "10.724" "emission"
"22" "10.055" "10.819" "emission"
"23" "12.839" "6.857" "emission"
"24" "10.415" "10.538" "emission"
"25" "8.255" "11.564" "emission"
"26" "11.964" "8.821" "emission"
"27" "8.655" "11.924" "emission"
"28" "9.27" "9.839" "emission"
"29" "11.011" "8.453" "emission"
"30" "10.272" "8.345" "emission"
"31" "9.814" "10.746" "emission"
"32" "14.285" "5.773" "emission"
"33" "9.855" "10.839" "emission"
"34" "11.962" "7.348" "emission"
"35" "10.179" "9.967" "emission"
"36" "10.345" "10.322" "emission"
"37" "8.886" "9.998" "emission"
"38" "7.775" "12.891" "emission"
"39" "10.277" "9.159" "emission"
"40" "11.682" "7.3" "emission"
"41" "10.081" "9.827" "emission"
"42" "11.774" "8.221" "emission"
"43" "9.656" "9.798" "emission"
"44" "9.085" "9.529" "emission"
"45" "10.001" "9.923" "emission"
"46" "13.686" "7.637" "emission"
"47" "11.663" "7.783" "emission"
"48" "10.225" "10.243" "emission"
"49" "6.863" "11.977" "emission"
"50" "10.157" "10.468" "emission"
"51" "9.226" "10.215" "emission"
"52" "9.838" "9.352" "emission"
"53" "7.342" "12.345" "emission"
"54" "11.333" "8.468" "emission"
"55" "8.747" "12.073" "emission"
"56" "12.284" "7.698" "emission"
"57" "9.666" "10.048" "emission"
"58" "11.32" "9.947" "emission"
"59" "12.793" "7.351" "emission"
"60" "12.413" "7.325" "emission"
"61" "10.69" "8.642" "emission"
"62" "10.312" "8.622" "emission"
"63" "7.69" "12.264" "emission"
"64" "14.376" "5.412" "emission"
"65" "12.562" "7.862" "emission"
"66" "6.903" "13.352" "emission"
"67" "8.666" "10.819" "emission"
"68" "10.339" "9.303" "emission"
"69" "11.393" "8.734" "emission"
"70" "8.008" "12.589" "emission"
"71" "6.197" "13.989" "emission"
"72" "11.262" "7.324" "emission"
"73" "8.679" "11.123" "emission"
"74" "10.791" "9.113" "emission"
"75" "12.308" "8.854" "emission"
"76" "10.651" "10.175" "emission"
"77" "12.607" "7.525" "emission"
"78" "10.75" "9.363" "emission"
"79" "7.971" "11.911" "emission"
"80" "11.452" "8.13" "emission"
"81" "9.219" "10.513" "emission"
"82" "9.135" "10.943" "emission"
"83" "9.613" "9.103" "emission"
"84" "10.326" "9.406" "emission"
"85" "11.13" "8.322" "emission"
"86" "10.84" "9.913" "emission"
"87" "9.826" "9.549" "emission"
"88" "9.205" "10.752" "emission"
"89" "8.926" "11.409" "emission"
"90" "8.551" "10.831" "emission"
"91" "8.348" "10.545" "emission"
"92" "10.43" "9.501" "emission"
"93" "10.571" "9.664" "emission"
"94" "12.913" "6.255" "emission"
"95" "9.287" "10.398" "emission"
"96" "9.131" "11.116" "emission"
"97" "12.076" "7.834" "emission"
"98" "9.563" "9.915" "emission"
"99" "9.168" "11.234" "emission"
"100" "10.297" "9.667" "emission"
"101" "19.065" "17.165" "fission"
"102" "12.519" "13.779" "fission"
"103" "13.832" "12.475" "fission"
"104" "23.812" "23.223" "fission"
"105" "28.342" "27.044" "fission"
"106" "16.408" "18.4" "fission"
"107" "25.364" "22.436" "fission"
"108" "20.861" "18.023" "fission"
"109" "18.597" "14.181" "fission"
"110" "16.287" "16.56" "fission"
"111" "28.944" "28.8" "fission"
