"partenza" "durata" "giorno"
"974" 8.85 0.57 "festivo"
"486" 6.29 0.43 "feriale"
"264" 8.54 0.64 "feriale"
"12" 6.5 0.49 "feriale"
"1011" 8.03 0.54 "festivo"
"729" 7.96 0.66 "feriale"
"743" 7.72 0.64 "feriale"
"1104" 6.4 0.37 "festivo"
"616" 8.51 0.67 "feriale"
"576" 8.56 0.62 "feriale"
"202" 6.96 0.55 "feriale"
"730" 6.15 0.42 "feriale"
"62" 8.1 0.63 "feriale"
"995" 6.61 0.42 "festivo"
"748" 8.17 0.65 "feriale"
"909" 6.13 0.35 "festivo"
"125" 7.6 0.56 "feriale"
"872" 8.31 0.66 "feriale"
"119" 7.26 0.57 "feriale"
"399" 8.93 0.68 "feriale"
"185" 8.88 0.62 "feriale"
"707" 8.14 0.6 "feriale"
"1077" 6.93 0.52 "festivo"
"76" 7.89 0.62 "feriale"
"1086" 7.69 0.54 "festivo"
"579" 6.91 0.49 "feriale"
"51" 6.29 0.46 "feriale"
"432" 8.14 0.57 "feriale"
"451" 6.78 0.52 "feriale"
"214" 6.4 0.55 "feriale"
"852" 7.34 0.64 "feriale"
"689" 6.44 0.48 "feriale"
"118" 8.14 0.64 "feriale"
"574" 7.49 0.6 "feriale"
"321" 6.65 0.39 "feriale"
"497" 6.31 0.44 "feriale"
"533" 7.11 0.57 "feriale"
"96" 7.55 0.75 "feriale"
"127" 6.26 0.35 "feriale"
"820" 6.44 0.39 "feriale"
"1044" 8.81 0.52 "festivo"
"436" 8.99 0.59 "feriale"
"460" 7.64 0.59 "feriale"
"719" 7.04 0.59 "feriale"
"14" 7.44 0.63 "feriale"
"428" 7.22 0.53 "feriale"
"440" 6.15 0.43 "feriale"
"133" 6.41 0.51 "feriale"
"1016" 8.85 0.64 "festivo"
"243" 8.31 0.65 "feriale"
"358" 6.34 0.47 "feriale"
"933" 8.07 0.58 "festivo"
"75" 8.53 0.63 "feriale"
"300" 6.17 0.51 "feriale"
"772" 6.45 0.43 "feriale"
"614" 8.47 0.61 "feriale"
"111" 6.06 0.44 "feriale"
"950" 7.75 0.57 "festivo"
"248" 8.43 0.66 "feriale"
"927" 8.01 0.57 "festivo"
"742" 6.82 0.51 "feriale"
"219" 6.07 0.39 "feriale"
"168" 6.37 0.47 "feriale"
"646" 7.7 0.66 "feriale"
"583" 8.89 0.58 "feriale"
