"Lon" "Lat"
"1" -59.88 30.017
"2" -59.96 30.056
"3" -60 30.073
"4" -60.019 29.975
"5" -59.985 30.045
"6" -60.022 30.015
"7" -60.116 29.877
"8" -60.043 29.97
"9" -59.821 30.1
"10" -60.065 29.869
"11" -59.967 29.988
"12" -60.106 29.946
"13" -60.012 29.947
"14" -59.92 30.035
"15" -59.918 30.091
"16" -60.169 29.851
"17" -60.005 30.032
"18" -60.206 29.835
"19" -59.962 30.002
"20" -59.997 29.991
"21" -59.875 30.114
"22" -60.022 29.957
"23" -60.158 29.907
"24" -60.083 29.887
"25" -60.032 29.871
"26" -59.964 30.111
"27" -59.938 30.09
"28" -59.834 30.034
"29" -60.064 29.891
"30" -60.094 29.865
"31" -59.999 30.006
"32" -59.986 30.043
"33" -59.906 30.035
"34" -59.949 30.072
"35" -59.93 30.103
"36" -59.996 30.02
"37" -59.84 30.222
"38" -59.939 30.033
"39" -60.023 30.036
"40" -59.796 30.274
"41" -60.049 30.011
"42" -60.044 29.953
"43" -60.043 29.963
"44" -59.932 30.143
"45" -60.098 29.887
"46" -60.095 29.926
"47" -59.994 29.956
"48" -59.903 30.114
"49" -60.009 30.05
"50" -60.096 29.848
"51" -60.035 30.047
"52" -60.044 29.969
"53" -59.953 30.054
"54" -59.869 30.078
"55" -60.154 29.871
"56" -60.021 29.916
"57" -59.869 30.169
"58" -59.924 30.039
"59" -59.971 29.97
"60" -59.996 30.053
"61" -60.065 29.969
"62" -59.925 30.097
"63" -60.011 29.988
"64" -60.173 29.813
"65" -60.16 29.863
"66" -59.931 30.073
"67" -60.077 29.892
"68" -60.015 29.956
"69" -60.106 29.86
"70" -59.9 30.117
"71" -60.171 29.853
"72" -60.057 29.977
"73" -59.952 30.057
"74" -60.059 29.962
"75" -59.891 30.049
"76" -59.852 30.175
"77" -59.943 29.994
"78" -60.183 29.797
"79" -60.049 29.958
"80" -60.039 29.956
"81" -60.047 29.861
"82" -59.819 30.192
"83" -60.083 29.929
"84" -60.078 29.9
"85" -59.845 30.116
"86" -59.998 30.078
"87" -60.018 30.007
"88" -59.95 30.031
"89" -60.036 30.054
"90" -60.045 29.957
"91" -59.794 30.146
"92" -59.991 30
"93" -59.891 30.126
"94" -60.009 30.016
"95" -60.008 30.057
"96" -60.078 29.927
"97" -60.028 29.96
"98" -59.945 30.065
"99" -60.082 29.914
"100" -59.98 30.039
"101" -59.986 29.976
"102" -59.817 30.228
"103" -60.106 29.906
"104" -60.017 29.988
"105" -59.955 30.008
"106" -60.054 29.913
"107" -60.039 29.967
"108" -60.043 29.887
"109" -60.034 30.072
"110" -59.941 30.022
"111" -59.82 30.179
"112" -59.81 30.108
"113" -60.068 29.952
"114" -59.978 30.001
"115" -60.043 30.067
"116" -59.974 30.01
"117" -59.961 30.015
"118" -60.087 29.98
"119" -60.034 30.01
"120" -59.955 30.079
"121" -60.156 29.809
"122" -59.972 30.093
"123" -60.018 29.993
"124" -60.001 30.089
"125" -59.951 30.089
"126" -60.075 29.937
"127" -60.157 29.831
"128" -60.016 29.971
"129" -60.11 29.922
"130" -60.093 30.001
"131" -59.91 30.088
"132" -60.004 30.022
"133" -59.93 30.05
"134" -60.079 29.936
"135" -59.863 30.051
"136" -60.061 29.991
"137" -59.929 30.095
"138" -60.058 29.977
"139" -59.971 30.029
"140" -59.923 30.125
"141" -60.082 29.975
"142" -59.908 30.101
"143" -60.137 29.908
"144" -60.085 29.852
"145" -59.884 30.126
"146" -59.915 30.086
"147" -60.063 29.914
"148" -59.856 30.092
"149" -60.062 29.964
"150" -59.901 30.095
"151" -60.096 29.927
"152" -59.893 30.055
"153" -60.124 29.934
