"Azioni" "Obbligazioni" "Fondi"
"1" 51.282 89.653 90.573
"2" 64.454 110.991 93.881
"3" 20.313 92.197 104.904
"4" 42.772 94.078 99.67
"5" 44.089 104.929 71.647
"6" 63.238 117.713 67.259
"7" 40.982 86.535 86.642
"8" 76.388 118.056 60.481
"9" 26.298 73.101 107.601
"10" 60.184 89.7 95.578
"11" 44.193 65.496 98.627
"12" 32.415 76.715 112.26
"13" 44.52 77.491 92.618
"14" 75.284 84.497 72.925
"15" 61.407 96.51 69.02
"16" 55.002 106.742 77.504
"17" 58.658 88.274 100.432
"18" 58.256 63.944 114.298
"19" 34.26 93.15 110.133
"20" 57.233 97.899 93.143
"21" 64.485 116.259 99.982
"22" 41.015 83.537 100.222
"23" 60.156 106.307 71.4
"24" 69.674 113.578 76.888
"25" 53.307 103.108 90.553
"26" 35.232 53.761 98.439
"27" 61.088 95.004 107.781
"28" 41.145 84.964 87.868
"29" 38.992 87.61 82.165
"30" 66.163 119.024 83.103
"31" 41.362 94.345 110.028
"32" 65.706 104.033 68.561
"33" 43.743 82.801 93.87
"34" 63.418 95.718 91.488
"35" 69.436 109.223 82.32
"36" 65.367 100.05 86.958
"37" 42.611 80.884 84.987
"38" 70.663 80.737 80.519
"39" 67.973 96.61 78.075
"40" 48.211 86.775 95.253
"41" 92.057 116.204 73.959
"42" 67.257 124.428 74.262
"43" 40.998 79.517 81.593
"44" 46.751 79.723 83.872
"45" 36.713 96.204 81.421
"46" 34.467 70.817 87.921
"47" 42.789 78.154 78.56
"48" 48.674 97.652 85.676
"49" 64.187 100.197 80.672
"50" 79.654 110.429 96.12
