"Azioni" "Obbligazioni" "Fondi"
"1" 65.651 101.318 61.263
"2" 85.078 124.597 59.846
"3" 55.553 109.578 60.13
"4" 60.641 102.975 66.541
"5" 61.786 113.316 49.057
"6" 70.481 117.458 53.197
"7" 61.809 98.527 61.331
"8" 74.962 107.144 46.581
"9" 62.673 100.911 60.208
"10" 78.961 98.314 70.421
"11" 71.932 78.674 70.505
"12" 70.562 98.571 69.95
"13" 71.626 96.739 58.388
"14" 88.383 84.501 56.572
"15" 74.57 98.312 48.71
"16" 75.203 111.823 53.988
"17" 88.21 108.937 54.466
"18" 83.482 87.779 81.345
"19" 62.578 104.931 70.103
"20" 74.31 104.625 67.72
"21" 82.574 122.162 64.76
"22" 67.31 92.164 66.633
"23" 67.423 101.36 61.941
"24" 69.796 105.363 63.314
"25" 70.324 112.527 67.31
"26" 68.322 74.518 52.288
"27" 79.602 104.023 82.461
"28" 67.105 96.276 56.596
"29" 63.378 101.75 48.08
"30" 60.785 106.653 75.875
"31" 75.3 118.239 67.784
"32" 77.176 110.511 50.271
"33" 61.511 98.849 64.401
"34" 78.49 103.042 59.457
"35" 82.203 109.313 58.019
"36" 80.356 101.738 64.68
"37" 69.671 96.064 54.964
"38" 85.268 90.879 59.793
"39" 77.024 97.989 52.426
"40" 65.995 98.235 58.345
"41" 89.042 106.194 63.89
"42" 65.577 111.365 61.941
"43" 62.593 92.66 49.463
"44" 72.31 96.335 49.081
"45" 58.277 106.387 49.34
"46" 60.928 91.315 50.575
"47" 72.408 95.494 44.087
"48" 68.154 109.285 58.924
"49" 72.6 97.388 65.59
"50" 82.738 99.87 85.861
