"Linate" "Malpensa" "Orio"
"1" 1824 4033 2065
"2" 1874 3885 2101
"3" 1986 4102 2165
"4" 1906 4227 1795
"5" 1846 3881 2022
"6" 1889 4012 2163
"7" 2154 3922 2078
"8" 2132 3975 1992
"9" 1924 3967 1937
"10" 1898 4120 1936
"11" 1935 4082 2047
"12" 2037 3960 1941
"13" 1936 3818 2151
"14" 1968 3996 1875
"15" 1914 4021 1939
"16" 2052 4034 1974
"17" 1949 4074 2006
"18" 1958 3932 1965
"19" 2089 3917 2004
"20" 1813 3870 1975
"21" 1980 4140 1964
"22" 1961 4085 1989
"23" 1910 3987 1941
"24" 1909 3974 1944
"25" 2131 4122 1985
"26" 1955 3979 1874
"27" 2176 3997 2018
"28" 2012 4019 1987
"29" 2033 4152 1895
"30" 2060 3912 2042
