"Lunghezza" "Larghezza" "Classe"
"1" 61 44 "H"
"2" 74 54 "H"
"3" 79 60 "H"
"4" 76 53 "H"
"5" 44 30 "L"
"6" 71 47 "H"
"7" 68 48 "H"
"8" 50 38 "L"
"9" 85 62 "H"
"10" 73 53 "H"
"11" 49 40 "L"
"12" 67 44 "H"
"13" 52 46 "L"
"14" 75 56 "H"
"15" 54 48 "L"
"16" 65 42 "H"
"17" 52 44 "L"
"18" 61 43 "H"
"19" 71 54 "H"
"20" 75 57 "H"
"21" 53 44 "L"
"22" 43 30 "L"
"23" 48 41 "L"
"24" 47 39 "L"
"25" 44 40 "L"
"26" 50 43 "L"
"27" 53 49 "L"
"28" 78 60 "H"
"29" 40 31 "L"
"30" 50 42 "L"
"31" 60 38 "H"
"32" 73 51 "H"
"33" 54 41 "L"
"34" 77 57 "H"
"35" 73 51 "H"
"36" 68 47 "H"
"37" 78 57 "H"
"38" 68 43 "H"
"39" 47 33 "L"
"40" 48 43 "L"
"41" 76 57 "H"
"42" 75 51 "H"
"43" 50 42 "L"
"44" 75 55 "H"
"45" 52 40 "L"
"46" 64 47 "H"
"47" 50 38 "L"
"48" 57 46 "L"
"49" 71 46 "H"
"50" 64 46 "H"
"51" 54 46 "L"
"52" 47 41 "L"
"53" 49 34 "L"
"54" 52 42 "L"
"55" 65 49 "H"
"56" 42 33 "L"
"57" 62 41 "H"
"58" 45 36 "L"
"59" 71 53 "H"
"60" 51 38 "L"
"61" 49 36 "L"
"62" 47 43 "L"
"63" 36 29 "L"
"64" 62 43 "H"
"65" 67 48 "H"
"66" 68 43 "H"
"67" 51 41 "L"
"68" 41 35 "L"
"69" 56 46 "L"
"70" 36 32 "L"
"71" 48 42 "L"
"72" 54 42 "L"
"73" 69 47 "H"
"74" 40 38 "L"
"75" 43 35 "L"
"76" 70 46 "H"
"77" 69 47 "H"
"78" 67 48 "H"
"79" 54 44 "L"
"80" 44 39 "L"
"81" 61 46 "H"
"82" 73 50 "H"
"83" 55 42 "L"
"84" 46 38 "L"
"85" 47 34 "L"
"86" 63 51 "H"
"87" 68 52 "H"
"88" 51 35 "L"
"89" 51 43 "L"
"90" 47 34 "L"
"91" 74 54 "H"
"92" 53 44 "L"
"93" 71 53 "H"
"94" 63 49 "H"
"95" 49 40 "L"
"96" 55 39 "L"
"97" 47 37 "L"
"98" 45 35 "L"
"99" 54 39 "L"
"100" 50 35 "L"
"101" 50 38 "L"
"102" 49 39 "L"
"103" 70 47 "H"
"104" 74 50 "H"
"105" 50 41 "L"
"106" 64 46 "H"
"107" 47 39 "L"
"108" 73 57 "H"
"109" 50 43 "L"
"110" 75 57 "H"
"111" 53 42 "L"
"112" 74 48 "H"
"113" 71 59 "H"
"114" 66 46 "H"
"115" 59 41 "H"
"116" 75 52 "H"
"117" 74 55 "H"
"118" 73 61 "H"
"119" 48 37 "L"
"120" 61 45 "L"
"121" 66 49 "H"
"122" 71 57 "H"
"123" 48 43 "L"
"124" 58 44 "H"
"125" 61 41 "H"
"126" 45 38 "L"
"127" 72 55 "H"
"128" 46 41 "L"
"129" 51 40 "L"
"130" 64 49 "L"
"131" 73 50 "H"
"132" 70 49 "H"
"133" 65 49 "H"
"134" 61 55 "L"
"135" 48 38 "L"
"136" 54 42 "L"
"137" 72 49 "H"
"138" 73 49 "H"
"139" 63 48 "H"
"140" 72 54 "H"
"141" 67 47 "H"
"142" 65 52 "L"
"143" 45 30 "L"
"144" 68 46 "H"
"145" 71 51 "H"
"146" 77 55 "H"
"147" 56 45 "L"
"148" 52 45 "L"
"149" 52 42 "L"
"150" 69 50 "H"
"151" 48 39 "L"
"152" 47 37 "L"
"153" 47 33 "L"
"154" 43 31 "L"
"155" 54 43 "L"
"156" 57 49 "L"
"157" 67 47 "H"
"158" 48 37 "L"
"159" 76 53 "H"
"160" 54 43 "L"
"161" 53 49 "L"
"162" 44 38 "L"
"163" 49 37 "L"
"164" 52 44 "L"
"165" 46 32 "L"
"166" 75 56 "H"
"167" 51 46 "L"
"168" 68 48 "H"
"169" 44 36 "L"
"170" 70 51 "H"
"171" 57 45 "L"
"172" 77 62 "H"
"173" 71 51 "H"
"174" 68 50 "H"
"175" 78 52 "H"
"176" 70 53 "H"
"177" 77 52 "H"
"178" 45 29 "L"
"179" 40 41 "L"
"180" 73 48 "H"
"181" 67 48 "H"
"182" 70 50 "H"
"183" 49 34 "L"
"184" 67 46 "H"
"185" 73 53 "H"
"186" 74 53 "H"
"187" 69 45 "H"
"188" 48 46 "L"
"189" 44 35 "L"
"190" 60 44 "H"
"191" 75 55 "H"
"192" 83 60 "H"
"193" 69 46 "H"
"194" 78 61 "H"
"195" 57 50 "L"
"196" 69 49 "H"
"197" 65 49 "H"
"198" 51 44 "L"
"199" 69 49 "H"
"200" 40 35 "L"
