"km" "tempo" "mezzo" "giorno"
"1" 7.822 161.65 "autobus" "feriale"
"2" 7.408 155.75 "autobus" "feriale"
"3" 8.598 178.9 "autobus" "feriale"
"4" 3.447 78.38 "autobus" "feriale"
"5" 5.682 116.18 "autobus" "feriale"
"6" 5.092 105.58 "autobus" "feriale"
"7" 4.485 93.49 "autobus" "feriale"
"8" 9.167 189.14 "autobus" "feriale"
"9" 3.886 79.8 "autobus" "feriale"
"10" 8.894 187.43 "autobus" "feriale"
"11" 4.745 99.83 "autobus" "feriale"
"12" 5.694 117.15 "autobus" "feriale"
"13" 9.109 184.32 "autobus" "feriale"
"14" 8.31 170.29 "autobus" "feriale"
"15" 6.557 136.63 "autobus" "feriale"
"16" 8.884 183.68 "autobus" "feriale"
"17" 7.772 159.85 "autobus" "feriale"
"18" 2.377 54.61 "autobus" "feriale"
"19" 6.087 123.9 "autobus" "feriale"
"20" 8.205 169.68 "autobus" "feriale"
"21" 8.247 132.15 "autobus" "festivo"
"22" 7.93 124.99 "autobus" "festivo"
"23" 5.895 89.57 "autobus" "festivo"
"24" 5.887 91.87 "autobus" "festivo"
"25" 6.357 104.19 "autobus" "festivo"
"26" 7.969 125.57 "autobus" "festivo"
"27" 8.196 131.58 "autobus" "festivo"
"28" 7.885 124.33 "autobus" "festivo"
"29" 7.593 119 "autobus" "festivo"
"30" 3.488 56.65 "autobus" "festivo"
"31" 4.322 88.2 "filobus" "feriale"
"32" 9.182 187.56 "filobus" "feriale"
"33" 8.072 165.9 "filobus" "feriale"
"34" 7.328 151.54 "filobus" "feriale"
"35" 7.202 151.05 "filobus" "feriale"
"36" 8.714 177.23 "filobus" "feriale"
"37" 9.475 195.35 "filobus" "feriale"
"38" 9.804 202.84 "filobus" "feriale"
"39" 7.413 156.17 "filobus" "feriale"
"40" 8.676 177.73 "filobus" "feriale"
"41" 7.5 156.28 "filobus" "feriale"
"42" 3.056 64.74 "filobus" "feriale"
"43" 8.395 172.3 "filobus" "feriale"
"44" 4.26 91.03 "filobus" "feriale"
"45" 2.412 54.95 "filobus" "feriale"
"46" 4.859 99.69 "filobus" "feriale"
"47" 3.96 83.8 "filobus" "feriale"
"48" 8.649 181.54 "filobus" "feriale"
"49" 6.845 145.62 "filobus" "feriale"
"50" 2.639 58.06 "filobus" "feriale"
"51" 5.365 83.68 "filobus" "festivo"
"52" 3.932 62.89 "filobus" "festivo"
"53" 2.838 47.42 "filobus" "festivo"
"54" 3.62 59.41 "filobus" "festivo"
"55" 3.651 61.11 "filobus" "festivo"
"56" 8.317 127.09 "filobus" "festivo"
"57" 5.111 79.06 "filobus" "festivo"
"58" 8.758 133.32 "filobus" "festivo"
"59" 4.51 73.08 "filobus" "festivo"
"60" 3.427 57.24 "filobus" "festivo"
"61" 5.916 96.67 "tram" "feriale"
"62" 7.994 125.37 "tram" "feriale"
"63" 2.851 49.72 "tram" "feriale"
"64" 6.326 100.27 "tram" "feriale"
"65" 9.901 155.82 "tram" "feriale"
"66" 6.039 99.72 "tram" "feriale"
"67" 3.191 51.37 "tram" "feriale"
"68" 2.828 47.76 "tram" "feriale"
"69" 2.092 34.71 "tram" "feriale"
"70" 7.658 124.98 "tram" "feriale"
"71" 8.559 132.81 "tram" "feriale"
"72" 5.682 89.24 "tram" "feriale"
"73" 7.76 123.98 "tram" "feriale"
"74" 6.709 105.42 "tram" "feriale"
"75" 7.434 122.17 "tram" "feriale"
"76" 2.381 36.29 "tram" "feriale"
"77" 2.474 44.15 "tram" "feriale"
"78" 9.192 141.17 "tram" "feriale"
"79" 9.304 145.94 "tram" "feriale"
"80" 4.815 78.47 "tram" "feriale"
"81" 5.381 59.12 "tram" "festivo"
"82" 3.47 39.77 "tram" "festivo"
"83" 9.28 101.12 "tram" "festivo"
"84" 4.404 54.35 "tram" "festivo"
"85" 2.315 28.4 "tram" "festivo"
"86" 7.585 81.35 "tram" "festivo"
"87" 6.008 60.68 "tram" "festivo"
"88" 8.12 82.31 "tram" "festivo"
"89" 8.176 83.63 "tram" "festivo"
"90" 8.5 90.27 "tram" "festivo"
