"info" "tele" "music"
"1" 301.02 419.5 141.15
"2" 292.93 396.87 83.61
"3" 284.75 406.69 142.66
"4" 199.35 383.68 64.4
"5" 172.12 408.75 227.06
"6" 203.91 402.44 89.35
"7" 205.17 398.48 83.72
"8" 263.98 417.84 92.6
"9" 196.78 381.7 73.93
"10" 198.35 389.79 66.29
"11" 182.9 400.05 207.83
"12" 307.72 388.26 82.34
"13" 291.22 397.44 83.75
"14" 160.54 386.37 205.44
"15" 204.02 383.83 114.15
"16" 219.29 438.25 116.38
"17" 310.01 366.75 84.47
"18" 217.89 372.52 195.17
"19" 290.26 441.88 63.12
"20" 218.96 402.81 213.74
"21" 178.38 386.44 130.17
"22" 162.25 399.37 97.04
"23" 159.65 377 152.74
"24" 315.86 407.66 107.27
"25" 309.6 396.08 95.11
"26" 314.93 405.28 90.87
"27" 265.06 440.75 87.95
"28" 282.17 409.23 108.19
"29" 173.38 403.43 101.38
"30" 258.06 399.45 74.7
"31" 215.16 373.51 47.35
"32" 186.49 408.28 212.54
"33" 199.96 416.71 117.94
"34" 317.68 411.41 83.98
"35" 180.47 378.06 84.98
"36" 193.27 396.57 120.24
"37" 171.27 420.38 230.18
"38" 206.64 392.97 53.04
"39" 297.44 422.85 122.28
"40" 210.38 390.13 99.07
"41" 327.39 377.14 89.1
"42" 187.53 424.5 85.92
"43" 299.61 364.15 101.72
"44" 269.6 374.95 122.59
"45" 229.24 416.52 152.99
"46" 285.47 390.26 82.12
"47" 172.61 385.36 188.64
"48" 218.15 373.87 87.75
"49" 172.48 392.05 118.27
"50" 343.88 385 103.56
"51" 192.24 438.78 168.19
"52" 177.99 394.21 77.3
"53" 193.76 397.48 129.17
"54" 193.27 407.58 57.65
"55" 147.46 394.12 106.46
"56" 209.78 388.92 150.19
"57" 222.95 450.75 132.56
"58" 215.13 401.09 126.18
"59" 204.73 377.44 134.32
"60" 195.12 385.27 176.78
"61" 298.42 405 83.63
"62" 204.34 423.93 80.35
"63" 196.57 400.73 135.65
"64" 217.53 388.89 110.25
"65" 210.57 398.65 214.47
"66" 228.51 406 201.8
"67" 182.44 424.25 179.46
"68" 259.85 394.06 83.95
"69" 186.5 412.22 90.39
"70" 298 407.96 116.1
"71" 236.13 378.31 101.17
"72" 178.66 409.29 87.4
"73" 191.42 404.27 101.35
"74" 202.84 381.34 78.14
"75" 306.28 399.02 132.12
"76" 189.15 402.24 108.08
"77" 208.11 433.79 107.94
"78" 295.13 397.86 140.87
"79" 210.84 400.46 76.99
"80" 183.34 445.07 160.96
"81" 205.25 426.39 185.28
"82" 197.37 398.68 55.6
"83" 206.56 384.72 195.52
"84" 199.52 416.3 85.87
"85" 192.54 393.24 72.87
"86" 208.71 403.56 143.86
"87" 295.83 435.32 79.66
"88" 199.08 447.89 73.72
"89" 303.55 377.34 86.74
"90" 280.23 401.34 109.62
"91" 191.51 436.14 111.4
"92" 206.91 421.53 119.73
"93" 193.51 359.4 71.49
"94" 207.04 381.94 80.69
"95" 177.46 428.7 81.36
"96" 191.38 403.78 71.05
"97" 275.87 404.1 107.62
"98" 203.08 381.28 212.14
"99" 166.47 402.63 174.54
"100" 277.45 422.24 83.44
