"tempo" "tratta" "mezzo"
"1" 12.7 1054 "piedi"
"2" 18.22 3648 "auto"
"3" 28.55 4629 "auto"
"4" 34.18 5336 "auto"
"5" 34.44 4501 "auto"
"6" 18.84 1031 "piedi"
"7" 21.5 3600 "auto"
"8" 10.16 989 "bici"
"9" 12.63 859 "piedi"
"10" 35.2 5760 "auto"
"11" 12.02 962 "piedi"
"12" 13.93 945 "piedi"
"13" 18.18 1549 "piedi"
"14" 5.53 644 "bici"
"15" 22.69 1334 "piedi"
"16" 13.69 1370 "bici"
"17" 19.87 1893 "auto"
"18" 27.69 4179 "auto"
"19" 6.8 686 "bici"
"20" 8.9 639 "piedi"
"21" 12.16 602 "piedi"
"22" 10.14 1290 "bici"
"23" 5.39 1212 "bici"
"24" 14.8 1100 "bici"
"25" 14.85 795 "bici"
"26" 9.44 1183 "bici"
"27" 13.67 1300 "bici"
"28" 8.27 308 "bici"
"29" 29.09 4218 "auto"
"30" 18.6 1092 "piedi"
"31" 13.88 1114 "bici"
"32" 8.39 1131 "bici"
"33" 13.89 1012 "piedi"
"34" 10.35 1240 "bici"
"35" 9.71 570 "bici"
"36" 20.29 1345 "piedi"
"37" 20.27 1408 "piedi"
"38" 17.88 892 "piedi"
"39" 16.01 2164 "auto"
"40" 7.7 3 "auto"
"41" 25.13 3316 "auto"
"42" 7.77 1015 "bici"
"43" 26.6 4304 "auto"
"44" 19.73 4323 "auto"
"45" 16.11 935 "piedi"
"46" 37.55 6266 "auto"
"47" 26.27 3268 "auto"
"48" 6.45 323 "bici"
"49" 9.28 935 "piedi"
"50" 11.69 1019 "piedi"
"51" 20.67 3116 "auto"
"52" 6.99 800 "bici"
"53" 9.28 894 "bici"
"54" 9.65 963 "bici"
"55" 13.77 953 "piedi"
"56" 9.1 932 "bici"
"57" 10.92 426 "piedi"
"58" 18.97 3765 "auto"
"59" 18.74 971 "piedi"
"60" 19.91 3039 "auto"
"61" 36.16 6616 "auto"
"62" 13.46 693 "bici"
"63" 7.83 1251 "bici"
"64" 11.54 1084 "bici"
"65" 25.39 1638 "piedi"
"66" 31.87 4805 "auto"
"67" 8.49 1348 "bici"
"68" 10.5 614 "piedi"
"69" 15.18 890 "bici"
"70" 5.03 571 "piedi"
"71" 31.85 5999 "auto"
"72" 23.26 2520 "auto"
"73" 8.89 809 "bici"
"74" 1.61 34 "auto"
"75" 17.5 1136 "piedi"
"76" 17.74 1027 "piedi"
"77" 12.91 1438 "bici"
"78" 1.87 570 "bici"
"79" 16.69 785 "piedi"
"80" 43 8359 "auto"
"81" 7.51 885 "piedi"
"82" 7.06 385 "bici"
"83" 9.14 551 "piedi"
"84" 20.72 2877 "auto"
"85" 32.92 4864 "auto"
"86" 15.75 2437 "auto"
"87" 19.07 3263 "auto"
"88" 37.29 6718 "auto"
"89" 17.78 1686 "piedi"
"90" 17.56 874 "piedi"
"91" 10.02 1201 "bici"
"92" 63.95 10850 "auto"
"93" 23.58 1395 "piedi"
"94" 6.48 1201 "bici"
"95" 29.25 4831 "auto"
"96" 17.55 1893 "bici"
"97" 27.69 1631 "piedi"
"98" 21.86 2971 "auto"
"99" 13.65 616 "bici"
"100" 31.49 5023 "auto"
"101" 5.93 816 "bici"
"102" 5.05 13 "auto"
"103" 12.43 890 "piedi"
"104" 18.72 860 "piedi"
"105" 6.01 544 "bici"
"106" 12.69 1398 "bici"
"107" 13.62 1400 "auto"
"108" 13.19 1494 "auto"
"109" 32.09 5685 "auto"
"110" 17.1 1569 "piedi"
"111" 9.39 574 "bici"
"112" 4.42 983 "bici"
"113" 13.31 1353 "bici"
"114" 6.78 659 "bici"
"115" 10.47 1103 "bici"
"116" 20.2 1291 "piedi"
"117" 29.28 5223 "auto"
"118" 21.93 3490 "auto"
"119" 20.28 1606 "piedi"
"120" 12.87 1209 "piedi"
"121" 23.38 3456 "auto"
"122" 10.77 758 "bici"
"123" 1.74 559 "bici"
"124" 14.64 1450 "bici"
"125" 33.77 5262 "auto"
"126" 14.77 530 "piedi"
"127" 22.02 1444 "piedi"
"128" 26.06 1752 "piedi"
"129" 25.66 1452 "piedi"
"130" 25.64 4310 "auto"
"131" 10.22 859 "bici"
"132" 9.97 1019 "bici"
"133" 7.45 928 "bici"
"134" 18.76 2342 "auto"
"135" 7.94 490 "bici"
"136" 8.74 1131 "bici"
"137" 9.37 769 "piedi"
"138" 30.95 5320 "auto"
"139" 37.2 6468 "auto"
"140" 6.07 584 "auto"
"141" 14.74 1044 "piedi"
"142" 24.32 3323 "auto"
"143" 13.95 669 "piedi"
"144" 18.28 1179 "piedi"
"145" 15.32 1189 "piedi"
"146" 29.08 3716 "auto"
"147" 31.9 4815 "auto"
"148" 9.79 754 "piedi"
"149" 7.64 1039 "piedi"
"150" 16.12 968 "piedi"
