"M0" "M1" "M2" "M3" "M4" "M5"
"1" 32.7 34.9 38.2 41 42 47.1
"2" 27.5 31.7 35.4 38.1 40.2 42.4
"3" 32.8 34.8 40.3 43.4 45.9 49.3
"4" 30.9 33.4 35.8 40.2 42.1 46.3
"5" 27.7 31.4 34.1 37.9 40.5 44.7
"6" 30.7 34.4 35.6 39.2 42.7 46.3
"7" 26.5 29.8 32.2 36.1 38.6 41.7
"8" 31.8 35.9 38.6 40.8 43.3 47.3
"9" 34.3 36.6 38.5 40.7 46.2 48.2
"10" 32.1 34.3 38.9 41.9 44.9 48.9
"11" 29.3 33.8 36.1 37.7 42 46.1
"12" 33 35.7 38.5 43 44.9 47.7
"13" 27.6 32.5 35.8 37.1 40.4 43.8
"14" 29.2 31.4 35 37.8 40.3 45.6
"15" 31.5 35.5 38.1 40.9 44.4 46.7
"16" 28.9 32 35.1 37 39.5 42.6
"17" 32.1 35.1 37.6 41.7 43.7 47.1
"18" 26.4 29.9 33.5 35.7 39 42.8
"19" 32.1 35.4 36.9 40.2 44.8 46.5
"20" 28.3 31.5 35.3 37.2 39.4 42.8
"21" 29.5 31.9 35 39.6 40.8 43.8
"22" 27.1 29.6 32.4 35.7 38.3 41.8
"23" 30.2 34.5 35.3 39.4 42.7 44.8
"24" 29.5 33.3 35.7 39.4 40.9 45
"25" 28.5 31.4 35.2 38.6 41.6 42.8
"26" 30.4 32.6 35.4 39.6 43 45.4
"27" 29.8 32.8 35.6 38.5 42.3 45.7
"28" 31.2 35.6 36.5 40.2 43 46.2
"29" 28.2 32.6 35.4 39.2 40.1 44.2
"30" 34.1 36 39.6 40.7 45.3 47.7
