"attesa" "cena"
"1" 16.22 143.54
"2" 30.39 113.14
"3" 27.59 143
"4" 29.94 137.15
"5" 26.04 127.83
"6" 25.31 127.93
"7" 11.16 102.24
"8" 28.88 95.51
"9" 23.31 119.17
"10" 10.73 116.24
"11" 17.2 119.56
"12" 56.26 152.99
"13" 17.49 104.81
"14" 23.68 128.26
"15" 17.11 105.3
"16" 24.71 132.29
"17" 8.68 101.9
"18" 29.41 132.34
"19" 25.15 121.08
"20" 22.52 126.61
"21" 8.82 94.44
"22" 26.01 120.8
"23" 16.9 107.12
"24" 29.53 127.8
"25" 19.77 123.8
"26" 9.96 100.17
"27" 17.37 98.25
"28" 4.58 94.04
"29" 6.86 98.43
"30" 16.58 112.02
"31" 34.32 139.48
"32" 21.07 120.38
"33" 23.71 122.43
"34" 21.95 104.86
"35" 23.62 120.06
"36" 29.45 141.15
"37" 5.17 95.33
"38" 22.97 126.17
"39" 13.21 113.14
"40" 11.97 110.92
"41" 34.9 127.38
"42" 12.54 113.93
"43" 27 150.02
"44" 26.76 134.75
"45" 21.93 122.45
"46" 17.23 93.3
"47" 7.55 102.48
"48" 20.1 121.57
"49" 7.2 106.29
"50" 29.03 116.28
"51" 16.77 110.51
"52" 33.23 138.34
"53" 23.89 123.13
"54" 18.69 139.36
"55" 2.41 93
"56" 29.94 127.15
"57" 3.34 97.91
"58" 21.55 114.44
"59" 18.3 120.86
"60" 24.89 109.12
"61" 25.74 127.93
"62" 21.22 126.18
"63" 12.18 118.71
"64" 12.65 118.03
"65" 23.45 119.44
"66" 7.18 126.73
"67" 25.82 120.98
"68" 35.37 127.16
"69" 3.17 101.27
"70" 20.96 102.54
"71" 16.88 120.7
"72" 16.55 115.4
"73" 10.6 110.33
"74" 10.72 95.11
"75" 25.94 127.43
"76" 41.83 135.87
"77" 11.56 106.64
"78" 22.54 131.37
"79" 34.42 150.9
"80" 31.25 122.19
"81" 22.6 120.85
"82" 35.07 137.23
"83" 11.97 128.52
"84" 12.8 104.26
"85" 19.09 124.17
"86" 19.15 109.98
"87" 26.93 137.28
"88" 18.3 122.26
"89" 17.79 83.39
"90" 32.15 118.34
"91" 43.51 135.36
"92" 0.58 109.46
"93" 2.12 109.05
"94" 25.25 110.41
"95" 17.88 107.18
"96" 23.33 126.02
"97" 42.3 135.72
"98" 3.08 103.33
"99" 18.82 117.01
"100" 23.15 118.62
"101" 35.7 138.98
"102" 20.97 115.61
"103" 1.25 98.85
"104" 6.98 122.83
"105" 21.84 114.68
"106" 14.2 115.78
"107" 29.62 133.07
"108" 3.14 112.35
"109" 14.5 134.36
"110" 13.04 100.54
"111" 20.6 111.25
"112" 20.16 112.58
"113" -0.51 118.54
"114" 0.47 122.87
"115" 14.57 101.43
"116" 0.92 145.13
"117" 7.88 136.57
"118" 26.29 129.6
"119" 29.71 145.52
"120" 10.89 103.97
"121" 22.58 108.28
"122" 9.14 99.77
"123" 13.45 130.91
"124" 14.59 106.11
"125" 36.76 133.16
"126" 10.82 128.81
"127" 18.74 134.41
"128" 19.74 114.19
"129" 28.81 116.73
"130" 19.59 101.43
"131" 27.77 122.25
"132" 3.27 97.36
"133" 20.35 120.75
"134" 6.28 106.83
"135" 19.11 123.21
"136" 8.21 107.4
"137" 18.47 107.04
"138" 17.46 116.1
"139" 41.28 134.95
"140" 26.03 132.04
"141" 22.62 105.29
"142" 15.43 117.58
"143" 16 117.6
