"prezzo" "camere" "posizione"
"1" 451.4 "mono" "poli"
"2" 30.1 "mono" "poli"
"3" 343 "mono" "poli"
"4" 54.5 "mono" "poli"
"5" 409.7 "mono" "poli"
"6" 399.9 "mono" "poli"
"7" 261.6 "mono" "poli"
"8" 514.4 "mono" "poli"
"9" 489.8 "mono" "poli"
"10" 335.8 "mono" "poli"
"11" 303.1 "mono" "poli"
"12" 446.4 "mono" "poli"
"13" 470 "mono" "poli"
"14" 400 "mono" "poli"
"15" 351.1 "mono" "poli"
"16" 551.6 "mono" "poli"
"17" 242.5 "mono" "poli"
"18" 575.6 "mono" "poli"
"19" 397.7 "mono" "poli"
"20" 343.1 "mono" "poli"
"21" 332.8 "mono" "poli"
"22" 403.1 "mono" "poli"
"23" 530.1 "mono" "poli"
"24" 717.9 "mono" "poli"
"25" 161.1 "mono" "poli"
"26" 450 "mono" "poli"
"27" 241.8 "mono" "poli"
"28" 509.4 "mono" "poli"
"29" 471.3 "mono" "poli"
"30" 351.4 "mono" "poli"
"31" 538.8 "mono" "poli"
"32" 320.8 "mono" "poli"
"33" 505.7 "mono" "poli"
"34" 362.3 "mono" "poli"
"35" 312 "mono" "poli"
"36" 390.8 "mono" "poli"
"37" 411.7 "mono" "poli"
"38" 530.5 "mono" "poli"
"39" 504.4 "mono" "poli"
"40" 601 "mono" "poli"
"41" 388.9 "mono" "poli"
"42" 471 "mono" "poli"
"43" 472.2 "mono" "poli"
"44" 454.8 "mono" "poli"
"45" 269.9 "mono" "poli"
"46" 299.8 "mono" "poli"
"47" 380.7 "mono" "poli"
"48" 290.9 "mono" "poli"
"49" 391 "mono" "poli"
"50" 296.8 "mono" "poli"
"51" 270 "mono" "poli"
"52" 488.6 "mono" "poli"
"53" 276.4 "mono" "poli"
"54" 279.1 "mono" "poli"
"55" 212.9 "mono" "poli"
"56" 302.7 "mono" "poli"
"57" 592.5 "mono" "poli"
"58" 486.5 "mono" "poli"
"59" 602.8 "mono" "poli"
"60" 638.3 "mono" "poli"
"61" 477 "mono" "poli"
"62" 683.5 "mono" "poli"
"63" 543.2 "mono" "poli"
"64" 402.2 "mono" "poli"
"65" 472.7 "mono" "poli"
"66" 473.8 "mono" "poli"
"67" 499.2 "mono" "poli"
"68" 118.5 "mono" "poli"
"69" 435.1 "mono" "poli"
"70" 231.3 "mono" "poli"
"71" 411.1 "mono" "poli"
"72" 311.2 "mono" "poli"
"73" 350.3 "mono" "poli"
"74" 452.6 "mono" "poli"
"75" 510.3 "mono" "poli"
"76" 230.7 "mono" "non-poli"
"77" 361 "mono" "non-poli"
"78" 432.3 "mono" "non-poli"
"79" 398.3 "mono" "non-poli"
"80" 457.7 "mono" "non-poli"
"81" 379 "mono" "non-poli"
"82" 358.9 "mono" "non-poli"
"83" 207.1 "mono" "non-poli"
"84" 203.6 "mono" "non-poli"
"85" 394.4 "mono" "non-poli"
"86" 290.2 "mono" "non-poli"
"87" 390.2 "mono" "non-poli"
"88" 390.2 "mono" "non-poli"
"89" 325.9 "mono" "non-poli"
"90" 492.9 "mono" "non-poli"
"91" 321 "mono" "non-poli"
"92" 326.5 "mono" "non-poli"
"93" 599.2 "mono" "non-poli"
"94" 517.2 "mono" "non-poli"
"95" 424.2 "mono" "non-poli"
"96" 348.8 "mono" "non-poli"
"97" 344.8 "mono" "non-poli"
"98" 273.5 "mono" "non-poli"
"99" 428.9 "mono" "non-poli"
"100" 468.5 "mono" "non-poli"
"101" 196.6 "mono" "non-poli"
"102" 478.1 "mono" "non-poli"
"103" 412.5 "mono" "non-poli"
"104" 484.9 "mono" "non-poli"
"105" 480.8 "mono" "non-poli"
"106" 427.7 "mono" "non-poli"
"107" 389 "mono" "non-poli"
"108" 328.6 "mono" "non-poli"
"109" 86 "mono" "non-poli"
"110" 367.8 "mono" "non-poli"
"111" 296.7 "mono" "non-poli"
"112" 475 "mono" "non-poli"
"113" 349.5 "mono" "non-poli"
"114" 460.4 "mono" "non-poli"
"115" 442.2 "mono" "non-poli"
"116" 384.5 "mono" "non-poli"
"117" 424.4 "mono" "non-poli"
"118" 606.2 "mono" "non-poli"
"119" 362.1 "mono" "non-poli"
"120" 414.3 "mono" "non-poli"
"121" 482.1 "mono" "non-poli"
"122" 294 "mono" "non-poli"
"123" 569.9 "mono" "non-poli"
"124" 363.6 "mono" "non-poli"
"125" 370.9 "mono" "non-poli"
"126" 372.6 "mono" "non-poli"
"127" 218.4 "mono" "non-poli"
"128" 234 "mono" "non-poli"
"129" 352.9 "mono" "non-poli"
"130" 568.1 "mono" "non-poli"
"131" 482.5 "mono" "non-poli"
"132" 509.9 "mono" "non-poli"
"133" 317.6 "mono" "non-poli"
"134" 510 "mono" "non-poli"
"135" 553 "mono" "non-poli"
"136" 333.1 "mono" "non-poli"
"137" 502.1 "mono" "non-poli"
"138" 394 "mono" "non-poli"
"139" 349.8 "mono" "non-poli"
"140" 405.5 "mono" "non-poli"
"141" 635.4 "mono" "non-poli"
"142" 357.5 "mono" "non-poli"
"143" 222.9 "mono" "non-poli"
"144" 550.5 "mono" "non-poli"
"145" 553.5 "mono" "non-poli"
"146" 539.2 "mono" "non-poli"
"147" 242.7 "mono" "non-poli"
"148" 543 "mono" "non-poli"
"149" 315.8 "mono" "non-poli"
"150" 301.5 "mono" "non-poli"
"151" 673.3 "bilo" "poli"
"152" 378.3 "bilo" "poli"
"153" 720.2 "bilo" "poli"
"154" 390.8 "bilo" "poli"
"155" 682.8 "bilo" "poli"
"156" 491.8 "bilo" "poli"
"157" 763.8 "bilo" "poli"
"158" 747.9 "bilo" "poli"
"159" 674.8 "bilo" "poli"
"160" 650.9 "bilo" "poli"
"161" 625.6 "bilo" "poli"
"162" 401.9 "bilo" "poli"
"163" 662.1 "bilo" "poli"
"164" 763.6 "bilo" "poli"
"165" 476.8 "bilo" "poli"
"166" 591.1 "bilo" "poli"
"167" 578.2 "bilo" "poli"
"168" 604.8 "bilo" "poli"
"169" 591.9 "bilo" "poli"
"170" 738.5 "bilo" "poli"
"171" 584.4 "bilo" "poli"
"172" 554.1 "bilo" "poli"
"173" 716.2 "bilo" "poli"
"174" 560.7 "bilo" "poli"
"175" 771.6 "bilo" "poli"
"176" 614.3 "bilo" "poli"
"177" 615.5 "bilo" "poli"
"178" 596.6 "bilo" "poli"
"179" 547.8 "bilo" "poli"
"180" 504.6 "bilo" "poli"
"181" 580.4 "bilo" "poli"
"182" 872.1 "bilo" "poli"
"183" 531.8 "bilo" "poli"
"184" 718.6 "bilo" "poli"
"185" 594.9 "bilo" "poli"
"186" 794.6 "bilo" "poli"
"187" 595.7 "bilo" "poli"
"188" 612.2 "bilo" "poli"
"189" 581 "bilo" "poli"
"190" 747.2 "bilo" "poli"
"191" 849.6 "bilo" "poli"
"192" 349 "bilo" "poli"
"193" 721.3 "bilo" "poli"
"194" 639 "bilo" "poli"
"195" 814.4 "bilo" "poli"
"196" 537.2 "bilo" "poli"
"197" 621 "bilo" "poli"
"198" 756.5 "bilo" "poli"
"199" 476.9 "bilo" "poli"
"200" 677 "bilo" "poli"
"201" 564.7 "bilo" "poli"
"202" 662.2 "bilo" "poli"
"203" 465.4 "bilo" "poli"
