"giugno" "luglio" "agosto" "settembre"
"1" 14.9 17.8 17.1 14.8
"2" 16.5 18.8 18.6 14.5
"3" 13.5 16.5 18.2 15.8
"4" 15.3 17.2 18.4 15.4
"5" 15.4 18.7 18.3 15.5
"6" 15.9 19.1 18.1 15.1
"7" 13.1 17.3 19 15.8
"8" 13 15.6 16.7 13.1
"9" 16.6 17.9 17.8 14.2
"10" 17.2 19.4 18.7 15.9
"11" 13.6 17.7 17.3 13.9
"12" 13.7 17.9 18 15.7
"13" 14.6 17.4 17.4 13.9
"14" 15.8 19 18.5 16
"15" 15.3 18 18.9 17.2
"16" 15.2 18.4 19.1 15.3
"17" 13.7 17.6 16.5 15.2
"18" 13.3 16.9 17.7 14.5
"19" 15.5 18.4 16.2 12.7
"20" 14.4 16.6 16.9 14
"21" 14.3 17.2 16.7 13.9
"22" 12.5 15.9 17.4 13
"23" 14.7 17.3 18.3 14.4
"24" 14.7 17 17.2 14.3
"25" 14.4 18.6 19 16.2
"26" 14.4 17.2 16.9 15.1
"27" 15.9 17.4 18.8 14.1
"28" 14.4 17.9 16.8 12.9
"29" 12 15.2 16 13.6
"30" 14.9 18.2 17.1 14.8
"31" 15.3 17.2 17.2 15.3
"32" 14.8 18.5 18.2 14.6
"33" 17.5 19.4 18.2 14.2
"34" 14.6 17 17.5 15.3
"35" 15.6 18.7 18.5 15.7
"36" 13.7 16.4 16.4 13.8
"37" 14.2 17.1 18.1 14
"38" 13.6 17.5 18.8 16.1
"39" 12.8 17.4 17.7 15.8
"40" 14.6 18.3 17.8 15.8
"41" 15.1 18.2 18.4 14.3
"42" 14 18.1 18.9 16.5
"43" 16.3 19.4 19.9 14.8
"44" 16.1 18.7 18 14.5
"45" 14.1 16.6 15.6 12.5
"46" 13.6 16.9 17.6 14.9
"47" 13.7 16.6 17.1 13.8
"48" 14.4 18.4 18.5 16.2
"49" 13.8 17.5 20.2 17.2
"50" 14.2 18.1 18 16.1
"51" 14.4 18.1 18.9 16.3
"52" 14.8 17.6 17.2 14.8
"53" 16.1 18 17.5 15.2
"54" 14.6 17.5 18.9 16.9
"55" 15.7 17.6 18.1 14.9
"56" 18.3 20 19.6 15.7
"57" 14.1 16.2 17.2 13.5
"58" 14.2 18.2 17.2 14.8
"59" 14.4 17.4 18.1 16.2
"60" 12.4 18 16.9 14.6
"61" 13.7 19.1 18.9 16.8
"62" 16.2 18.9 18.5 15.3
"63" 14.2 18 18.5 17.4
"64" 14.5 17.8 18.3 17.1
"65" 14.2 16.9 17.2 14.1
"66" 13 15.5 15.5 11.6
"67" 13.8 16.6 18 14.1
"68" 15.2 17.3 18.5 15.2
"69" 15.4 18.3 18.4 15.8
"70" 17.5 18.5 17.6 13.3
"71" 14.7 18.5 18.4 16.5
"72" 16.9 19.8 19.7 17.2
"73" 13.6 18.5 18.5 16.5
"74" 13.9 17.8 16.7 15.2
"75" 16.3 19.3 19 15.3
"76" 14.6 17.7 18 16.6
"77" 13.6 16.5 18.6 15.3
"78" 15.8 19.4 18.3 16
"79" 15.2 19.2 19.3 16.2
"80" 16.3 18 17.1 13.9
"81" 15.9 19.7 18.5 16.4
"82" 14.3 17.4 16.6 14
"83" 15.5 17.9 18.6 14.7
"84" 17.3 18.8 18.7 14.7
"85" 14.8 17.5 16.9 13
"86" 16.6 20 18.7 15.2
"87" 15.7 18.4 19.2 18.3
"88" 16.8 18.3 17.1 13.7
"89" 14.5 17.7 18.4 14.4
"90" 14.7 18.5 18.1 15.9
"91" 16 18.9 17.9 14
"92" 16.1 19.1 19.1 15.1
"93" 15.1 17.5 18.4 14.1
"94" 15.5 18.1 19.1 17.2
"95" 15.2 18.7 18.8 16
"96" 13.7 16.2 17.5 15.3
"97" 17.8 18.2 17 12.9
"98" 12.3 15.3 16 14.6
"99" 15.2 16.9 16.9 13.6
"100" 13.9 16.4 16.3 12.7
