"danno" "cilindrata"
"1" 0.1925 1000
"2" 0.0661 1000
"3" 0.185 1100
"4" 0.2278 1100
"5" 0.1334 1200
"6" 0.1376 1200
"7" 0.2309 1300
"8" 0.1102 1300
"9" 0.2298 1400
"10" 0.1644 1400
"11" 0.2547 1500
"12" 0.1741 1500
"13" 0.116 1600
"14" 0.2947 1600
"15" 0.1926 1700
"16" 0.2034 1700
"17" 0.2559 1800
"18" 0.211 1800
"19" 0.2353 1900
"20" 0.2953 1900
"21" 0.1929 2000
"22" 0.2669 2000
"23" 0.2019 2100
"24" 0.2541 2100
"25" 0.2992 2200
"26" 0.2493 2200
"27" 0.2249 2300
"28" 0.1429 2300
"29" 0.2038 2400
"30" 0.2019 2400
