"danno" "cilindrata"
"1" 0.1949 1200
"2" 0.2128 1200
"3" 0.2462 1300
"4" 0.2479 1300
"5" 0.3618 1400
"6" 0.3214 1400
"7" 0.3034 1500
"8" 0.3744 1500
"9" 0.3225 1600
"10" 0.4209 1600
"11" 0.2896 1700
"12" 0.2992 1700
"13" 0.3454 1800
"14" 0.3464 1800
"15" 0.3587 1900
"16" 0.3245 1900
"17" 0.3097 2000
"18" 0.3272 2000
"19" 0.3756 2100
"20" 0.296 2100
"21" 0.4177 2200
"22" 0.465 2200
"23" 0.4283 2300
"24" 0.4056 2300
"25" 0.4139 2400
"26" 0.4987 2400
"27" 0.4481 2500
"28" 0.3763 2500
"29" 0.5053 2600
"30" 0.4612 2600
