"Longitudine" "Latitudine"
"1" 85.05 18.31
"2" 96.65 96.48
"3" 83.95 97.67
"4" 81.09 59.23
"5" 79.77 16.4
"6" 83.69 24.47
"7" 86.03 22.96
"8" 70.26 12.47
"9" 83.62 22.91
"10" 78.06 18.97
"11" 79.01 18.42
"12" 71.9 18.64
"13" 85.01 25.43
"14" 83.96 25.8
"15" 89.4 28.28
"16" 78.6 18.43
"17" 85.48 23.75
"18" 20.64 92.4
"19" 23.1 95.44
"20" 82.71 24.78
"21" 82.04 20.04
"22" 87.18 28.49
"23" 78.63 15.49
"24" 78 18.64
"25" 78.8 16.71
"26" 81.6 21.51
"27" 76.05 17.4
"28" 78.48 18.92
"29" 75.62 87.38
"30" 76.52 17.53
"31" 75.33 17.49
"32" 4.46 66.06
"33" 81.96 21.34
"34" 78.07 18.75
"35" 85.86 24.82
"36" 76.32 15.65
"37" 74.42 16.37
"38" 83.77 22.82
"39" 75.53 17.18
"40" 74.22 15.32
"41" 73.81 11.82
"42" 81.76 20.24
"43" 71.61 12.07
"44" 83.24 20.24
"45" 73.37 11.48
"46" 78.59 19.73
"47" 81.21 22.52
"48" 78.65 19.14
"49" 83.19 21.7
"50" 82.36 24.97
"51" 77.75 21.79
"52" 74.42 17.71
"53" 83.65 23.59
"54" 93.49 32.78
"55" 84.44 21.64
"56" 77.49 17.37
"57" 84.7 23.1
"58" 77.64 17.29
"59" 79.97 21.07
"60" 83.92 24.89
"61" 74.71 14.11
"62" 86.69 27.25
"63" 84.65 23.42
"64" 77.45 17.33
"65" 73.4 17.57
"66" 75.86 15.57
"67" 28.67 81.53
"68" 85.97 21.53
"69" 82.13 20.61
"70" 88.2 25.78
"71" 80.17 19.44
"72" 78.29 21.04
"73" 80.47 20.87
"74" 77.98 11.53
"75" 86.99 29.03
"76" 83.8 19.67
"77" 85.56 27.55
"78" 80.74 83.65
"79" 80.07 22.29
"80" 74.09 13.47
"81" 81.33 23.7
"82" 82.52 23.94
"83" 84.42 23.55
"84" 18.92 80.3
"85" 68.49 10.87
"86" 13.57 72.41
"87" 69.14 84.07
"88" 74.1 17.92
"89" 74.66 12.58
"90" 70.5 11.35
"91" 79.52 19.14
"92" 80.02 19.55
"93" 79.49 20.89
"94" 87.95 27.13
"95" 74.18 13.64
"96" 82.72 22.82
"97" 78.36 18.81
"98" 52.25 96.11
"99" 71.68 11.77
"100" 83.49 21.33
"101" 82.58 24.89
"102" 81.65 21.57
"103" 68.43 80.28
"104" 83.18 23.16
"105" 47.76 89.86
"106" 81.81 22.81
"107" 78.98 18.53
"108" 80 19.36
"109" 75.4 15.56
"110" 78.33 20.73
"111" 79.53 20.64
"112" 78.3 21.01
"113" 80.37 20.82
"114" 78.2 18.68
"115" 86.46 25.92
"116" 81.9 23.22
