"prezzo" "luogo" "modo"
"1" 3.6 "USA" "web"
"2" 4.2 "USA" "web"
"3" 3.6 "USA" "web"
"4" 3.2 "USA" "web"
"5" 5 "USA" "web"
"6" 3.1 "USA" "web"
"7" 3.4 "USA" "web"
"8" 3.8 "USA" "web"
"9" 3.2 "USA" "web"
"10" 3.5 "USA" "web"
"11" 2.4 "USA" "web"
"12" 4.4 "USA" "web"
"13" 2.4 "USA" "web"
"14" 4 "USA" "web"
"15" 4.1 "USA" "web"
"16" 5 "USA" "web"
"17" 3.1 "USA" "web"
"18" 3.2 "USA" "web"
"19" 3.8 "USA" "web"
"20" 3.3 "USA" "web"
"21" 4 "USA" "web"
"22" 4.7 "USA" "web"
"23" 4.6 "USA" "web"
"24" 4.5 "USA" "web"
"25" 3 "USA" "web"
"26" 2.4 "USA" "web"
"27" 3.1 "USA" "web"
"28" 1.4 "USA" "web"
"29" 3.6 "USA" "web"
"30" 3.4 "USA" "web"
"31" 3.8 "USA" "web"
"32" 4 "USA" "web"
"33" 4.4 "USA" "web"
"34" 4.1 "USA" "web"
"35" 2.8 "USA" "web"
"36" 2.2 "USA" "web"
"37" 3.5 "USA" "web"
"38" 3.8 "USA" "web"
"39" 4.1 "USA" "web"
"40" 3.3 "USA" "web"
"41" 3.4 "USA" "web"
"42" 4 "USA" "web"
"43" 4.3 "USA" "web"
"44" 4.5 "USA" "web"
"45" 3.8 "USA" "web"
"46" 3.4 "USA" "web"
"47" 3.1 "USA" "web"
"48" 2.3 "USA" "web"
"49" 2.8 "USA" "web"
"50" 2.6 "USA" "web"
"51" 3.7 "USA" "trad"
"52" 3.5 "USA" "trad"
"53" 4 "USA" "trad"
"54" 4 "USA" "trad"
"55" 3.5 "USA" "trad"
"56" 2.3 "USA" "trad"
"57" 3 "USA" "trad"
"58" 3.4 "USA" "trad"
"59" 4.4 "USA" "trad"
"60" 3.3 "USA" "trad"
"61" 3.3 "USA" "trad"
"62" 3.4 "USA" "trad"
"63" 3.5 "USA" "trad"
"64" 4 "USA" "trad"
"65" 2.7 "USA" "trad"
"66" 2.3 "USA" "trad"
"67" 3.5 "USA" "trad"
"68" 3.7 "USA" "trad"
"69" 3.8 "USA" "trad"
"70" 3.6 "USA" "trad"
"71" 4.1 "USA" "trad"
"72" 3.5 "USA" "trad"
"73" 4.1 "USA" "trad"
"74" 4 "USA" "trad"
"75" 5.2 "USA" "trad"
"76" 3.2 "USA" "trad"
"77" 3.2 "USA" "trad"
"78" 3.6 "USA" "trad"
"79" 3 "USA" "trad"
"80" 2.5 "USA" "trad"
"81" 3 "USA" "trad"
"82" 5 "USA" "trad"
"83" 2 "USA" "trad"
"84" 4.6 "USA" "trad"
"85" 3.2 "USA" "trad"
"86" 3.6 "USA" "trad"
"87" 3.8 "USA" "trad"
"88" 3.3 "USA" "trad"
"89" 3.4 "USA" "trad"
"90" 4.5 "USA" "trad"
"91" 2.8 "USA" "trad"
"92" 3.1 "USA" "trad"
"93" 4.3 "USA" "trad"
"94" 3.5 "USA" "trad"
"95" 3.2 "USA" "trad"
"96" 3.9 "USA" "trad"
"97" 3.1 "USA" "trad"
"98" 4.1 "USA" "trad"
"99" 3.2 "USA" "trad"
"100" 3.5 "USA" "trad"
"101" 3.7 "EU" "web"
"102" 4.2 "EU" "web"
"103" 3.6 "EU" "web"
"104" 5.3 "EU" "web"
"105" 3.8 "EU" "web"
"106" 4.5 "EU" "web"
"107" 2.7 "EU" "web"
"108" 4.6 "EU" "web"
"109" 4 "EU" "web"
"110" 4 "EU" "web"
"111" 3 "EU" "web"
"112" 3.4 "EU" "web"
"113" 3.9 "EU" "web"
"114" 3.5 "EU" "web"
"115" 5.5 "EU" "web"
"116" 3.5 "EU" "web"
"117" 3.5 "EU" "web"
"118" 4.3 "EU" "web"
"119" 4 "EU" "web"
"120" 3.8 "EU" "web"
"121" 3.4 "EU" "web"
"122" 3.7 "EU" "web"
"123" 3.4 "EU" "web"
"124" 5.2 "EU" "web"
"125" 3.3 "EU" "web"
"126" 4.8 "EU" "web"
"127" 3.8 "EU" "web"
"128" 2.9 "EU" "web"
"129" 3.7 "EU" "web"
"130" 3.1 "EU" "web"
"131" 3.7 "EU" "web"
"132" 5 "EU" "web"
"133" 2.8 "EU" "web"
"134" 2.5 "EU" "web"
"135" 2.8 "EU" "web"
"136" 3.3 "EU" "web"
"137" 5.2 "EU" "web"
"138" 4.4 "EU" "web"
"139" 2.8 "EU" "web"
"140" 4.4 "EU" "web"
"141" 3.2 "EU" "web"
"142" 3.4 "EU" "web"
"143" 3.7 "EU" "web"
"144" 4.1 "EU" "web"
"145" 4.4 "EU" "web"
"146" 3.6 "EU" "web"
"147" 4 "EU" "web"
"148" 4 "EU" "web"
"149" 3.5 "EU" "web"
"150" 4.2 "EU" "web"
"151" 3.9 "EU" "trad"
"152" 3.6 "EU" "trad"
"153" 3.8 "EU" "trad"
"154" 4.4 "EU" "trad"
"155" 3.6 "EU" "trad"
"156" 2.2 "EU" "trad"
"157" 3.7 "EU" "trad"
"158" 4.9 "EU" "trad"
"159" 3 "EU" "trad"
"160" 4.6 "EU" "trad"
"161" 3.5 "EU" "trad"
"162" 4 "EU" "trad"
"163" 4.2 "EU" "trad"
"164" 6 "EU" "trad"
"165" 3.3 "EU" "trad"
"166" 3.8 "EU" "trad"
"167" 2.9 "EU" "trad"
"168" 3.3 "EU" "trad"
"169" 3.4 "EU" "trad"
"170" 3.7 "EU" "trad"
"171" 4.3 "EU" "trad"
"172" 4.5 "EU" "trad"
"173" 2.7 "EU" "trad"
"174" 4 "EU" "trad"
"175" 4.2 "EU" "trad"
"176" 4.9 "EU" "trad"
"177" 4.4 "EU" "trad"
"178" 2.9 "EU" "trad"
"179" 3 "EU" "trad"
"180" 4.5 "EU" "trad"
"181" 3.9 "EU" "trad"
"182" 4.7 "EU" "trad"
"183" 4 "EU" "trad"
"184" 3.5 "EU" "trad"
"185" 4.1 "EU" "trad"
"186" 4.7 "EU" "trad"
"187" 5.1 "EU" "trad"
"188" 3.8 "EU" "trad"
"189" 3.8 "EU" "trad"
"190" 3.1 "EU" "trad"
"191" 3.4 "EU" "trad"
"192" 3.5 "EU" "trad"
"193" 4.4 "EU" "trad"
"194" 3.9 "EU" "trad"
"195" 4.6 "EU" "trad"
"196" 4.3 "EU" "trad"
"197" 4.2 "EU" "trad"
"198" 4.7 "EU" "trad"
"199" 3.1 "EU" "trad"
"200" 4.4 "EU" "trad"
