"week1.usa" "month1.usa" "week1.it" "month1.it"
"1" 12.184 14.243 5.314 5.684
"2" 12.78 13.551 6.262 6.165
"3" 11.728 13.55 5.029 7.187
"4" 13.28 14.611 5.22 6.645
"5" 10.335 12.854 6.344 7.079
"6" 13.95 15.731 5.427 6.404
"7" 12.954 13.874 7.508 9.306
"8" 11.783 13.961 5.984 6.955
"9" 10.608 13.174 5.167 6.002
"10" 12.832 14.18 4.134 5.088
"11" 13.368 16.149 3.664 5.115
"12" 13.227 16.032 7.433 9.051
"13" 12.106 13.769 5.089 5.98
"14" 11.355 13.997 5.648 7.449
"15" 12.059 14.771 5.576 5.883
"16" 10.618 13.508 3.406 5.975
"17" 11.734 14.424 4.138 4.749
"18" 13.452 14.523 3.184 4.796
"19" 13.649 15.666 5.12 6.319
"20" 11.995 13.206 5.098 6.258
"21" 11.345 13.037 4.999 6.743
"22" 11.517 13.041 6.965 7.708
"23" 12.654 15.354 5.195 6.431
"24" 11.607 13.318 5.735 7.993
"25" 12.277 13.371 3.428 4.759
"26" 11.039 13.625 4.218 5.735
"27" 15.397 16.264 5.371 6.302
"28" 10.956 14.866 5.721 6.69
"29" 13.741 16.562 5.827 7.376
"30" 11.984 13.628 3.758 4.518
"31" 11.004 13.221 4.476 4.784
"32" 11.493 13.212 6.155 7.133
"33" 14.038 16.561 4.427 5.489
"34" 13.15 14.659 5.861 7.002
"35" 12.921 14.588 5.684 6.871
"36" 12.743 13.66 4.806 5.837
"37" 13.071 15.515 3.761 4.087
"38" 13.486 15.863 4.743 5.909
"39" 13.972 14.468 4.344 6.027
"40" 10.91 14.029 5.711 6.637
"41" 11.378 13.877 3.883 5.132
"42" 12.102 13.021 3.979 4.511
"43" 14.331 14.881 5.217 7.53
"44" 12.436 14.947 4.219 5.078
"45" 13.616 15.504 3.752 4.244
"46" 10.744 12.263 4.027 4.366
"47" 11.773 15.013 4.781 5.52
"48" 10.371 13.158 3.837 5.825
"49" 10.08 12.777 2.337 2.945
"50" 9.845 12.18 3.161 4.297
"51" 10.314 12.46 7.116 9.203
"52" 13.341 14.478 3.524 4.676
"53" 11.922 14.53 3.602 5.624
"54" 11.99 15.532 5.351 5.781
"55" 9.497 11.951 3.116 3.948
"56" 11.507 13.088 7 8.22
"57" 9.274 10.963 5.413 6.935
"58" 11.962 14.153 4.318 4.417
"59" 11.74 13.501 5.492 6.336
"60" 10.546 12.354 5.239 5.025
"61" 10.582 12.452 4.986 5.457
"62" 13.542 15.96 5.094 5.715
"63" 10.077 11.82 4.211 5.622
"64" 11.849 14.939 5.092 5.768
"65" 13.962 14.84 3.488 4.774
"66" 12.62 15.21 6.246 7.359
"67" 10.133 13.154 6.171 7.197
"68" 12.477 13.231 3.212 3.705
"69" 11.412 13.342 5.672 6.718
"70" 11.815 14.594 4.97 5.713
"71" 10.139 12.851 4.459 5.227
"72" 11.951 14.372 5.311 5.18
"73" 10.597 13.629 5.457 6.054
"74" 12.149 13.325 6.13 7.663
"75" 11.109 12.892 2.641 3.714
"76" 12.599 14.551 5.957 6.107
"77" 12.034 14.546 6.539 7.737
"78" 13.02 15.612 6.126 7.185
"79" 11.892 13.466 4.611 6.787
"80" 11.995 14.115 5.843 5.735
"81" 13.459 15.417 2.582 2.106
"82" 12.691 14.647 4.897 5.638
"83" 12.379 14.621 6.211 7.371
"84" 17.162 17.04 4.489 5.07
"85" 13.526 15.016 4.819 5.056
"86" 8.981 11.271 2.524 2.438
"87" 13.817 15.708 3.804 4.219
"88" 10.872 13.122 5.82 5.882
"89" 11.635 13.748 6.615 6.676
"90" 10.349 13.011 3.969 4.518
"91" 14.499 17.004 7.272 7.552
"92" 13.415 15.809 3.722 4.485
"93" 11.627 13.294 3.469 4.426
"94" 13.082 14.181 4.783 5.116
"95" 13.653 16.037 7.23 7.846
"96" 11.187 12.677 6.262 7.218
"97" 13.673 14.27 5.107 6.983
"98" 11.906 13.473 3.168 1.776
"99" 11.371 13.503 4.74 5.657
"100" 11.908 14.119 4.471 5.075
